丘虛
侵尋
便辟
俶儻
僄狡
儴佯
儻朗
儻閬
凌歷
列缺
判換
劬錄
勃窣
參潭
叢殘
叨沓
呫囓
咆哮
啽囈
嘈啐
嘈囋
嘈雜
噴薄
噞喁
噤吟
囁嚅
囂藹
坎坷
坡坨
壇曼
壇漫
壙埌
夷靡
委蛇
婆娑
婉戀
婉轉
媻娑
嫖姚
嬌嬈
容與
寥落
㝩㝗
㝩梁
局促
岐嶷
岧嵽
岧嶤
岨峿
岹嵽
岹嶤
岺巆
崆峒
崆㟅
崎嶇
崎嶷
崢嶸
嵌巖
嶒峵
嶔岑
嶔崎
嶢嶭
巀櫱
巃嵸
巇險
布濩
希夷
幎歷
彷彿
徑廷
徙倚
從容
忀徉
怏悒
怫愄
恓屑
惏悷
惕息
惺忪
惺鬆
愅詭
愴怳
愷悌
慘悴
懊惱
戚促
戚草
抖擻
抗髒
披靡
拮据
捷獵
揄揚
搖曳
摎蓼
撓挑
擾攘
攢雜
㩻䧢
攲缺
旺相
昂藏
昆侖
昧莫
曇欒
曈曚
曈曨
曭朗
曭莽
曼羨
朴簌
杌隉
杳眇
栗烈
案衍
棲屑
棲遲
槃礡
㯓臘
欄杆
歔欷
歘吸
氛氳
汍瀾
汍蘭
汎𣶏𣶏
汪洋
汪漾
汪翔
沆瀣
沓合
沕穆
沸渭
泡溲
泫沄
泮汗
洚洞
洶湧
浩汗
浸淫
浹洽
涴演
淅瀝
淋灕
淒楚
淖約
淜湃
淟涊
淡沱
淪落
渟濙
溥漠
溶㵝
溶與
滂沛
滂沱
滂濞
滑稽
漩澴
漼溰
潎洌
潺湲
澎湃
澎濞
澒洞
澹淡
澹澉
澹灧
澹蕩
濆薄
濎濘
濎濙
濘溺
濩落
瀇漾
瀇瀁
瀟條
瀟森
瀟灑
瀟率
瀟瑟
瀟索
瀺灂
灝溔
炰烋
烜爀
焱悠
熒惑
燐亂
燦爛
爣朗
爣閬
爬沙
璀錯
璘彬
璘班
瓠落
町畽
町疃
留落
皛溔
盤桓
盤薄
相羊
眩湣
睍睆
瞥列
瞥裂
瞳矇
硼磕
硼隱
碕礒
磊砢
磊落
磐桓
磐礡
磐薄
磐辟
磧歷
磧礫
礐硞
秃兀
突兀
窅眇
糾蓼
紛紜
索落
緊絭
縈紆
纏綿
翕赩
翠微
翱翔
肸蠁
膧朧
膧䑃
膨脝
膩細
舂容
舑舕
舔舕
芊眠
芊綿
苓落
草次
荒唐
菲薇
萎約
萎腇
萑蔰
萑蘭
蒼茫
蓊茸
蓊鬱
蓬勃
蓬茸
蔚結
蔥蘢
蕭條
蕭森
蕭灑
蕭率
蕭瑟
蕭索
蘙蔚
蘙薈
蘧蒢
蜷局
蜷跼
蜿蜒
蟉虯
蟾蜍
蠆芥
衝蓯
袢廷
襲雜
詭隨
謑髁
豁落
豐茸
象罔
踧踖
蹉跎
辟易
迢遞
迤靡
逡循
逡巡
連軒
逶迤
錯莫
阡眠
阡綿
阢隉
阬衡
陂陀
陸梁
陸離
雍容
離披
零丁
須臾
頑鈍
颯沓
颯爽
飂戾
飄搖
飣餖
饕餮
駘蕩
駱漠
騷屑
驂驔
髟鼬
鬱悒
鴻洞
麻茶
黮䨴
亂離
于嗟
于嗟乎
伴奐
倉兄
偃仰
凌厲
凌轢
凝情
嘲哳
噫嘻
奮迅
孤獨
孤高
崔嵬
崩騰
巖巒
彌漫
忽然
怡悅
怡然
恍忽
恍惚
悄然
悟悅
惘然
愴然
慌惚
掩抑
撥剌
於乎
晦昧
曖昧
沮洳
活潑
流落
流離
浩然
淒涼
清揚
清明
游衍
渺然
滴瀝
漂搖
演漾
澹然
濡染
猗嗟
猗歟
猗與
磬控
綿蠻
緜蠻
芬氳
芬芳
蕩漾
豈弟
輷輘
轔轢
迴合
遊敖
遊遨
閒關
閣閤
陵轢
陶然
離亂
離麋
零亂
零落
霢霂
霧露
饜飫
馳驅
高閣
倉庚
傀儡
僬僥
兜鍪
剞劂
㔩葉
可敦
可汗
喉嚨
單于
回紇
囹圄
培塿
娥皇
婕妤
嫦娥
孔雀
寠數
崑崙
恆娥
攙掄
斑蝥
昆吾
杜鵑
栲栳
桄榔
桔梗
桔槔
桾櫏
橄欖
檳榔
欂櫨
欃槍
欃檀
氀毼
洴澼
猓然
玫瑰
玻璃
琉璃
琅玕
琥珀
瑇瑁
瑚璉
瑪瑙
瓴甋
甌脫
瘈瘲
登利
盧橘
礛諸
箘簬
箜篌
粔籹
結遼
結骨
罘罳
罽賓
膀胱
艨艟
芙蓉
芙蕖
芣苢
苜蓿
苴蒪
茵蔯
莨菪
菡萏
萇楚
董蓈
葫蘆
蒺藜
蓽茇
薜荔
薺苨
蘆菔
蘮蒘
蘼蕪
蘿勒
蘿蔔
虎落
虷蠻
蚇蠖
蛉窮
蛤蚧
蛺蝶
蜉蝣
蜻蜊
蜻蜓
蜾蠃
蝍蛆
蝙蝠
蝜蝂
蝤蛑
螟蛉
螵蛸
蟪蛄
蠓蠛
蠼螋
袛裯
谷蠡
豆蔻
車渠
醽醁
金橘
鈷鉧
鋃鐺
鏌釾
閶闔
雎鳩
靺鞨
韃靼
餺飥
駃騠
駱駝
驊騮
䱭䲛
鳳凰
鵁鶄
鵕鸃
鵯鶋
鵷雛
鶹鷅
鶺鴒
鶻鵃
鷦䳟
鷦鷯
鷺鷥
鸋鴂
䴌䴀
鸕鶿
龍鯉
龜茲
俞然
倜然
具然
凜然
劃然
勃然
听然
哆然
嗑然
嗒然
嘸然
塊然
奭然
嫣然
嬪然
峨然
嶄然
幡然
怫然
戄然
柔然
油然
洗然
涓然
漂然
潢然
灼然
率然
祺然
窅然
索然
翕然
翛然
脫然
茫然
荅然
蘧然
褏然
贄然
蹍然
蹙然
蹴然
酌然
閹然
闞然
顒然
黯然
伊鬱
佶屈
依稀
倥侗
倭遲
傍偟
區霿
㕉匝
叫條
嘹亮
嘹唳
嚬呻
壘塊
姽嫿
娉婷
婀娜
孊密
宕冥
展轉
嵁巖
嵯峨
嶕嶢
巉巖
巊冥
徘徊
徬徨
忸怩
怊悵
悃款
悠揚
惆悵
憧憬
憭慄
懰慄
挑達
掠削
揮霍
斑剝
梗概
汗漫
洸洋
浶浪
浹渫
渟瀯
溝瞀
漫漶
潦倒
澶漫
爁焱
瑟索
瑟縮
痀僂
眴煥
瞟眇
矊眇
矍鑠
碭突
磅唐
磅礴
磈硊
磈磊
綝縿
縹緲
翡翠
聊浪
茗邈
菴藹
菶茸
蓄縮
蘖卼
蘭單
虺隤
蚡緼
螮蝀
蟬聯
裴徊
襤褸
覶縷
觱沸
詰誳
誂越
跌宕
跼躅
踽僂
蹣跚
輣闐
輾轉
逼迸
邐迤
酕醄
險巇
顄淡
顑頷
驞駍
髑髏
黯黮
丸丸
俟俟
僊僊
元元
冥冥
几几
切切
剡剡
勉勉
勤勤
匆匆
卑卑
卒卒
卬卬
即即
反反
咢咢
咨咨
咽咽
哀哀
啾啾
喋喋
喧喧
嗚嗚
嗛嗛
嗟嗟
嘄嘄
嘿嘿
噦噦
噲噲
噳噳
嚜嚜
嚶嚶
回回
坦坦
塗塗
增增
夔夔
多多
夢夢
央央
奔奔
奕奕
委委
娉娉
娟娟
嬛嬛
孑孑
孛孛
孽孽
安安
宴宴
寂寂
密密
實實
將將
少少
居居
屑屑
岌岌
岐岐
峨峨
峩峩
崔崔
嶢嶢
嶷嶷
巖巖
師師
幝幝
干干
幽幽
庸庸
弈弈
弗弗
彊彊
彌彌
律律
徐徐
循循
忽忽
忿忿
怛怛
怡怡
怲怲
怳怳
恍恍
恢恢
悁悁
悛悛
悽悽
惓惓
惙惙
惡惡
惸惸
愈愈
愉愉
愕愕
慊慊
慘慘
慼慼
憂憂
憒憒
憤憤
憯憯
憲憲
懇懇
懮懮
戀戀
戰戰
扈扈
抑抑
招招
挃挃
振振
捷捷
提提
揖揖
揭揭
搖搖
敖敖
斌斌
斐斐
斷斷
旁旁
旦旦
明明
昭昭
晢晢
晻晻
曀曀
杲杲
板板
栖栖
桀桀
桓桓
楚楚
檻檻
汎汎
汕汕
沃沃
沈沈
沖沖
浮浮
浸浸
淠淠
淫淫
淵淵
混混
渙渙
渠渠
渢渢
渾渾
溫溫
溱溱
滺滺
漂漂
漠漠
漣漣
漸漸
漾漾
潝潝
潰潰
澄澄
澤澤
澹澹
激激
濃濃
濊濊
濟濟
炎炎
烝烝
焱焱
熇熇
熏熏
熒熒
熙熙
燐燐
燕燕
燿燿
爗爗
瑲瑲
甫甫
田田
申申
痯痯
登登
發發
白白
皎皎
皐皐
皓皓
皦皦
盤盤
盪盪
睘睘
睠睠
矗矗
矜矜
碌碌
秩秩
稍稍
穆穆
穟穟
穰穰
究究
空空
管管
簡簡
籊籊
籍籍
粲粲
糾糾
累累
細細
綏綏
綽綽
綿綿
緜緜
緝緝
緩緩
縹縹
繞繞
繹繹
罩罩
翊翊
翔翔
翕翕
翯翯
翼翼
翹翹
耀耀
耳耳
肺肺
膠膠
膴膴
臯臯
與與
芬芬
英英
茀茀
茷茷
莘莘
莫莫
莽莽
菁菁
菶菶
蒞蒞
蔓蔓
薄薄
薨薨
藐藐
蛩蛩
蟲蟲
裔裔
裳裳
言言
訏訏
訩訩
許許
訾訾
訿訿
語語
調調
諄諄
諜諜
諾諾
謇謇
謔謔
謷謷
賁賁
賢賢
赫赫
赳赳
跦跦
蹇蹇
蹙蹙
蹜蹜
蹲蹲
蹶蹶
軫軫
輷輷
逸逸
遑遑
遲遲
邑邑
鄂鄂
鄰鄰
采采
鈴鈴
錄錄
鑠鑠
閑閑
陰陰
陽陽
隆隆
隱隱
震震
青青
靡靡
鞙鞙
顯顯
颮颮
颺颺
養養
馮馮
駪駪
騂騂
騤騤
騷騷
驕驕
驛驛
高高
鰓鰓
鶬鶬
麃麃
黃黃
墨墨
黯黯
在在
好好
昂昂
狒狒
丁丁
乾乾
了了
云云
交交
亦亦
京京
亭亭
亹亹
仇仇
介介
仡仡
令令
伎伎
休休
伾伾
佌佌
佖佖
佗佗
佯佯
佻佻
佼佼
侁侁
侃侃
依依
便便
俁俁
俅俅
俇俇
俞俞
倀倀
偕偕
偲偲
傍傍
傞傞
傫傫
僅僅
僕僕
僛僛
僬僬
僮僮
儃儃
儗儗
儦儦
優優
儽儽
兀兀
兢兢
冉冉
冏冏
冷冷
凜凜
刁刁
刺刺
剌剌
劫劫
匈匈
區區
厭厭
叟叟
呦呦
呫呫
呶呶
咄咄
咬咬
唧唧
唪唪
唯唯
啍啍
啞啞
喁喁
喃喃
喈喈
喓喓
喘喘
喣喣
喤喤
嗃嗃
嗑嗑
嗔嗔
嗷嗷
嘈嘈
嘐嘐
嘒嘒
嘔嘔
嘖嘖
嘵嘵
嘽嘽
噂噂
噍噍
噭噭
嚌嚌
囂囂
囷囷
坎坎
堂堂
填填
塺塺
夭夭
奄奄
奐奐
契契
姁姁
姍姍
娑娑
娓娓
娖娖
婪婪
媒媒
媞媞
嫚嫚
嬈嬈
孅孅
孜孜
孳孳
宛宛
容容
察察
寥寥
尋尋
屯屯
岧岧
岹岹
崟崟
崯崯
嵬嵬
嶄嶄
嶈嶈
嶪嶪
嶫嶫
嶬嶬
㠖㠖
巉巉
巍峨
巍峩
巍巍
幡幡
幪幪
平平
龐龐
弊弊
彧彧
彬彬
彭彭
彯彯
往往
徨徨
徾徾
忉忉
忡忡
忳忳
