pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
qī~qī~xīu~xīu,qi~qi~xiu~xiu,qi1~qi1~xiu1~xiu1,嘁嘁咻咻,嘁嘁咻咻,"NA","NA",LiJingEr,SOUND
shā~la~shā~la,sha~la~sha~la,sha1~la5~sha1~la5,沙啦沙啦,沙啦沙啦,srae~NA~srae,*sˤraj~NA~*sˤraj,LiJingEr,SOUND
shuā~lā~shuā~lā,shua~la~shua~la,shua1~la1~shua1~la1,唰拉唰拉,唰拉唰拉,NA~lop~NA~lop,NA~*[r]ˤəp~NA~*[r]ˤəp,LiJingEr,SOUND
sī~lā~sī~lā,si~la~si~la,si1~la1~si1~la1,噝拉噝拉,噝拉噝拉,NA~lop~NA~lop,NA~*[r]ˤəp~NA~*[r]ˤəp,LiJingEr,SOUND
sī~sī~bā~bā,si~si~ba~ba,si1~si1~ba1~ba1,撕撕巴巴,撕撕巴巴,NA~NA~pae~pae,NA~NA~*pˤra~*pˤra,LiJingEr,SOUND
sī~shā~sī~shā,si~sha~si~sha,si1~sha1~si1~sha1,嘶沙嘶沙,嘶沙嘶沙,sej~srae~sej~srae,*[s]ˤe~*sˤraj~*[s]ˤe~*sˤraj,LiJingEr,SOUND
sà~lā~sà~lā,sa~la~sa~la,sa4~la1~sa4~la1,趿拉趿拉,趿拉趿拉,NA~lop~NA~lop,NA~*[r]ˤəp~NA~*[r]ˤəp,LiJingEr,SOUND
tāng~lāng~lāng~lāng,tang~lang~lang~lang,tang1~lang1~lang1~lang1,鏜啷啷啷,镗啷啷啷,thang,*tʰˤaŋ,LiJingEr,SOUND
tāng~lāng~tāng~lāng,tang~lang~tang~lang,tang1~lang1~tang1~lang1,鏜啷鏜啷,镗啷镗啷,thang~NA~thang,*tʰˤaŋ~NA~*tʰˤaŋ,LiJingEr,SOUND
tī~tī~dǎ~dǎ,ti~ti~da~da,ti1~ti1~da3~da3,踢踢打打,踢踢打打,"NA","NA",LiJingEr,SOUND
