pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
chēng~chēng,cheng~cheng,cheng1~cheng1,琤琤,琤琤,NA,NA,WangWanRen,SOUND
chēng~chēng~cóng~cóng,cheng~cheng~cong~cong,cheng1~cheng1~cong2~cong2,琤琤琮琮,琤琤琮琮,NA,NA,WangWanRen,SOUND
chī,chi,chi1,哧,哧,NA,NA,WangWanRen,SOUND
chī~chī,chi~chi,chi1~chi1,哧哧,哧哧,NA,NA,WangWanRen,SOUND
chī~hū~chī~hū,chi~hu~chi~hu,chi1~hu1~chi1~hu1,哧唿哧唿,哧唿哧唿,NA,NA,WangWanRen,SOUND
chī~lā,chi~la,chi1~la1,哧啦,哧啦,NA,NA,WangWanRen,SOUND
chī~lā~chī~lā,chi~la~chi~la,chi1~la1~chi1~la1,哧啦哧啦,哧啦哧啦,NA,NA,WangWanRen,SOUND
chī,chi,chi1,嗤,嗤,NA,NA,WangWanRen,SOUND
chī~chī,chi~chi,chi1~chi1,嗤嗤,嗤嗤,NA,NA,WangWanRen,SOUND
chī~līu~līu,chi~liu~liu,chi1~liu1~liu1,嗤溜溜,嗤溜溜,NA,NA,WangWanRen,SOUND
chī~chī,chi~chi,chi1~chi1,吃吃,吃吃,NA,NA,WangWanRen,SOUND
chì~chì,chi~chi,chi4~chi4,叱叱,叱叱,NA,NA,WangWanRen,SOUND
cì~cì,ci~ci,ci4~ci4,刺刺,刺刺,tshjeH~tshjeH,*[tsʰ]ek-s~*[tsʰ]ek-s,WangWanRen,SOUND
cōng~cōng~zhēng~zhēng,cong~cong~zheng~zheng,cong1~cong1~zheng1~zheng1,鏦鏦錚錚,鏦鏦铮铮,NA,NA,WangWanRen,SOUND
cóng~cóng,cong~cong,cong2~cong2,淙淙,淙淙,NA,NA,WangWanRen,SOUND
cóng~cóng~chán~chán,cong~cong~chan~chan,cong2~cong2~chan2~chan2,淙淙潺潺,淙淙潺潺,NA,NA,WangWanRen,SOUND
cóng~cóng~líng~líng,cong~cong~ling~ling,cong2~cong2~ling2~ling2,琮琮玲玲,琮琮玲玲,NA,NA,WangWanRen,SOUND
dā,ta,da1,嗒,嗒,NA,NA,WangWanRen,SOUND
dā~dā,ta~ta,da1~da1,嗒嗒,嗒嗒,NA,NA,WangWanRen,SOUND
dā~dā~dā,ta~ta~ta,da1~da1~da1,嗒嗒嗒,嗒嗒嗒,NA,NA,WangWanRen,SOUND
dā~dā~dā~dā,ta~ta~ta~ta,da1~da1~da1~da1,嗒嗒嗒嗒,嗒嗒嗒嗒,NA,NA,WangWanRen,SOUND
dá~dá,da~da,da2~da2,答答,答答,top~top,*[t]ˤ[u]p~*[t]ˤ[u]p,WangWanRen,SOUND
dāng~dāng,dang~dang,dang1~dang1,當當,当当,tang~tang,*tˤaŋ~*tˤaŋ,WangWanRen,SOUND
dāng~dāng~dāng,dang~dang~dang,dang1~dang1~dang1,當當當,当当当,tang~tang~tang,*tˤaŋ~*tˤaŋ~*tˤaŋ,WangWanRen,SOUND
dāng~lāng,dang~lang,dang1~lang1,當啷,当啷,tang,*tˤaŋ,WangWanRen,SOUND
dāng~lāng~lāng,dang~lang~lang,dang1~lang1~lang1,當啷啷,当啷啷,tang,*tˤaŋ,WangWanRen,SOUND
dāng,dang,dang1,噹,噹,NA,NA,WangWanRen,SOUND
dāng~dāng~kuāng,dang~dang~kuang,dang1~dang1~kuang1,噹噹哐,噹噹哐,NA,NA,WangWanRen,SOUND
dāng~lāng~dāng~lāng,dang~lang~dang~lang,dang1~lang1~dang1~lang1,噹啷噹啷,噹啷噹啷,NA,NA,WangWanRen,SOUND
