pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
cóng~cóng~chán~chán,cong~cong~chan~chan,cong2~cong2~chan2~chan2,淙淙潺潺,淙淙潺潺,NA,NA,Wang,SOUND
cóng~cóng~líng~líng,cong~cong~ling~ling,cong2~cong2~ling2~ling2,琮琮玲玲,琮琮玲玲,NA,NA,Wang,SOUND
dā,da,da1,嗒,嗒,NA,NA,Wang,SOUND
dā~dā,da~da,da1~da1,嗒嗒,嗒嗒,NA,NA,Wang,SOUND
dā~dā~dā,da~da~da,da1~da1~da1,嗒嗒嗒,嗒嗒嗒,NA,NA,Wang,SOUND
dā~dā~dā~dā,da~da~da~da,da1~da1~da1~da1,嗒嗒嗒嗒,嗒嗒嗒嗒,NA,NA,Wang,SOUND
dá~dá,da~da,da2~da2,答答,答答,top~top,*[t]ˤ[u]p~*[t]ˤ[u]p,Wang,SOUND
dāng~dāng,dang~dang,dang1~dang1,當當,当当,tang~tang,*tˤaŋ~*tˤaŋ,Wang,SOUND
dāng~dāng~dāng,dang~dang~dang,dang1~dang1~dang1,當當當,当当当,tang~tang~tang,*tˤaŋ~*tˤaŋ~*tˤaŋ,Wang,SOUND
dāng~lāng,dang~lang,dang1~lang1,當啷,当啷,tang,*tˤaŋ,Wang,SOUND
dāng~lāng~lāng,dang~lang~lang,dang1~lang1~lang1,當啷啷,当啷啷,tang,*tˤaŋ,Wang,SOUND
dāng,dang,dang1,噹,噹,NA,NA,Wang,SOUND
dāng~dāng~kuāng,dang~dang~kuang,dang1~dang1~kuang1,噹噹哐,噹噹哐,NA,NA,Wang,SOUND
dāng~lāng~dāng~lāng,dang~lang~dang~lang,dang1~lang1~dang1~lang1,噹啷噹啷,噹啷噹啷,NA,NA,Wang,SOUND
dé~dé,de~de,de2~de2,得得,得得,tok~tok,*tˤək~*tˤək,Wang,SOUND
dé~lāng~lāng,de~lang~lang,de2~lang1~lang1,得啷啷,得啷啷,tok,*tˤək,Wang,SOUND
dé~lóng~dé~lóng~dōng,de~long~de~long~dong,de2~long2~de2~long2~dong1,得龍得龍咚,得龙得龙咚,tok~ljowng~tok~ljowng,*tˤək~*[mə]-roŋ~*tˤək~*[mə]-roŋ,Wang,SOUND
dé~dé,de~de,de2~de2,嘚嘚,嘚嘚,NA,NA,Wang,SOUND
dēng~dēng,deng~deng,deng1~deng1,蹬蹬,蹬蹬,NA,NA,Wang,SOUND
dēng~dēng,deng~deng,deng1~deng1,噔噔,噔噔,NA,NA,Wang,SOUND
dēng~dēng~dēng,deng~deng~deng,deng1~deng1~deng1,噔噔噔,噔噔噔,NA,NA,Wang,SOUND
dēng~dēng~dēng,deng~deng~deng,deng1~deng1~deng1,登登登,登登登,tong~tong~tong,*k-tˤəŋ~*k-tˤəŋ~*k-tˤəŋ,Wang,SOUND
dī~dā,di~da,di1~da1,滴嗒,滴嗒,NA,NA,Wang,SOUND
dī~dā~dī~dā,di~da~di~da,di1~da1~di1~da1,滴嗒滴嗒,滴嗒滴嗒,NA,NA,Wang,SOUND
dī~dī,di~di,di1~di1,滴滴,滴滴,NA,NA,Wang,SOUND
dī~dī~dá~dá,di~di~da~da,di1~di1~da2~da2,滴滴答答,滴滴答答,NA~NA~top~top,NA~NA~*[t]ˤ[u]p~*[t]ˤ[u]p,Wang,SOUND
dī~dī~dā~dā,di~di~da~da,di1~di1~da1~da1,滴滴嗒嗒,滴滴嗒嗒,NA,NA,Wang,SOUND
dī~dī~líng~líng,di~di~ling~ling,di1~di1~ling2~ling2,滴滴鈴鈴,滴滴铃铃,NA,NA,Wang,SOUND
dī~dī~xī~xī,di~di~xi~xi,di1~di1~xi1~xi1,滴滴淅淅,滴滴淅淅,NA,NA,Wang,SOUND
dī~dōng~dī~dōng,di~dong~di~dong,di1~dong1~di1~dong1,滴咚滴咚,滴咚滴咚,NA,NA,Wang,SOUND
dī~lǐ~guā~lā,di~li~gua~la,di1~li3~gua1~la1,滴里瓜拉,滴里瓜拉,NA~liX~kwae~lop,NA~*(mə.)rəʔ~*kʷˤra~*[r]ˤəp,Wang,SOUND
dí~dā,di~da,di2~da1,嘀嗒,嘀嗒,NA,NA,Wang,SOUND
dí~dí~bā~bā,di~di~ba~ba,di2~di2~ba1~ba1,嘀嘀吧吧,嘀嘀吧吧,NA,NA,Wang,SOUND
dí~dí~dā~dā,di~di~da~da,di2~di2~da1~da1,嘀嘀嗒嗒,嘀嘀嗒嗒,NA,NA,Wang,SOUND
dí~dí~gū~gū,di~di~gu~gu,di2~di2~gu1~gu1,嘀嘀咕咕,嘀嘀咕咕,NA,NA,Wang,SOUND
dí~dā,di~da,di2~da1,的嗒,的嗒,tek,*[t-l]ˤewk,Wang,SOUND
dí~dā~dí~dā,di~da~di~da,di2~da1~di2~da1,的嗒的嗒,的嗒的嗒,tek~NA~tek,*[t-l]ˤewk~NA~*[t-l]ˤewk,Wang,SOUND
dí~dá,di~da,di2~da2,笛答,笛答,NA~top,NA~*[t]ˤ[u]p,Wang,SOUND
dí~dí,di~di,di2~di2,笛笛,笛笛,NA,NA,Wang,SOUND
dié~dié,die~die,die2~die2,喋喋,喋喋,NA,NA,Wang,SOUND
dīng~dāng,ding~dang,ding1~dang1,丁當,丁当,teng~tang,*tˤeŋ~*tˤaŋ,Wang,SOUND
dīng~dāng~dīng~dāng,ding~dang~ding~dang,ding1~dang1~ding1~dang1,丁當丁當,丁当丁当,teng~tang~teng~tang,*tˤeŋ~*tˤaŋ~*tˤeŋ~*tˤaŋ,Wang,SOUND
dīng~dīng,ding~ding,ding1~ding1,丁丁,丁丁,teng~teng,*tˤeŋ~*tˤeŋ,Wang,SOUND
dīng~líng,ding~ling,ding1~ling2,丁零,丁零,teng~leng,*tˤeŋ~*[r]ˤiŋ,Wang,SOUND
dīng~líng~dāng~lāng,ding~ling~dang~lang,ding1~ling2~dang1~lang1,丁零當啷,丁零当啷,teng~leng~tang,*tˤeŋ~*[r]ˤiŋ~*tˤaŋ,Wang,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,丁零丁零,丁零丁零,teng~leng~teng~leng,*tˤeŋ~*[r]ˤiŋ~*tˤeŋ~*[r]ˤiŋ,Wang,SOUND
dīng~péng~dīng~péng,ding~peng~ding~peng,ding1~peng2~ding1~peng2,叮硼叮硼,叮硼叮硼,NA,NA,Wang,SOUND
dīng~dāng,ding~dang,ding1~dang1,叮噹,叮噹,NA,NA,Wang,SOUND
dīng~dāng~dīng~dāng,ding~dang~ding~dang,ding1~dang1~ding1~dang1,叮當叮當,叮当叮当,NA~tang~NA~tang,NA~*tˤaŋ~NA~*tˤaŋ,Wang,SOUND
dīng~dīng,ding~ding,ding1~ding1,叮叮,叮叮,NA,NA,Wang,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,叮叮當當,叮叮当当,NA~NA~tang~tang,NA~NA~*tˤaŋ~*tˤaŋ,Wang,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,叮叮噹噹,叮叮噹噹,NA,NA,Wang,SOUND
dīng~dīng~dōng~dōng,ding~ding~dong~dong,ding1~ding1~dong1~dong1,叮叮咚咚,叮叮咚咚,NA,NA,Wang,SOUND
dīng~dōng,ding~dong,ding1~dong1,叮咚,叮咚,NA,NA,Wang,SOUND
dīng~dōng~líng~dōng,ding~dong~ling~dong,ding1~dong1~ling2~dong1,叮咚玲咚,叮咚玲咚,NA,NA,Wang,SOUND
dīng~líng~líng,ding~ling~ling,ding1~ling2~ling2,叮呤呤,叮呤呤,NA,NA,Wang,SOUND
dīng~líng~líng,ding~ling~ling,ding1~ling2~ling2,叮鈴鈴,叮铃铃,NA,NA,Wang,SOUND
dīng~líng~dāng~lāng,ding~ling~dang~lang,ding1~ling2~dang1~lang1,叮鈴噹啷,叮铃噹啷,NA,NA,Wang,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,叮鈴叮鈴,叮铃叮铃,NA,NA,Wang,SOUND
dīng~dāng,ding~dang,ding1~dang1,玎璫,玎璫,NA,NA,Wang,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,玎玲玎玲,玎玲玎玲,NA,NA,Wang,SOUND
dīng~dāng~dīng~dāng,ding~dang~ding~dang,ding1~dang1~ding1~dang1,釘噹釘噹,钉噹钉噹,teng~NA~teng,*tˤeŋ~NA~*tˤeŋ,Wang,SOUND
dōng~dōng,dong~dong,dong1~dong1,冬冬,冬冬,towng~towng,*tˤuŋ~*tˤuŋ,Wang,SOUND
dōng~dōng~qiāng,dong~dong~qiang,dong1~dong1~qiang1,冬冬鏘,冬冬锵,towng~towng,*tˤuŋ~*tˤuŋ,Wang,SOUND
dōng,dong,dong1,咚,咚,NA,NA,Wang,SOUND
dōng~dōng,dong~dong,dong1~dong1,咚咚,咚咚,NA,NA,Wang,SOUND
dōng~dōng~dōng,dong~dong~dong,dong1~dong1~dong1,咚咚咚,咚咚咚,NA,NA,Wang,SOUND
dōng~dōng~qiāng~qiāng,dong~dong~qiang~qiang,dong1~dong1~qiang1~qiang1,咚咚鏘鏘,咚咚锵锵,NA,NA,Wang,SOUND
dū~dū,du~du,du1~du1,嘟嘟,嘟嘟,NA,NA,Wang,SOUND
dǔ~dǔ,du~du,du3~du3,篤篤,笃笃,towk~towk,*tˤuk~*tˤuk,Wang,SOUND
dǔ~dǔ~dǔ,du~du~du,du3~du3~du3,篤篤篤,笃笃笃,towk~towk~towk,*tˤuk~*tˤuk~*tˤuk,Wang,SOUND
duǒ~duǒ,duo~duo,duo3~duo3,朵朵,朵朵,NA,NA,Wang,SOUND
ēn~ēn,en~en,en1~en1,嗯嗯,嗯嗯,NA,NA,Wang,SOUND
ēn~ēn~a~a,en~en~a~a,en1~en1~a5~a5,嗯嗯啊啊,嗯嗯啊啊,NA,NA,Wang,SOUND
ēn~ēn~wū~wū,en~en~wu~wu,en1~en1~wu1~wu1,恩恩烏烏,恩恩乌乌,'on~'on~'u~'u,*ʔˤə[n]~*ʔˤə[n]~*[ʔ]ˤa~*[ʔ]ˤa,Wang,SOUND
féng~féng,feng~feng,feng2~feng2,渢渢,渢渢,NA,NA,Wang,SOUND
fú~fú,fu~fu,fu2~fu2,拂拂,拂拂,phjut~phjut,*pʰ[u]t~*pʰ[u]t,Wang,SOUND
fú~chī~fú~chī,fu~chi~fu~chi,fu2~chi1~fu2~chi1,咈哧咈哧,咈哧咈哧,bjut~NA~bjut,*[m-p][u]t~NA~*[m-p][u]t,Wang,SOUND
fú~fú,fu~fu,fu2~fu2,咈咈,咈咈,bjut~bjut,*[m-p][u]t~*[m-p][u]t,Wang,SOUND
gā,ga,ga1,嘎,嘎,NA,NA,Wang,SOUND
gā~bā,ga~ba,ga1~ba1,嘎吧,嘎吧,NA,NA,Wang,SOUND
gā~bā~gā~bā,ga~ba~ga~ba,ga1~ba1~ga1~ba1,嘎吧嘎吧,嘎吧嘎吧,NA,NA,Wang,SOUND
gā~bā~gā~bā,ga~ba~ga~ba,ga1~ba1~ga1~ba1,嘎叭嘎叭,嘎叭嘎叭,NA,NA,Wang,SOUND
gā~bēng~gā~bēng,ga~beng~ga~beng,ga1~beng1~ga1~beng1,嘎崩嘎崩,嘎崩嘎崩,NA~pong~NA~pong,NA~*Cə.pˤəŋ~NA~*Cə.pˤəŋ,Wang,SOUND
gār~gār,gar~gar,gar1~gar1,嘎兒嘎兒,嘎儿嘎儿,NA~nye~NA~nye,NA~*ŋe~NA~*ŋe,Wang,SOUND
gā~gā,ga~ga,ga1~ga1,嘎嘎,嘎嘎,NA,NA,Wang,SOUND
gā~gū,ga~gu,ga1~gu1,嘎咕,嘎咕,NA,NA,Wang,SOUND
gā~lā~lā,ga~la~la,ga1~la1~la1,嘎啦啦,嘎啦啦,NA,NA,Wang,SOUND
gā~lāng~gā~lāng,ga~lang~ga~lang,ga1~lang1~ga1~lang1,嘎啷嘎啷,嘎啷嘎啷,NA,NA,Wang,SOUND
gā~zhā,ga~zha,ga1~zha1,嘎喳,嘎喳,NA,NA,Wang,SOUND
gā~zhī,ga~zhi,ga1~zhi1,嘎吱,嘎吱,NA,NA,Wang,SOUND
gā~zhī~gā~zhī,ga~zhi~ga~zhi,ga1~zhi1~ga1~zhi1,嘎吱嘎吱,嘎吱嘎吱,NA,NA,Wang,SOUND
gē~bā,ge~ba,ge1~ba1,咯吧,咯吧,NA,NA,Wang,SOUND
gē~bā~gē~bā,ge~ba~ge~ba,ge1~ba1~ge1~ba1,咯叭咯叭,咯叭咯叭,NA,NA,Wang,SOUND
gē~bēng,ge~beng,ge1~beng1,咯嘣,咯嘣,NA,NA,Wang,SOUND
gē~bēng~bēng,ge~beng~beng,ge1~beng1~beng1,咯嘣嘣,咯嘣嘣,NA,NA,Wang,SOUND
gē~bēng~gē~bēng,ge~beng~ge~beng,ge1~beng1~ge1~beng1,咯嘣咯嘣,咯嘣咯嘣,NA,NA,Wang,SOUND
gē~cā,ge~ca,ge1~ca1,咯嚓,咯嚓,NA,NA,Wang,SOUND
gē~dēng,ge~deng,ge1~deng1,咯噔,咯噔,NA,NA,Wang,SOUND
gē~dēng~gē~dēng,ge~deng~ge~deng,ge1~deng1~ge1~deng1,咯噔咯噔,咯噔咯噔,NA,NA,Wang,SOUND
gē~dōng~gē~dōng,ge~dong~ge~dong,ge1~dong1~ge1~dong1,咯咚咯咚,咯咚咯咚,NA,NA,Wang,SOUND
gē~ér,ge~er,ge1~er2,咯兒,咯儿,NA~nye,NA~*ŋe,Wang,SOUND
gē~gē,ge~ge,ge1~ge1,咯咯,咯咯,NA,NA,Wang,SOUND
gē~gē~dā~dā,ge~ge~da~da,ge1~ge1~da1~da1,咯咯嗒嗒,咯咯嗒嗒,NA,NA,Wang,SOUND
gē~gē~dā~dā,ge~ge~da~da,ge1~ge1~da1~da1,咯咯噠噠,咯咯哒哒,NA,NA,Wang,SOUND
gē~gē~gā,ge~ge~ga,ge1~ge1~ga1,咯咯嘎,咯咯嘎,NA,NA,Wang,SOUND
gē~lā~gē~lā,ge~la~ge~la,ge1~la1~ge1~la1,咯啦咯啦,咯啦咯啦,NA,NA,Wang,SOUND
gē~hǎn~gē~hǎn,ge~han~ge~han,ge1~han3~ge1~han3,咯㘕咯㘕,咯㘕咯㘕,NA,NA,Wang,SOUND
gē~tǎ~tǎ,ge~ta~ta,ge1~ta3~ta3,咯塔塔,咯塔塔,NA,NA,Wang,SOUND
gē~zhā,ge~zha,ge1~zha1,咯喳,咯喳,NA,NA,Wang,SOUND
gē~zhī,ge~zhi,ge1~zhi1,咯吱,咯吱,NA,NA,Wang,SOUND
gē~zhī~gē~zhī,ge~zhi~ge~zhi,ge1~zhi1~ge1~zhi1,咯吱咯吱,咯吱咯吱,NA,NA,Wang,SOUND
gē~zhī~zhī,ge~zhi~zhi,ge1~zhi1~zhi1,咯吱吱,咯吱吱,NA,NA,Wang,SOUND
gē~gē,ge~ge,ge1~ge1,格格,格格,kaek~kaek,*kˤrak~*kˤrak,Wang,SOUND
gē~lā~gē~lā,ge~la~ge~la,ge1~la1~ge1~la1,格拉格拉,格拉格拉,kaek~lop~kaek~lop,*kˤrak~*[r]ˤəp~*kˤrak~*[r]ˤəp,Wang,SOUND
gē~lā~lā,ge~la~la,ge1~la1~la1,格啦啦,格啦啦,kaek,*kˤrak,Wang,SOUND
gē~zhī~zhī,ge~zhi~zhi,ge1~zhi1~zhi1,格吱吱,格吱吱,kaek,*kˤrak,Wang,SOUND
gē~bēng~bēng,ge~beng~beng,ge1~beng1~beng1,圪嘣嘣,圪嘣嘣,NA,NA,Wang,SOUND
gē~chá~chá,ge~cha~cha,ge1~cha2~cha2,圪察察,圪察察,NA~tsrheat~tsrheat,NA~*[tsʰ]ˤret~*[tsʰ]ˤret,Wang,SOUND
gē~dā~dā,ge~da~da,ge1~da1~da1,圪嗒嗒,圪嗒嗒,NA,NA,Wang,SOUND
gé~gé,ge~ge,ge2~ge2,閣閣,阁阁,kak~kak,*C.kˤak~*C.kˤak,Wang,SOUND
gěng~zhī~gěng~zhī,geng~zhi~geng~zhi,geng3~zhi1~geng3~zhi1,哽吱哽吱,哽吱哽吱,NA,NA,Wang,SOUND
gǒu~gā,gou~ga,gou3~ga1,𠯜嘎,𠯜嘎,NA,NA,Wang,SOUND
gū~a~gā~a,gu~a~ga~a,gu1~a5~ga1~a5,咕啊嘎啊,咕啊嘎啊,NA,NA,Wang,SOUND
gū~a~gū~a,gu~a~gu~a,gu1~a5~gu1~a5,咕啊呱啊,咕啊呱啊,NA~NA~ku,NA~NA~*kʷˤa,Wang,SOUND
gū~cā,gu~ca,gu1~ca1,咕嚓,咕嚓,NA,NA,Wang,SOUND
gū~dā~gū~dā,gu~da~gu~da,gu1~da1~gu1~da1,咕噠咕噠,咕哒咕哒,NA,NA,Wang,SOUND
gū~dēng,gu~deng,gu1~deng1,咕噔,咕噔,NA,NA,Wang,SOUND
gū~dēng~gū~dēng,gu~deng~gu~deng,gu1~deng1~gu1~deng1,咕噔咕噔,咕噔咕噔,NA,NA,Wang,SOUND
gū~dōng,gu~dong,gu1~dong1,咕冬,咕冬,NA~towng,NA~*tˤuŋ,Wang,SOUND
gū~dōng~dōng,gu~dong~dong,gu1~dong1~dong1,咕冬冬,咕冬冬,NA~towng~towng,NA~*tˤuŋ~*tˤuŋ,Wang,SOUND
gū~dōng~gū~dōng,gu~dong~gu~dong,gu1~dong1~gu1~dong1,咕冬咕冬,咕冬咕冬,NA~towng~NA~towng,NA~*tˤuŋ~NA~*tˤuŋ,Wang,SOUND
gū~lāng~lāng,gu~lang~lang,gu1~lang1~lang1,咕啷啷,咕啷啷,NA,NA,Wang,SOUND
gū~lāng~gū~lāng,gu~lang~gu~lang,gu1~lang1~gu1~lang1,咕啷咕啷,咕啷咕啷,NA,NA,Wang,SOUND
gū~gū,gu~gu,gu1~gu1,咕咕,咕咕,NA,NA,Wang,SOUND
gū~gū~gē,gu~gu~ge,gu1~gu1~ge1,咕咕咯,咕咕咯,NA,NA,Wang,SOUND
gū~gū~gū~gū,gu~gu~gu~gu,gu1~gu1~gu1~gu1,咕咕咕咕,咕咕咕咕,NA,NA,Wang,SOUND
gū~gū~lóng~lóng,gu~gu~long~long,gu1~gu1~long2~long2,咕咕隆隆,咕咕隆隆,NA~NA~ljuwng~ljuwng,NA~NA~*[r]uŋ~*[r]uŋ,Wang,SOUND
gū~gū~lū~lū,gu~gu~lu~lu,gu1~gu1~lu1~lu1,咕咕嚕嚕,咕咕噜噜,NA,NA,Wang,SOUND
gū~lī~gū~dōng,gu~li~gu~dong,gu1~li1~gu1~dong1,咕哩咕咚,咕哩咕咚,NA,NA,Wang,SOUND
gū~lóng,gu~long,gu1~long2,咕隆,咕隆,NA~ljuwng,NA~*[r]uŋ,Wang,SOUND
gū~lóng~gū~lóng,gu~long~gu~long,gu1~long2~gu1~long2,咕隆咕隆,咕隆咕隆,NA~ljuwng~NA~ljuwng,NA~*[r]uŋ~NA~*[r]uŋ,Wang,SOUND
gū~lū,gu~lu,gu1~lu1,咕嚕,咕噜,NA,NA,Wang,SOUND
gū~lū~gū~lū,gu~lu~gu~lu,gu1~lu1~gu1~lu1,咕嚕咕嚕,咕噜咕噜,NA,NA,Wang,SOUND
gū~lū~lū,gu~lu~lu,gu1~lu1~lu1,咕嚕嚕,咕噜噜,NA,NA,Wang,SOUND
gū~lù~lù,gu~lu~lu,gu1~lu4~lu4,咕㖨㖨,咕㖨㖨,NA,NA,Wang,SOUND
gū~lù~lù,gu~lu~lu,gu1~lu4~lu4,咕碌碌,咕碌碌,NA,NA,Wang,SOUND
gū~wā~gū~wā,gu~wa~gu~wa,gu1~wa1~gu1~wa1,咕哇咕哇,咕哇咕哇,NA,NA,Wang,SOUND
gū~kǔ,gu~ku,gu1~ku3,孤苦,孤苦,ku~khuX,*kʷˤa~*kʰˤaʔ,Wang,SOUND
