pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
di1~li4,dī~lì,di~li,滴瀝,滴沥,tek~lek,NA~NA,水,BR,"NA",dribbling droplets,NA,狀聲詞。形容水滴落下的聲音。文選．王延壽．魯靈光殿賦：「動滴瀝以成響，殷雷應其若驚。」,also 瀝滴,Kroll,NA
yi1~yu3,yī~yǔ,yi~yu,猗歟,猗欤,'je~yo,NA~NA,"NA",RR,"NA",ah yes! oh indeed!,NA,"NA","NA",Kroll,NA
fen1~yun1,fēn~yūn,fen~yun,芬氳,芬氲,pjun~'jun,NA~NA,"NA",BR,"NA","perfused and saturated, laden and swollen, blanketing overcast full of vapors, snow, odors, etc.",NA,"NA","NA",Kroll,NA
lin2~li4,lín~lì,lin~li,轔轢,辚轹,lin~lek,NA~*[r]ˤawk,車,BR,"NA",crush under wheels of chariot,NA,車輪輾過。史記．卷一一七．司馬相如傳：「徒車之所轔轢，乘騎之所蹂若。」欺凌。隋書．卷七十五．儒林傳．何妥傳：「曹魏祖不識北辰，今復轔轢太史。」近踐踏亦作「凌轢」。,"NA",Kroll,NA
li2~mi2,lí~mí,li~mi,離麋,离麋,lje~~ mje,*[r]aj~*mr[i]j,"NA",BR,"NA","tightly tangled, continuously connected",NA,"NA","NA",Kroll,NA
ling2~luo4,líng~luò,ling~luo,零落,零落,leng~lak,*[r]ˤiŋ~*kə.rˤak,"NA",BR,"NA","withered and wasted, sere and strepped, devastated; in vain disarray",NA,草木凋落。禮記．王制：「草木零落，然後入山林。」楚辭．屈原．離騷：「惟草木之零落兮，恐美人之遲暮。」近凋零、凋謝、脫落反興盛、茂盛死亡。比喻人事衰頹。文選．孔融．論盛孝章書：「海內知識，零落殆盡。」樂府詩集．卷四十．相和歌詞十五．晉．陸機．門有車馬客行：「親友多零落，舊齒皆凋喪。」近凋零、凋謝反興盛、茂盛、興旺身世落魄。唐．杜甫．佳人詩：「自云良家子，零落依草木。」紅樓夢．第九十二回：「豈知甄士隱弄到零落不堪，沒有找處。」近落莫反興盛、興旺景色蕭條殘敗。三國演義．第六回：「關中殘破零落。今無故捐宗廟，棄皇陵，恐百姓驚動。」稀疏不全。大宋宣和遺事．貞集：「皆零落骨殖，復合取二木函殮之。」近稀落反密集,"NA",Kroll,NA
mai4~mu4,mài~mù,mai~mu,霢霂,霢霂,mweak~muwk,NA~NA,雨,BR,"NA","light drizzle, mizzle; 
(med.) also, shining and sweat",NA,小雨。詩經．小雅．信南山：「上天同雲，雨雪雰雰。益之以霢霂，既優既渥。」比喻流汗的樣子。文選．左思．吳都賦：「揮袖風飄而紅塵晝昏，流汗霢霂而中逵泥濘。」唐．白居易．香山寺石樓潭夜浴詩：「搖扇風甚微，褰裳汗霢霂。」,"NA",Kroll,NA
yu2~ran2,yú~rán,yu~ran,俞然,俞然,yu~nyen,*lo~*[n]a[n],"NA",RAN,"俞俞, 俞然","contented, satisfied; at ease",NA,"NA","NA",Kroll,NA
ti4~ran2,tì~rán,ti~ran,倜然,倜然,thek~nyen,NA~*[n]a[n],"NA",RAN,"NA","extraordinary, exceptional, standing out from the crowd; faraway, distant, almost beyond reach",NA,"NA","NA",Kroll,NA
ju4~ran2,jù~rán,ju~ran,具然,具然,gjuH~nyen,*[g](r)o-s~*[n]a[n],"NA",RAN,"NA","contentedly, pleased, satisfiedly",NA,自我滿足的樣子。荀子．宥坐：「今學曾未如肬贅，則具然欲為人師。」,"NA",Kroll,NA
lin3~ran2,lǐn~rán,lin~ran,凜然,凛然,limX~nyen,*[r][ə]mʔ~*[n]a[n],"NA",RAN,"NA","severly, coldly, forbiddingly",NA,"NA","NA",Kroll,NA
hua4~ran2,huà~rán,hua~ran,劃然,划然,hweak~nyen,*gʷˤrek~*[n]a[n],"NA",RAN,"NA","suddenly, abruptly; clearly, distinctly",NA,形容皮、肉撕裂開來。聊齋志異．卷一．畫皮：「嫗仆，人皮劃然而脫，化為厲鬼。」,"NA",Kroll,NA
bo2~ran2,bó~rán,bo~ran,勃然,勃然,bwot~nyen,*[b]ˤut~*[n]a[n],"NA",RAN,勃如,"all of a sudden, abruptly; short-tempered",NA,發怒衝動的樣子。孟子．萬章下：「王勃然變乎色。」戰國策．趙策三：「威王勃然怒曰：『叱嗟！而母婢也！』」亦作「勃如」。興起、奮起的樣子。淮南子．兵略：「有聖人勃然而起，乃討強暴，平亂世，夷險除穢，以濁為清，以危為寧。」突然。莊子．天地：「蕩蕩乎，忽然出，勃然動，而萬物從之乎。」,"NA",Kroll,NA
yin3~ran2,yǐn~rán,yin~ran,听然,听然,ngj+nH~nyen,NA~*[n]a[n],口,RAN,"NA","smiling(ly), with a grin",NA,"NA",yin3 usually pronounced ting1,Kroll,NA
chi3~ran2,chǐ~rán,chi~ran,哆然,哆然,tsyhiX~nyen,*[t-l̥]Ajʔ~*[n]a[n],口,RAN,"NA",loosely; sloppily; indiscreetly,NA,"NA","NA",Kroll,NA
xia1~ran2,xiā~rán,xia~ran,嗑然,嗑然,khaep~nyen,NA~*[n]a[n],口,RAN,"NA","guffaw, heehaw",NA,"NA",xia1 also he2 (MC hjep) and ge3 (MC kap),Kroll,NA
ta4~ran2,tà~rán,ta~ran,嗒然,嗒然,thap~nyen,NA~*[n]a[n],口,RAN,"NA","in a trance, as though embodied",NA,失意、沮喪的樣子。如：「他對人生已嗒然絕望。」或作「嗒喪」、「嗒焉」。,"NA",Kroll,NA
fu3~ran2,fǔ~rán,fu~ran,嘸然,呒然,phjuX~nyen,NA~*[n]a[n],口,RAN,"NA","aghast, astonished, flabbergasted, stunned",NA,"NA",no other definition given for 嘸 fu3,Kroll,NA
kuai4~ran2,kuài~rán,kuai~ran,塊然,块然,khwojH~nyen,*[kʰ]ˤ<r>uj-s~*[n]a[n],"NA",RAN,"NA","alone, independently, one one's own",NA,獨處、安然。穀梁傳．僖公五年：「塊然受諸侯之尊已，而立乎其位，是不子也。」孤獨的樣子。晉．劉琨．答盧諶書：「塊然獨坐，則哀憤兩集。」聊齋志異．卷二．鳳陽士人：「女獨坐，塊然無侶，中心憤恚，頗難自堪。」,"NA",Kroll,NA
shi4~ran2,shì~rán,shi~ran,奭然,奭然,syek~nyen,*[qʰ](r)Ak~*[n]a[n],"NA",RAN,"NA","unhindered, unhampered; in full force",NA,"NA","NA",Kroll,NA
yan1~ran2,yān~rán,yan~ran,嫣然,嫣然,'an~nyen,NA~*[n]a[n],"NA",RAN,"NA",with happy heart,NA,嫵媚美好的樣子。多用以形容笑容。宋．姜夔．念奴嬌．鬧紅一舸詞：「嫣然搖動，冷香飛上詩句。」,"NA",Kroll,NA
pin2~ran2,pín~rán,pin~ran,嬪然,嫔然,bjin~nyen,NA~*[n]a[n],"NA",RAN,"NA","a large group, multitude",NA,"NA","NA",Kroll,NA
e2~ran2,é~rán,e~ran,峨然,峨然,nga~nyen,NA~*[n]a[n],山,RAN,峩然,standing out like a lone peak,NA,高聳的樣子。唐．皮日休．鄙孝議下篇：「所在之州鄙，礱石峨然。」卓然不凡的樣子。抱朴子．外篇．刺驕：「其或峨然守正，確爾不移。」南朝宋．劉義慶．世說新語．賞譽上．劉孝標．注引晉諸公贊曰：「嶠常慕其舅夏侯玄為人，故於朝士中峨然不群，時類憚其風節。」,"NA",Kroll,NA
zhan3~ran2,zhǎn~rán,zhan~ran,嶄然,崭然,dzjemX~nyen,NA~*[n]a[n],山,RAN,"NA","eminent(ly), overtopping, elevated; prominent(ly), outstanding",NA,高峻突出的樣子。唐．柳宗元．柳州山水近治可游者記：「北有雙山，夾道嶄然。」清．王士禎．池北偶談．卷二十六．小獵犬：「見一小鹿，長二寸許，雙角嶄然。」形容事物簇新鮮明。聊齋志異．卷十．恆娘：「袍褲襪履，嶄然一新。」,"NA",Kroll,NA
fan1~ran2,fān~rán,fan~ran,幡然,幡然,bjon~nyen,NA~*[n]a[n],巾,RAN,旛然,fluctuant; prone to change,NA,忽然改變的樣子。孟子．萬章上：「湯三使往聘之，既而幡然改曰：『與我處畎畝之中，由是以樂堯舜之道，吾豈若使是君為堯舜之君哉。』」亦作「翻然」。,"NA",Kroll,NA
fu2~ran2,fú~rán,fu~ran,怫然,怫然,bjut~nyen,*[b][u]t-s~*[n]a[n],心,RAN,"NA",infuriated,NA,忿怒、生氣的樣子。莊子．天地：「謂己道人，則勃然作色；謂己諛人，則怫然作色。」忿怒、生氣的樣子。初刻拍案驚奇．卷十七：「卻見說了這話，心裡怫然，便道：『我無尊人拘管，只礙得這個小業畜！不問怎的結果了他？等我自由自在。』」,怫 fei4 also fu2 (MC bjut),Kroll,NA
jue2~ran2,jué~rán,jue~ran,戄然,戄然,gjak~nyen,NA~*[n]a[n],心,RAN,"NA","shocked, dumbfounded; unsettled, paralyzed with fear",NA,驚惶的樣子。戰國策．魏策三：「秦王戄然曰：『國有事，未澹下兵也，今以兵從。』」史記．卷六十二．管晏傳：「入閨久之，越石父請絕。晏子戄然，攝衣冠謝曰：『嬰雖不仁，免子於厄，何子求絕之速也？』」,cf. 矍矍 jue2,Kroll,NA
rou2~ran2,róu~rán,rou~ran,柔然,柔然,nyuw~nyen,*nu~*[n]a[n],木,RAN,"蠕蠕, 蝡蝡","peoples of mixed ethnolinguistic ancestry who conquered the Eastern Steppe and established a kingdom ranging from Karashahr in Northwestern Tarim Basin o the borders of North Korea, during 4th-6th centuries, identified with the Avars",NA,我國古代少數民族之一。初屬拓拔部，為東胡族的苗裔。自始祖木骨閭傳至社崙，凶狡有權變，南北朝時漸強大，渡漠北，侵高車，併合諸部，國勢大振。其後屢敗於北魏，於西魏廢帝時，為突厥所滅。亦稱為「芮芮」、「蠕蠕」。,ideophone?,Kroll,NA
you2~ran2,yóu~rán,you~ran,油然,油然,yuw~nyen,*[l][u]~*[n]a[n],水,RAN,"NA","boiling up, swelling, like fuming vapor or rasing clouds; as easily or smoothly as can be",NA,自然而然。如「油然而生」。莊子．知北遊：「陰陽四時，運行各得其序，惛然若亡而存，油然不形而神。」充沛的樣子。孟子．梁惠王上：「天油然作雲，沛然下雨。」舒緩貌。孔子家語．卷一．五儀解：「篤行信道，自強不息，油然若將可越而終不可及者，此則君子也。」,"NA",Kroll,NA
xian3~ran2,xiǎn~rán,xian~ran,洗然,洗然,senX~nyen,*[s]ˤərʔ~*[n]a[n],水,RAN,"NA","in a dignified, grave manner; unperturbed, composed; distinct(ly), clear(ly)",NA,肅敬莊嚴的樣子。文選．潘岳．夏侯常侍誄：「子乃洗然，變色易容。」恬靜安適的樣子。文選．潘岳．為賈謐作贈陸機詩：「吾子洗然，恬淡自逸。」唐．杜甫．營屋詩：「洗然順所適，此足代加餐。」明朗清晰，有條不紊的樣子。新唐書．卷一二七．張嘉貞傳：「循憲召見，咨以事。嘉貞條析理分，莫不洗然。」唐．司空圖．月下留丹灶詩．序：「跡雖顯奇，道必體正，故為物怪之所中者。見之莫不洗然。」,xian3 normally pronounced as xi3,Kroll,NA
xuan2~ran2,xuán~rán,xuan~ran,涓然,涓然,henH~nyen,NA~*[n]a[n],水,RAN,"NA","running, flowing, trickling (of tears)",NA,"NA",涓 xuan2 also juan1 (MC kjwen),Kroll,NA
piao1~ran2,piāo~rán,piao~ran,漂然,漂然,phjew~nyen,NA~*[n]a[n],水,RAN,"NA",high and far off,NA,高遠、崇高的樣子。漢．楊惲．報孫會宗書：「夫西河魏土，文侯所興，有段干木田子方之遺風；漂然皆有節概，知去就之分。」,"NA",Kroll,NA
huang4~ran2,huàng~rán,huang~ran,潢然,潢然,hwangX~nyen,NA~*[n]a[n],水,RAN,滉然,"in a deluge; overflowing, flooding",NA,"NA","NA",Kroll,NA
zhuo2~ran2,zhuó~rán,zhuo~ran,灼然,灼然,tsyak~nyen,NA~*[n]a[n],火,RAN,"灼然, 酌然","(med.) obviously, evidently, clearly; certainly",NA,明白、清楚。書經．呂刑．孔安國．傳：「灼然彰著四方，故天下之士無不惟德之勤。」晉．劉寔．崇讓論：「推讓之風行，則賢與不肖灼然殊矣。」,"NA",Kroll,NA
shuai4~ran2,shuài~rán,shuai~ran,率然,率然,srwit~nyen,*[r]ut-s~*[n]a[n],"NA",RAN,"NA","rash, hasty; indiscreet",NA,古代傳說中的一種蛇。孫子．九地：「故善用兵者，譬如率然。率然者，常山之蛇也。擊其首則尾至，擊其尾則首至，擊其中則首尾俱至。」亦比喻前後相呼應。晉書．卷七十三．庾龢傳：「若窮寇慮逼，送死一決，東西互出，首尾俱進，則廩糧有抄截之患，遠略乏率然之勢。」輕率匆促的樣子。後漢書．卷十七．賈復傳：「復率然對曰：『臣請擊郾。』」明．唐順之．贈李司訓遷官臨安序：「今則不然，不量其人之能與不能也，率然授之為師。」,"NA",Kroll,NA
qi2~ran2,qí~rán,qi~ran,祺然,祺然,gi~nyen,NA~*[n]a[n],示,RAN,"NA","serenly, calmly, composedly",NA,"NA","NA",Kroll,NA
yao3~ran2,yǎo~rán,yao~ran,窅然,窅然,'jewX~nyen,NA~*[n]a[n],穴,RAN,"NA",deep into the distance; inscrutably; distractedly,NA,悵然若失的樣子。莊子．逍遙遊：「往見四子藐姑射之山，汾水之陽，窅然喪其天下焉。」深遠的樣子。文選．傅亮．為宋公修張良廟教：「顯默之際，窅然難究。」唐．李景亮．李章武傳：「但空室窅然，寒燈半滅而已。」,"NA",Kroll,NA
suo3~ran2,suǒ~rán,suo~ran,索然,索然,sak~nyen,*[s]ˤak~*[n]a[n],糸,RAN,"NA",at loose ends; descriptive of tears falling in streams,NA,乏味、落寞。儒林外史．第二十九回：「如今先生把他做了詩，下面又強對了一句，便覺索然了。」紅樓夢．第十三回：「寶玉因近日林黛玉回去，剩得自己孤恓，也不和人頑耍，每到晚間，便索然睡了。」,"NA",Kroll,NA
xi1~ran2,xī~rán,xi~ran,翕然,翕然,xip~nyen,*qʰ(r)[ə]p~*[n]a[n],羽,RAN,"NA",in pursed-together manner; in thorough or consistent matter,NA,和順的樣子。史記．卷一三○．太史公自序：「天下翕然，大安殷富。」忽然。聊齋志異．卷十一．竹青：「兩脇生翼，翕然凌空，經兩時許，已達漢水。」,"NA",Kroll,NA
xiao1~ran2,xiāo~rán,xiao~ran,翛然,翛然,sew~nyen,NA~*[n]a[n],羽,RAN,"NA","natural and detached, casual(ly); brisk(ly) and without fuss",NA,毫無牽掛、自由自在的樣子。莊子．大宗師：「翛然而往，翛然而來而已矣。」明．今釋澹歸．八聲甘州．算軍持頻掛到於今詞：「有得相留戀，也合翛然。」,"NA",Kroll,NA
tuo1~ran2,tuō~rán,tuo~ran,脫然,脱然,thwat~nyen,NA~*[n]a[n],月,RAN,"NA","indifferently, casually",NA,"NA","NA",Kroll,NA
mang2~ran2,máng~rán,mang~ran,茫然,茫然,mang~nyen,NA~*[n]a[n],水,RAN,"NA","blindly lost, in a haze",NA,無所知的樣子。唐．韓愈．宿曾江口示姪孫湘詩：「茫然失所詣，無路何能還。」紅樓夢．第三十三回：「見寶釵進來，方得便出來，茫然不知何往。」悵惘若失的樣子。唐．杜甫．送韋書記赴安西詩：「欲浮江海去，此別意茫然。」廣遠的樣子。唐．李白．行路難三首之一：「停杯投箸不能食，拔劍四顧心茫然。」唐．杜甫．遣興詩三首之一：「下馬古戰場，四顧但茫然。」,"NA",Kroll,NA
ta1~ran2,tā~rán,ta~ran,荅然,荅然,thop~nyen,*[t]ˤ[ə]p~*[n]a[n],"NA",RAN,"NA",hopelessly; dejectedly,NA,"NA",荅 ta2 also da2 (MC top); cf. 荅焉 ta2yan1,Kroll,NA
qu2~ran2,qú~rán,qu~ran,蘧然,蘧然,gjo~nyen,NA~*[n]a[n],艸,RAN,"NA","with a start, startled, all of a sudden",NA,驚喜的樣子。,"NA",Kroll,NA
you4~ran2,yòu~rán,you~ran,褏然,褏然,yuwH~nyen,NA~*[n]a[n],衣,RAN,"NA","outstandingly, prominently, pronouncedly",NA,"NA","NA",Kroll,NA
zhi4~ran2,zhì~rán,zhi~ran,贄然,贽然,tsyijH~nyen,NA~*[n]a[n],貝,RAN,"NA","staunchly, immovably, motionless, at a standstill",NA,"NA","NA",Kroll,NA
zhan3~ran2,zhǎn~rán,zhan~ran,蹍然,蹍然,nrjenX~nyen,*[n]r[a][n]ʔ~*[n]a[n],足,RAN,"NA","curled up, huddled",NA,"NA","NA",Kroll,NA
cu4~ran2,cù~rán,cu~ran,蹙然,蹙然,tsjuwk~nyen,NA~*[n]a[n],足,RAN,"NA",discomposed; anxiously; uneasily,NA,憂愁的樣子。明．劉元卿．賢奕編．多憂：「楊文廣圍困柳州城中，內乏糧餉，外阻援兵，蹙然踊歎不已。」,"NA",Kroll,NA
cu4~ran2,cù~rán,cu~ran,蹴然,蹴然,tshjuwk~nyen,NA~*[n]a[n],足,RAN,"NA","startled, unsettled, astonished",NA,恭敬的樣子。禮記．哀公問：「孔子蹴然辟席而對曰：『仁人不過乎物，……。』」,"NA",Kroll,NA
zhuo2~ran2,zhuó~rán,zhuo~ran,酌然,酌然,tsyak~nyen,*tewk~*[n]a[n],酉,RAN,"灼然, 酌然","(med.) obviously, evidently, clearly; certainly",NA,"NA","NA",Kroll,NA
yan1~ran2,yān~rán,yan~ran,閹然,阉然,'jem~nyen,NA~*[n]a[n],門,RAN,"NA","cringingly, obsequiously",NA,隱蔽、掩藏的樣子。孟子．盡心下：「閹然媚於世也者，是鄉原也。」,"NA",Kroll,NA
han3~ran2,hǎn~rán,han~ran,闞然,阚然,xeamX~nyen,NA~*[n]a[n],門,RAN,"NA","like a tiger's roar or growl; fearsome, forceful",NA,"NA",闞 han3 also kan4 (MC khomH); also han3ru2 闞如,Kroll,NA
yong2~ran2,yóng~rán,yong~ran,顒然,顒然,ngjowng~nyen,NA~*[n]a[n],頁,RAN,"喁喁, 顒顒, 顒然","eagerly expectant; answerin agreement, be in tune with, jibe with; chime in compliantly; accompany",NA,"NA","NA",Kroll,NA
yi1~yu4,yī~yù,yi~yu,伊鬱,伊鬱,'jij~jut,*ʔij~*qut,"NA",RB,"NA","pent up with rage, vexed and exasperated",NA,憂煩鬱結。文選．何晏．景福殿賦：「感乎溽暑之伊鬱，而慮性命之所平。」,"NA",Kroll,NA
ji2~qu1,jí~qū,ji~qu,佶屈,佶屈,git~khjut,*[g]ri[t]~*Nə-[kʰ]ut,"NA",RB,"NA",jarring (of literary style),NA,"NA","NA",Kroll,NA
yi1~xi1,yī~xī,yi~xi,依稀,依稀,'j+j~xj+j,*ʔəj~NA,"NA",RB,"NA","slight and scanty, meare and meager; the merest seeming, as though it just might be",NA,彷彿，不清楚的樣子。唐．趙嘏．江樓舊感詩：「同來望月人何處，風景依稀似去年。」儒林外史．第二十九回：「那轎揭開簾子，轎裡坐著一個戴方巾的少年，諸葛天申依稀有些認得。」些許、微少。唐．黃滔．祭陳先輩：「謹以依稀蔬果，一二精誠，願冥符於肹蠁，申永訣於幽明。」,"NA",Kroll,NA
kong1~tong2,kōng~tóng,kong~tong,倥侗,倥侗,khuwng~deng,NA~NA,人,RB,"NA",emptyheaded; inane and idiotic,NA,童蒙無知的樣子。漢．揚雄．法言．序：「天降生民，倥侗顓蒙，恣乎情性，聰明不開。」亦作「空侗」。,倥 kong1 also kong3 (MC khuwngX),Kroll,NA
wei1~chi2,wēi~chí,wei~chi,倭遲,倭迟,'jwe~drij,NA~*l<r>ə[j],"NA",RB,"NA","coiling afar, meandering into the distance",NA,迂迴遙遠的樣子。詩經．小雅．四牡：「四牡騑騑，周道倭遲。」,"NA",Kroll,NA
pang2~huang2,páng~huáng,pang~huang,傍偟,傍偟,bang~hwang,*[b]ˤaŋ-s~NA,人,RB,"傍偟, 徬徨","walk back and forth, shilly-shilly; vacillate, procrastinate; nervously pacing",NA,徘徊不前。史記．卷八十六．刺客傳．荊軻傳：「聞其家堂上客擊筑，傍偟不能去。」亦作「彷徨」。,not sure about morph,Kroll,NA
kou4~mao4,kòu~mào,kou~mao,區霿,区霿,khuwH~muwH,*qˤ(r)o~NA,"NA",RB,"NA","bedulled and bedimmed, senseless and stupefied, bewildered",NA,"NA","NA",Kroll,NA
ke1~za1,kē~zā,ke~za,㕉匝,㕉匝,khop~tsop,NA~NA,"NA",RB,"NA","circle around, twist sthg. around, enfold",NA,"NA","N.B. 匝 za1 go around, circle around",Kroll,NA
jiao4~tiao2,jiào~tiáo,jiao~tiao,叫條,叫条,kewH~dewH,*kˤewk-s~*[l]ˤiw,"NA",RB,窌條,"passing all measure, deeply distant",NA,"NA","NA",Kroll,NA
liao2~liang4,liáo~liàng,liao~liang,嘹亮,嘹亮,lew~ljangH,NA~*[r]aŋ-s,"NA",RB,"NA",sonorously echoing,NA,聲音清澈而響亮。南朝梁．劉孝綽．三日侍華光殿曲水宴詩：「妍歌已嘹亮，妙舞復紆餘。」近洪亮、響亮反低沉、沙啞、嘶啞亦作「憀亮」、「嘹喨」。,"N.B. 亮 liang4 clear-toned, vibrant sound; cf. 寥亮 liao2liang4",Kroll,NA
liao2~li4,liáo~lì,liao~li,嘹唳,嘹唳,lew~lejH,NA~NA,口,RB,"NA","vibrantly clear (song, musical instrument)",NA,鴻、雁、鶴等的鳴聲。唐．李百藥．笙賦：「遠而聽之，若遊鴛翔鶴，嘹唳飛空。」亦作「嘹嚦」。蟬鳴聲。唐．陳子昂．西還至散關答喬補闕知之詩：「葳蕤蒼梧鳳，嘹唳白露蟬。」,"N.B. 唳 li4 trumpet call, cry of a crane; cf. 寥唳 liao2li4",Kroll,NA
pin2~shen1,pín~shēn,pin~shen,嚬呻,嚬呻,bjin~syin,NA~*l̥i[n],口,RB,"NA","groan, moan; also, intone, chant aloud, recite",NA,臉上痛苦的樣子。唐．韓愈．司徒兼侍中中書令許國公贈太尉韓公神道碑銘：「察其嚬呻，與其睨眴。」,"NA",Kroll,NA
lei3~kuai4,lěi~kuài,lei~kuai,壘塊,垒块,lwijX~khwojH,*[r]ujʔ~*[kʰ]ˤ<r>uj-s,土,RB,磊塊,"rough and rugged, gnarled",NA,比喻胸中積存不平之氣，抑鬱不適。南朝宋．劉義慶．世說新語．任誕：「王大曰：『阮籍胸中壘塊，故須酒澆之。』」亦作「磊塊」、「塊磊」。,"NA",Kroll,NA
gui3~hua4,guǐ~huà,gui~hua,姽嫿,姽嫿,kjweX~xeak,NA~NA,女,RB,"NA","modest and reserve, demure diffidence",NA,閑靜美好的樣子。文選．宋玉．神女賦：「既姽嫿於幽靜兮，又婆娑乎人閒。」,"NA",Kroll,NA
ping1~ting2,pīng~tíng,ping~ting,娉婷,娉婷,phjeng~deng,*p.[r̥]eŋ-s~NA,女,RB,"NA",fair of form and manner,NA,輕巧美好。漢．辛延年．羽林郎詩：「不意金吾子，娉婷過我廬。」明．劉兌．金童玉女嬌紅記：「妖嬈如太液池邊解語並頭花，娉婷似昭陽宮裡學舞的雙飛燕。」美女。唐．白居易．夜聞歌者詩：「獨倚帆檣立，娉婷十七八。」元．石君寶．秋胡戲妻．第三折：「一見了美貌娉婷，不由的我便動情。」,"NA",Kroll,NA
e1~nuo3,ē~nuǒ,e~nuo,婀娜,婀娜,'a~naX,NA~NA,女,RB,娜婀,"soft and delicate; attractive, lovely; drifting and dangling, quivering",NA,輕盈柔美的樣子。樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「四角龍子幡，婀娜隨風轉。」文選．曹植．洛神賦：「華容婀娜，令我忘餐。」或作「阿那」、「妸娜」。,"NA",Kroll,NA
mi3~mi4,mǐ~mì,mi~mi,孊密,孊密,mjeX~mit,NA~*mri[t],"NA",RB,"NA",collected and composed (person),NA,"NA","NA",Kroll,NA
dang4~ming2,dàng~míng,dang~ming,宕冥,宕冥,dangH~meng,NA~*mˤeŋ,冖,RB,"NA",dim and dark; blurred,NA,"NA","NA",Kroll,NA
zhan3~zhuan3,zhǎn~zhuǎn,zhan~zhuan,展轉,展转,trjenX~trjwenX,*trenʔ~*mə-tronʔ,"NA",RB,"輾轉, 展轉","toss and turn, as of restless sleep; turn over in one's mind; moving on without pause, from here to there; one after another, by turns, in turn",NA,反覆變化。戰國策．趙策一：「韓與秦接境壤界，其地不能千里，展轉不可約。」金瓶梅．第四十七回：「據這小廝所言，就是實話。汝等如何展轉得過。」迴環反覆。二刻拍案驚奇．卷十一：「肚裡展轉了幾番，卻就變起卦來。」翻來覆去而不得安眠。三國．魏．曹丕．雜詩：「展轉不能寐，披衣起彷徨。」亦作「輾轉」。曲折、間接。後漢書．卷六十四．趙岐傳：「岐與新除諸郡太守數人俱為賊邊章等所執。賊欲脅以為帥，岐詭辭得免，展轉還長安。」亦作「輾轉」。流轉遷徙。漢．無名氏．飲馬長城窟行：「他鄉各異縣，展轉不相見。」,"NA",Kroll,NA
kan1~yan2,kān~yán,kan~yan,嵁巖,嵁巖,khom~ngaem,NA~*[ŋ]ˤr[a]m (< uvular?),山,RB,"NA","craggy cliffs, ragged ridges",NA,"NA","NA",Kroll,NA
cuo2~e2,cuó~é,cuo~e,嵯峨,嵯峨,dza~nga,NA~NA,山,RB,嵳峩,"jutting and jagged, gnaw-toothed, looming",NA,山勢高峻的樣子。史記．卷一一七．司馬相如傳：「於是乎崇山巃嵷，崔巍嵯峨。」初刻拍案驚奇．卷七：「蛇龍偃蹇，觀闕嵯峨，縹緲笙歌沸。」,cf. 峨然 e2ran2,Kroll,NA
jiao1~yao2,jiāo~yáo,jiao~yao,嶕嶢,嶕嶢,dzjew~ngew,NA~NA,山,RB,"嶕嶢, 嶢嶭",tall and towering,NA,"NA","NA",Kroll,NA
chan2~yan2,chán~yán,chan~yan,巉巖,巉巖,dzraem~ngaem,NA~*[ŋ]ˤr[a]m (< uvular?),山,RB,嶄巖、孱顏,cragged and jagged,NA,險峻的山石。如：「望眼過去，只見巉岩林立。」危峻的山石。唐．李白．蜀道難：「問君西遊何時還，畏途巉巖不可攀。」宋．蘇軾．後赤壁賦：「予乃攝衣而上，履巉巖，披蒙茸。」,孱顏 chan2yan2 variant has different MC reading: dzrean-ngaen,Kroll,NA
ying3~ming2,yǐng~míng,ying~ming,巊冥,巊冥,'eangX~meng,NA~*mˤeŋ,"NA",RB,"NA",(med.) dark and dense,NA,"NA",radical support?,Kroll,NA
pai2~huai2,pái~huái,pai~huai,徘徊,徘徊,bwoj~hwoj,NA~NA,彳,RB,"徘徊, 裴徊","go round and about, back and forth; shilly-shally, aimlessly irresolute, restless but hesitant, loiter and linger, dawdle and delay; also (med.) continuing ceaselessly, of sounds",NA,來回走動。聊齋志異．卷二．嬰寧：「坐臥徘徊，自朝至於日昃，盈盈望斷，並忘飢渴。」儒林外史．第五十一回：「望見那晚煙漸散，水光裡月色漸明，徘徊了一會兒，復身上船來安歇。」近盤桓、彷徨、徬徨、逗留、躑躅、倘佯、徜徉亦作「裴回」。流連。文選．宋玉．風賦：「邸華葉而振氣，徘徊于桂椒之間。」唐．李白．月下獨酌詩：「我歌月徘徊，我舞影零亂。」亦作「裴回」。縈繞。文選．古詩十九首．西北有高樓：「清商隨風發，中曲正徘徊。」紛雜起落。晉．陶淵明．閒情賦：「于時畢昴盈軒，北風淒淒，烱烱不寐，眾念徘徊。」猶豫不決。薛仁貴征遼事略：「欲往南路，誠恐北有，欲往北行，誠恐南有，徘徊不已。」三國演義．第九回：「王允時在帝側，聞知此言，奏曰；『臣本為社稷計。事已至此，陛下不可惜臣，以誤國家。臣請下見二賊。』帝徘徊不忍。」,"NA",Kroll,NA
