pinyinnum,traditional,simplified,morph,pinyinnum,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq
ou1~ya4,嘔軋,呕轧,RR,ou1~ya4,呕,轧,,,"16,7407","1,3383",,,5,1,,
wu1~hu1,嗚乎,呜乎,RR,wu1~hu1,呜,乎,,,"51,2543","244,9383",,,3,36,,
wu1~hu1,嗚呼,呜呼,RR,wu1~hu1,呜,呼,,,"51,2543","194,2815",,,3,46,,
wu1~ye1,嗚咽,呜咽,RR,wu1~ye1,呜,咽,,,"51,2543","13,8321",,,3,9,,
wu1~hu1,嗚虖,呜虖,RR,wu1~hu1,呜,虖,,,"51,2543",,,,3,,,
shen1~yin2,呻吟,呻吟,RR,shen1~yin2,呻,吟,,,"2,5432",8,,,1,9,,
ju3~ju2,咀嚼,咀嚼,RR,ju3~ju2,咀,嚼,,,"3,8864",10321,,,1,4,,
hai2~tai2,咍台,咍台,RR,hai2~tai2,咍,台,,,,412316,,,,107,,
zha4~sha1,咤沙,咤沙,RR,zha4~sha1,咤,沙,,,"0,6519",134,,,1,72,,
zi1~jie1,咨嗟,咨嗟,RR,zi1~jie1,咨,嗟,,,"10,7951","0,9679",,,3,2,,
zhi3~chi3,咫尺,咫尺,RR,zhi3~chi3,咫,尺,,,7116,45758,,,1,22,,
tang2~tu1,唐突,唐突,RR,tang2~tu1,唐,突,,,"65,1506","308,9185",,,5,24,,
wa1~ou1,唲嘔,唲呕,RR,wa1~ou1,唲,呕,,,,"16,7407",,,,5,,
zhao1~zha1,啁哳,啁哳,RR,zhao1~zha1,啁,哳,,,,,,,,,,
zhou1~jiao1,啁啾,啁啾,RR,zhou1~jiao1,啁,啾,,,,,,,,,,
zhou1~jiao1,啁噍,啁噍,RR,zhou1~jiao1,啁,噍,,,,,,,,,,
an2~long4,啽哢,啽哢,RR,an2~long4,啽,哢,,,,,,,,,,
an2~mo4,啽默,啽默,RR,an2~mo4,啽,默,,,,"134,6667",,,,19,,
jiu1~ji1,啾唧,啾唧,RR,jiu1~ji1,啾,唧,,,,"6,7901",,,,5,,
jiu1~cao2,啾嘈,啾嘈,RR,jiu1~cao2,啾,嘈,,,,"5,8765",,,,1,,
yin4~wu1,喑嗚,喑呜,RR,yin4~wu1,喑,呜,,,"0,1235","51,2543",,,1,3,,
yin1~wu4,喑噁,喑噁,RR,yin1~wu4,喑,噁,,,"0,1235",,,,1,,,
ying1~wo1,嚶喔,嘤喔,RR,ying1~wo1,嘤,喔,,,"5,2494","101,0765",,,1,0,,
cheng1~hong2,噌吰,噌吰,RR,cheng1~hong2,噌,吰,,,"0,6568",,,,0,,,
jiao4~tiao4,噭咷,噭咷,RR,jiao4~tiao4,噭,咷,,,,,,,,,,
ru2~er2,嚅唲,嚅唲,RR,ru2~er2,嚅,唲,,,,,,,,,,
yin1~xun2,因循,因循,RR,yin1~xun2,因,循,,,1034884,"24,1975",,,36,7,,
yin1~xun2,因巡,因巡,RR,yin1~xun2,因,巡,,,1034884,"19,8815",,,36,22,,
yang3~ya4,坱圠,坱圠,RR,yang3~ya4,坱,圠,,,,,,,,,,
yang3~ya4,坱軋,坱轧,RR,yang3~ya4,坱,轧,,,,"1,3383",,,,1,,
pi4~ni4,埤坭,埤坭,RR,pi4~ni4,埤,坭,,,,,,,,,,
pi4~ni4,埤堄,埤堄,RR,pi4~ni4,埤,堄,,,,,,,,,,
yin2~yuan2,夤緣,夤缘,RR,yin2~yuan2,夤,缘,,,,117042,,,,31,,
yao1~qiao3,夭矯,夭矫,RR,yao1~qiao3,夭,矫,,,2242,"7,3827",,,2,7,,
yi2~you2,夷猶,夷犹,RR,yi2~you2,夷,犹,,,"11,2444","47,9951",,,3,12,,
huan4~yan3,奐衍,奂衍,RR,huan4~yan3,奂,衍,,,"1,0815","6,5284",,,2,6,,
qi4~kuo4,契闊,契阔,RR,qi4~kuo4,契,阔,,,"23,9259","21,5753",,,7,17,,
yao1~ye3,妖冶,妖冶,BR,yao1~ye3,妖,冶,,,"32,4","1,6296",,,14,5,,
yao1~rao3,妖嬈,妖娆,BR,yao1~rao3,妖,娆,,,"32,4","2,2025",,,14,1,,
tuo3~tie1,妥帖,妥帖,RR,tuo3~tie1,妥,帖,,,"17,7481","25,2444",,,7,7,,
wu3~mei4,嫵媚,妩媚,RR,wu3~mei4,妩,媚,,,"3,2395","23,3432",,,1,9,,
xu3~yu2,姁媮,姁媮,RR,xu3~yu2,姁,媮,,,,,,,,,,
ran3~niao3,姌嫋,姌嫋,RR,ran3~niao3,姌,嫋,,,,,,,,,,
yao2~ye3,姚冶,姚冶,RR,yao2~ye3,姚,冶,,,"13,0963","1,6296",,,0,5,,
wo3~nuo3,婐㛂,婐㛂,RR,wo3~nuo3,婐,㛂,,,,,,,,,,
chan2~juan1,嬋娟,婵娟,RR,chan2~juan1,婵,娟,,,,4884,,,,1,,
chan2~yuan2,嬋媛,婵媛,RR,chan2~yuan2,婵,媛,,,,"5,3877",,,,1,,
pian2~juan1,㛹娟,㛹娟,RR,pian2~juan1,㛹,娟,,,,4884,,,,1,,
pan2~shan1,媻姍,媻姗,RR,pan2~shan1,媻,姗,,,,"2,3407",,,,1,,
pan2~shan1,媻珊,媻珊,RR,pan2~shan1,媻,珊,,,,"13,9654",,,,4,,
zhuan1~huan2,嫥捖,嫥捖,RR,zhuan1~huan2,嫥,捖,,,,,,,,,,
qian1~qu1,孅趨,孅趋,RR,qian1~qu1,孅,趋,,,,"15,7284",,,,9,,
meng4~lang2,孟浪,孟浪,RR,meng4~lang2,孟,浪,,,"9,9753","583,6741",,,2,31,,
mi4~wu4,密勿,密勿,RR,mi4~wu4,密,勿,,,"244,2469","31,7086",,,57,2,,
liao2~liang4,寥亮,寥亮,RR,liao2~liang4,寥,亮,,,3363,"441,8864",,,2,38,,
liao2~li4,寥唳,寥唳,RR,liao2~li4,寥,唳,,,3363,"0,2123",,,2,1,,
liao2~kuo4,寥廓,寥廓,RR,liao2~kuo4,寥,廓,,,3363,"3,5062",,,2,1,,
meng2~rong2,尨茸,尨茸,RR,meng2~rong2,尨,茸,,,,"3,4963",,,,3,,
jue2~qiang2,屈強,屈强,RR,jue2~qiang2,屈,强,,,"45,9753","480,9877",,,20,85,,
jue2~qiao2,屈橋,屈桥,RR,jue2~qiao2,屈,桥,,,"45,9753","62,0148",,,20,37,,
bing2~ying2,屏營,屏营,RR,bing2~ying2,屏,营,,,"154,9877","151,3877",,,17,59,,
xi4~bi4,屓奰,屓奰,RR,xi4~bi4,屓,奰,,,,,,,,,,
xi4~bi4,屭奰,屭奰,RR,xi4~bi4,屭,奰,,,,,,,,,,
yi4~zu2,屹崒,屹崒,RR,yi4~zu2,屹,崒,,,"1,4321",,,,1,,,
yi4~zu2,屹崪,屹崪,RR,yi4~zu2,屹,崪,,,"1,4321",,,,1,,,
cen2~yin2,岑崟,岑崟,RR,cen2~yin2,岑,崟,,,"0,8988",,,,0,,,
zuo2~e4,岝崿,岝崿,RR,zuo2~e4,岝,崿,,,,,,,,,,
zuo2~e4,岞崿,岞崿,RR,zuo2~e4,岞,崿,,,,,,,,,,
fu2~yu4,岪鬱,岪鬱,RR,fu2~yu4,岪,鬱,,,,,,,,,,
ling2~lin2,岺嶙,岺嶙,RR,ling2~lin2,岺,嶙,,,,"0,2716",,,,2,,
zu2~wu4,崒兀,崒兀,RR,zu2~wu4,崒,兀,,,,"1,1802",,,,3,,
ling2~ceng2,崚嶒,崚嶒,RR,ling2~ceng2,崚,嶒,,,,,,,,,,
beng1~teng2,崩騰,崩腾,RR,beng1~teng2,崩,腾,,,"40,4444","120,0049",,,7,23,,
chan2~yan2,嶄巗,崭巗,RR,chan2~yan2,崭,巗,,,"7,8667",,,,2,,,
chan2~yan2,嶄巖,崭巖,RR,chan2~yan2,崭,巖,,,"7,8667",,,,2,,,
wei1~wei2,崴嵬,崴嵬,RR,wei1~wei2,崴,嵬,,,"1,4716",,,,0,,,
zi1~li2,嵫釐,嵫釐,RR,zi1~li2,嵫,釐,,,,,,,,,,
die2~nie4,嵽嵲,嵽嵲,RR,die2~nie4,嵽,嵲,,,,,,,,,,
lin2~xun2,嶙峋,嶙峋,RR,lin2~xun2,嶙,峋,,,"0,2716","0,2617",,,2,2,,
ye4~e2,嶪峨,嶪峨,RR,ye4~e2,嶪,峨,,,,"2,5136",,,,2,,
ye4~e2,嶪峩,嶪峩,RR,ye4~e2,嶪,峩,,,,,,,,,,
ye4~e2,嶫峨,嶫峨,RR,ye4~e2,嶫,峨,,,,"2,5136",,,,2,,
ke3~ke3,嶱嵑,嶱嵑,RR,ke3~ke3,嶱,嵑,,,,,,,,,,
cuan2~wan2,巑岏,巑岏,RR,cuan2~wan2,巑,岏,,,,,,,,,,
qiao3~lao3,巧老,巧老,RR,qiao3~lao3,巧,老,,,107516,"1653,3827",,,39,207,,
ci1~chi2,差池,差池,RR,ci1~chi2,差,池,,,"273,0617","38,0889",,,53,24,,
yao4~miao4,幼妙,幼妙,RR,yao4~miao4,幼,妙,,,"51,0667","99,4272",,,26,29,,
yao4~miao4,幼眇,幼眇,RR,yao4~miao4,幼,眇,,,"51,0667",,,,26,,,
xiao2~liao2,庨窌,庨窌,RR,xiao2~liao2,庨,窌,,,,,,,,,,
mi2~man4,彌漫,弥漫,RR,mi2~man4,弥,漫,,,"30,5975","205,5358",,,13,20,,
chi4~chu4,彳亍,彳亍,RR,chi4~chu4,彳,亍,,,,,,,,,,
pang2~yang2,彷徉,彷徉,RR,pang2~yang2,彷,徉,,,4484,"0,9333",,,1,1,,
zheng1~ying2,征營,征营,RR,zheng1~ying2,征,营,,,"62,6765","151,3877",,,32,59,,
chang2~yang2,徜徉,徜徉,RR,chang2~yang2,徜,徉,,,"0,9136","0,9333",,,1,1,,
dao1~da2,忉怛,忉怛,RR,dao1~da2,忉,怛,,,,,,,,,,
zhong1~meng2,忪懞,忪懞,RR,zhong1~meng2,忪,懞,,,"0,8099",,,,1,,,
chang4~wang4,悵望,怅望,RR,chang4~wang4,怅,望,,,"6,6272","901,2988",,,4,63,,
kou4~mao4,怐愗,怐愗,RR,kou4~mao4,怐,愗,,,,,,,,,,
fu2~yu4,怫鬱,怫鬱,RR,fu2~yu4,怫,鬱,,,,,,,,,,
lian4~juan4,戀眷,恋眷,RR,lian4~juan4,恋,眷,,,"473,4074",10721,,,21,6,,
huang3~hu1,恍忽,恍忽,RR,huang3~hu1,恍,忽,,,"9,4272","77,0321",,,6,14,,
huang3~hu1,恍惚,恍惚,RR,huang3~hu1,恍,惚,,,"9,4272","4,3457",,,6,1,,
xi1~huang2,恓惶,恓惶,RR,xi1~huang2,恓,惶,,,,"4,0741",,,,6,,
zi4~sui1,恣睢,恣睢,RR,zi4~sui1,恣,睢,,,"0,8741",,,,1,,,
ce4~chuang4,惻愴,恻怆,RR,ce4~chuang4,恻,怆,,,"0,9975","0,7951",,,1,1,,
juan4~ji2,悁急,悁急,RR,juan4~ji2,悁,急,,,,"137,8222",,,,62,,
tu2~tan2,悇憛,悇憛,RR,tu2~tan2,悇,憛,,,,,,,,,,
kong1~kuan3,悾款,悾款,RR,kong1~kuan3,悾,款,,,,"217,1062",,,,54,,
hu1~huang3,惚恍,惚恍,RR,hu1~huang3,惚,恍,,,"4,3457","9,4272",,,1,6,,
chang3~huang3,惝怳,惝怳,RR,chang3~huang3,惝,怳,,,,,,,,,,
chuan3~ruan3,惴耎,惴耎,RR,chuan3~ruan3,惴,耎,,,"0,3802",,,,1,,,
qiao3~chuang4,愀愴,愀怆,RR,qiao3~chuang4,愀,怆,,,,"0,7951",,,,1,,
chou2~ji2,愁疾,愁疾,RR,chou2~ji2,愁,疾,,,"39,7432","26,7012",,,14,24,,
yin1~yi4,愔翳,愔翳,RR,yin1~yi4,愔,翳,,,,"0,1432",,,,1,,
yin1~qin2,慇勤,慇勤,RR,yin1~qin2,慇,勤,,,,"41,2543",,,,31,,
yin1~qin2,慇懃,慇懃,RR,yin1~qin2,慇,懃,,,,,,,,,,
huang3~hu1,慌惚,慌惚,RR,huang3~hu1,慌,惚,,,"37,9753","4,3457",,,12,1,,
kang1~kai3,慷慨,慷慨,RR,kang1~kai3,慷,慨,,,"5,9259","30,9827",,,4,9,,
qiao2~cui4,憔悴,憔悴,RR,qiao2~cui4,憔,悴,,,"5,8222","5,8222",,,1,1,,
qiao2~cui4,憔顇,憔顇,RR,qiao2~cui4,憔,顇,,,"5,8222",,,,1,,,
tan2~tu2,憛悇,憛悇,RR,tan2~tu2,憛,悇,,,,,,,,,,
dun1~hun2,憞溷,憞溷,RR,dun1~hun2,憞,溷,,,,,,,,,,
ao4~lao4,懊憦,懊憦,RR,ao4~lao4,懊,憦,,,"3,4321",,,,3,,,
kuang4~lang3,懭悢,懭悢,RR,kuang4~lang3,懭,悢,,,,,,,,,,
tang3~huang1,戃慌,戃慌,RR,tang3~huang1,戃,慌,,,,"37,9753",,,,12,,
xu1~xue1,戌削,戌削,RR,xu1~xue1,戌,削,,,,"12,4099",,,,11,,
rao3~ru4,擾弱,扰弱,RR,rao3~ru4,扰,弱,,,"81,6642","108,2568",,,15,33,,
fu2~yao2,扶搖,扶摇,RR,fu2~yao2,扶,摇,,,"17,6247","68,9531",,,12,32,,
fu2~shu1,扶疏,扶疏,RR,fu2~shu1,扶,疏,,,"17,6247","16,8691",,,12,17,,
yi4~yu4,抑鬱,抑鬱,RR,yi4~yu4,抑,鬱,,,"33,1309",,,,8,,,
cheng2~rang3,搶攘,抢攘,RR,cheng2~rang3,抢,攘,,,"241,4173","1,7531",,,29,2,,
zhao1~yao2,招搖,招摇,RR,zhao1~yao2,招,摇,,,"127,6889","68,9531",,,51,32,,
shao2~yao2,招搖,招摇,RR,shao2~yao2,招,摇,,,"127,6889","68,9531",,,51,32,,
bo1~la4,撥剌,拨剌,RR,bo1~la4,拨,剌,,,26158,"0,7062",,,19,0,,
wo4~chuo4,握齱,握齱,RR,wo4~chuo4,握,齱,,,"67,9309",,,,13,,,
ye2~yu2,揶揄,揶揄,RR,ye2~yu2,揶,揄,,,"0,2123","0,2173",,,1,1,,
sou1~lao4,搜牢,搜牢,RR,sou1~lao4,搜,牢,,,69358,34558,,,8,19,,
mo2~he2,摩何,摩何,RR,mo2~he2,摩,何,,,"168,5728","596,7111",,,18,45,,
fang4~lang4,放浪,放浪,RR,fang4~lang4,放,浪,,,"1139,7531","583,6741",,,109,31,,
chang3~huang3,敞怳,敞怳,RR,chang3~huang3,敞,怳,,,"9,1259",,,,3,,,
ban1~lan2,斒斕,斒斓,RR,ban1~lan2,斒,斓,,,,"1,7136",,,,3,,
zhen1~zhuo2,斟酌,斟酌,RR,zhen1~zhuo2,斟,酌,,,"1,9852","2,7901",,,3,3,,
si1~xu1,斯須,斯须,RR,si1~xu1,斯,须,,,"541,3728","225,6988",,,10,17,,
pang2~bo2,旁魄,旁魄,RR,pang2~bo2,旁,魄,,,"102,7852","9,8716",,,24,7,,
yi3~ni3,旖旎,旖旎,RR,yi3~ni3,旖,旎,,,"0,6222","0,6321",,,1,1,,
kuang4~dang4,曠蕩,旷荡,RR,kuang4~dang4,旷,荡,,,"6,3704","44,4938",,,7,35,,
huang3~lang3,晃朗,晃朗,RR,huang3~lang3,晃,朗,,,"25,7827","59,2988",,,9,16,,
man4~yuan3,曼衍,曼衍,RR,man4~yuan3,曼,衍,,,"69,2296","6,5284",,,12,6,,
wang4~yang2,望洋,望洋,RR,wang4~yang2,望,洋,,,"901,2988","102,4642",,,63,52,,
za2~xi2,雜襲,杂袭,RR,za2~xi2,杂,袭,,,"109,4173","55,7284",,,53,13,,
za2~ta4,雜遝,杂遝,RR,za2~ta4,杂,遝,,,"109,4173",,,,53,,,
za2~cuo4,雜錯,杂错,RR,za2~cuo4,杂,错,,,"109,4173","798,3111",,,53,35,,
cha1~ya2,杈枒,杈枒,RR,cha1~ya2,杈,枒,,,"0,4494",,,,1,,,
hang2~zhuang1,杭壯,杭壮,RR,hang2~zhuang1,杭,壮,,,"31,5309","38,2173",,,2,36,,
ya1~cha1,枒杈,枒杈,RR,ya1~cha1,枒,杈,,,,"0,4494",,,,1,,
qiang1~xiang1,槍欀,枪欀,RR,qiang1~xiang1,枪,欀,,,"154,7062",,,,60,,,
cha2~ya2,查牙,查牙,RR,cha2~ya2,查,牙,,,"397,3531","140,8642",,,68,58,,
liang2~chang1,梁昌,梁昌,RR,liang2~chang1,梁,昌,,,"31,1111","25,9802",,,23,7,,
leng2~ceng2,楞層,楞层,RR,leng2~ceng2,楞,层,,,"2,9728","86,7062",,,0,45,,
tang2~tu1,樘突,樘突,RR,tang2~tu1,樘,突,,,"0,0148","308,9185",,,0,24,,
mo2~hu2,模糊,模糊,RR,mo2~hu2,模,糊,,,"263,2691","66,1235",,,32,28,,
jia3~chu3,檟楚,檟楚,RR,jia3~chu3,檟,楚,,,,"115,9901",,,,13,,
ai3~nai3,欸乃,欸乃,RR,ai3~nai3,欸,乃,,,"1,5111","24,5235",,,0,4,,
zheng4~ying2,正營,正营,RR,zheng4~ying2,正,营,,,"1244,7901","151,3877",,,141,59,,
qing2~ling2,殑㱥,殑㱥,RR,qing2~ling2,殑,㱥,,,,,,,,,,
ling2~qing2,㱥殑,㱥殑,RR,ling2~qing2,㱥,殑,,,,,,,,,,
yin1~qin2,殷勤,殷勤,RR,yin1~qin2,殷,勤,,,"4,4593","41,2543",,,5,31,,
mao4~sao4,毷氉,毷氉,RR,mao4~sao4,毷,氉,,,,,,,,,,
tong2~meng2,氃氋,氃氋,RR,tong2~meng2,氃,氋,,,,,,,,,,
yin1~yun1,氤氳,氤氲,RR,yin1~yun1,氤,氲,,,"0,6568","0,6568",,,1,1,,
fan4~lan2,氾瀾,氾澜,RR,fan4~lan2,氾,澜,,,,"7,7086",,,,6,,
ding4~ning2,汀濘,汀泞,RR,ding4~ning2,汀,泞,,,"7,2346","1,2494",,,0,1,,
ting4~ying4,汀濴,汀濴,RR,ting4~ying4,汀,濴,,,"7,2346",,,,0,,,
chuo4~yue1,汋約,汋约,RR,chuo4~yue1,汋,约,,,,"266,6716",,,,56,,
hang4~mang3,沆漭,沆漭,RR,hang4~mang3,沆,漭,,,"0,2519",,,,1,,,
wu4~jue2,沕潏,沕潏,RR,wu4~jue2,沕,潏,,,,,,,,,,
cang1~lang2,滄浪,沧浪,RR,cang1~lang2,沧,浪,,,"19,9852","583,6741",,,3,31,,
fei1~pen1,沸濆,沸濆,RR,fei1~pen1,沸,濆,,,"17,6988",,,,6,,,
hong2~hong2,泓宏,泓宏,RR,hong2~hong2,泓,宏,,,"0,6173","31,8568",,,0,9,,
hong2~hong2,泓汯,泓汯,RR,hong2~hong2,泓,汯,,,"0,6173",,,,0,,,
yang3~mang3,泱漭,泱漭,RR,yang3~mang3,泱,漭,,,"0,5778",,,,0,,,
yang3~nang3,泱灢,泱灢,RR,yang3~nang3,泱,灢,,,"0,5778",,,,0,,,
xiao4~zhuo2,澩灂,泶灂,RR,xiao4~zhuo2,泶,灂,,,,,,,,,,
xiao1~qiao1,澩㺒,泶㺒,RR,xiao1~qiao1,泶,㺒,,,,,,,,,,
liu2~lian2,流連,流连,RR,liu2~lian2,流,连,,,"454,5778",472637,,,171,81,,
liu2~liang4,瀏亮,浏亮,RR,liu2~liang4,浏,亮,,,"9,0914","441,8864",,,2,38,,
hun4~dun4,渾沌,浑沌,RR,hun4~dun4,浑,沌,,,"22,5778","2,7556",,,9,1,,
qin1~yin2,浸潯,浸浔,RR,qin1~yin2,浸,浔,,,"19,9407",,,,11,,,
xiao1~xi1,消息,消息,RR,xiao1~xi1,消,息,,,"373,8469","446,6963",,,64,64,,
lian2~er2,漣洏,涟洏,RR,lian2~er2,涟,洏,,,"6,4198",,,,1,,,
lian2~yi1,漣漪,涟漪,RR,lian2~yi1,涟,漪,,,"6,4198","5,9753",,,1,1,,
xing4~ming2,涬溟,涬溟,RR,xing4~ming2,涬,溟,,,,,,,,,,
ping2~pang1,淜滂,淜滂,RR,ping2~pang1,淜,滂,,,,"0,4",,,,1,,
hu1~yang3,淴泱,淴泱,RR,hu1~yang3,淴,泱,,,,"0,5778",,,,0,,
hong4~dong4,港洞,港洞,RR,hong4~dong4,港,洞,,,101363,"52,9284",,,18,34,,
miao3~man4,渺漫,渺漫,RR,miao3~man4,渺,漫,,,10,"205,5358",,,6,20,,
miao3~mi2,渺瀰,渺瀰,RR,miao3~mi2,渺,瀰,,,10,,,,6,,,
miao3~mang2,渺茫,渺茫,RR,miao3~mang2,渺,茫,,,10,"41,7531",,,6,7,,
ming2~mu4,溟沐,溟沐,RR,ming2~mu4,溟,沐,,,,"10,1926",,,,1,,
ming3~xing4,溟涬,溟涬,RR,ming3~xing4,溟,涬,,,,,,,,,,
ming2~mang3,溟漭,溟漭,RR,ming2~mang3,溟,漭,,,,,,,,,,
xi1~ke4,溪刻,溪刻,RR,xi1~ke4,溪,刻,,,"16,0346",308716,,,9,34,,
huang4~yang4,滉漾,滉漾,RR,huang4~yang4,滉,漾,,,,"5,1852",,,,2,,
mang3~yang4,漭漾,漭漾,RR,mang3~yang4,漭,漾,,,,"5,1852",,,,2,,
liao2~li4,漻浰,漻浰,RR,liao2~li4,漻,浰,,,,,,,,,,
lian4~yan4,瀲灧,潋灧,RR,lian4~yan4,潋,灧,,,,,,,,,,
hong4~meng2,澒濛,澒濛,RR,hong4~meng2,澒,濛,,,,,,,,,,
chan2~tian2,澶湉,澶湉,RR,chan2~tian2,澶,湉,,,,,,,,,,
dan4~bo2,澹泊,澹泊,RR,dan4~bo2,澹,泊,,,,"14,0691",,,,7,,
mi2~man4,瀰漫,瀰漫,RR,mi2~man4,瀰,漫,,,,"205,5358",,,,20,,
chui4~lei4,炊累,炊累,RR,chui4~lei4,炊,累,,,"1,7432","313,4765",,,6,21,,
lan4~man4,爛漫,烂漫,RR,lan4~man4,烂,漫,,,"111,6741","205,5358",,,19,20,,
yin1~yun1,烟熅,烟熅,RR,yin1~yun1,烟,熅,,,"216,8938",,,,75,,,
dao4~ao4,燾奡,焘奡,RR,dao4~ao4,焘,奡,,,,,,,,,,
huang3~lan4,熀爛,熀烂,RR,huang3~lan4,熀,烂,,,,"111,6741",,,,19,,
yi4~yao4,熠燿,熠燿,RR,yi4~yao4,熠,燿,,,"1,2691",,,,1,,,
yu4~yu4,燠煜,燠煜,RR,yu4~yu4,燠,煜,,,,,,,,,,
kuang4~huang3,爌熀,爌熀,RR,kuang4~huang3,爌,熀,,,,,,,,,,
lao2~luo4,牢落,牢落,RR,lao2~luo4,牢,落,,,34558,"304,3951",,,19,111,,
you2~yu4,猶豫,犹豫,RR,you2~yu4,犹,豫,,,"47,9951","21,4963",,,12,3,,
chang1~kuang2,猖狂,猖狂,RR,chang1~kuang2,猖,狂,,,"1,9654","208,0049",,,2,46,,
chang1~jue2,猖獗,猖獗,RR,chang1~jue2,猖,獗,,,"1,9654","0,6864",,,2,1,,
e3~nuo2,猗儺,猗傩,RR,e3~nuo2,猗,傩,,,,,,,,,,
yi1~yu3,猗歟,猗欤,RR,yi1~yu3,猗,欤,,,,,,,,,,
yi3~ni3,猗狔,猗狔,RR,yi3~ni3,猗,狔,,,,,,,,,,
shuai4~er3,率爾,率尔,RR,shuai4~er3,率,尔,,,"90,0988","398,1877",,,69,18,,
di4~li4,玓瓑,玓瓑,RR,di4~li4,玓,瓑,,,,,,,,,,
bin1~bin1,玢豳,玢豳,RR,bin1~bin1,玢,豳,,,,,,,,,,
ling2~long2,玲瓏,玲珑,RR,ling2~long2,玲,珑,,,"21,1605","3,2988",,,3,3,,
long2~cong1,瓏璁,珑璁,RR,long2~cong1,珑,璁,,,"3,2988",,,,3,,,
lang2~dang1,琅當,琅当,RR,lang2~dang1,琅,当,,,"4,4099","1142,9679",,,3,108,,
wan3~yan3,琬琰,琬琰,RR,wan3~yan3,琬,琰,,,,,,,,,,
lin2~lang2,琳瑯,琳瑯,RR,lin2~lang2,琳,瑯,,,"29,0074",,,,1,,,
qiang1~ling2,瑲玲,瑲玲,RR,qiang1~ling2,瑲,玲,,,,"21,1605",,,,3,,
cui3~can4,璀璨,璀璨,RR,cui3~can4,璀,璨,,,"25,3679","25,4667",,,1,1,,
di4~li4,的皪,的皪,RR,di4~li4,的,皪,,,32392158,,,,30,,,
pi4~ni4,睥睨,睥睨,RR,pi4~ni4,睥,睨,,,,,,,,,,
kui2~hui1,睽睢,睽睢,RR,kui2~hui1,睽,睢,,,"0,5877",,,,1,,,
mian4~xian4,瞑眩,瞑眩,RR,mian4~xian4,瞑,眩,,,"4,9531","4,2914",,,1,3,,
meng2~teng2,瞢騰,瞢腾,RR,meng2~teng2,瞢,腾,,,,"120,0049",,,,23,,
zha4~luo4,砟硌,砟硌,RR,zha4~luo4,砟,硌,,,,"0,2469",,,,0,,
hong1~yin3,硡隱,硡隐,RR,hong1~yin3,硡,隐,,,,"79,5358",,,,39,,
lu4~que4,碌硞,碌硞,RR,lu4~que4,碌,硞,,,43837,,,,7,,,
ling2~zeng1,碐磳,碐磳,RR,ling2~zeng1,碐,磳,,,,,,,,,,
jie2~jia2,碣磍,碣磍,RR,jie2~jia2,碣,磍,,,,,,,,,,
que4~ke4,礐硞,礐硞,RR,que4~ke4,礐,硞,,,,,,,,,,
piao4~yao2,票姚,票姚,RR,piao4~yao2,票,姚,,,"811,5753","13,0963",,,73,0,,
li2~mi3,離靡,离靡,RR,li2~mi3,离,靡,,,"498,3852","6,6123",,,73,6,,
diao4~ao2,稠嶅,稠嶅,RR,diao4~ao2,稠,嶅,,,"4,0099",,,,2,,,
yao3~tiao3,窈窕,窈窕,RR,yao3~tiao3,窈,窕,,,"6,1827","1,7728",,,1,1,,
yao3~tiao3,䆗窱,䆗窱,RR,yao3~tiao3,䆗,窱,,,,,,,,,,
yao1~liao2,窐寥,窐寥,RR,yao1~liao2,窐,寥,,,,3363,,,,2,,
bi4~li4,篳篥,筚篥,RR,bi4~li4,筚,篥,,,,,,,,,,
yin1~yun1,絪縕,絪縕,RR,yin1~yun1,絪,縕,,,,,,,,,,
lin2~li2,綝纚,綝纚,RR,lin2~li2,綝,纚,,,,,,,,,,
shen1~xi3,綝纚,綝纚,RR,shen1~xi3,綝,纚,,,,,,,,,,
cui4~can4,綷粲,綷粲,RR,cui4~can4,綷,粲,,,,,,,,,,
cui4~cai4,綷縩,綷縩,RR,cui4~cai4,綷,縩,,,,,,,,,,
yu1~yu2,紆餘,纡馀,RR,yu1~yu2,纡,馀,,,,,,,,,,
fen1~lun2,紛綸,纷纶,RR,fen1~lun2,纷,纶,,,"51,4963","5,9259",,,17,1,,
fen1~pa1,紛葩,纷葩,RR,fen1~pa1,纷,葩,,,"51,4963","5,9457",,,17,1,,
luo4~yi4,絡繹,络绎,RR,luo4~yi4,络,绎,,,"70,0049","10,3556",,,15,2,,
chuo4~yue1,綽約,绰约,RR,chuo4~yue1,绰,约,,,"2,8346","266,6716",,,6,56,,
chou2~mou2,綢繆,绸缪,RR,chou2~mou2,绸,缪,,,"3,1605","2,5235",,,9,2,,
bin1~fen1,繽紛,缤纷,RR,bin1~fen1,缤,纷,,,"29,7481","51,4963",,,2,17,,
liao2~rao4,繚繞,缭绕,RR,liao2~rao4,缭,绕,,,"3,7827","38,2815",,,2,15,,
qian3~quan3,繾綣,缱绻,RR,qian3~quan3,缱,绻,,,"0,8395","0,7556",,,1,1,,
xi4~he4,翕赫,翕赫,RR,xi4~he4,翕,赫,,,,"21,5457",,,,8,,
pian1~piao1,翩飄,翩飘,RR,pian1~piao1,翩,飘,,,"3,4765","63,8173",,,3,26,,
lian2~quan2,聯卷,联卷,RR,lian2~quan2,联,卷,,,"293,8765","83,8173",,,64,37,,
