pinyinnum,traditional,simplified,morph,pinyinnum,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq
qin1~cen2,嶔岑,嶔岑,BR,qin1~cen2,嶔,岑,,,,"0,8988",,,,0,,
qin1~qi2,嶔崎,嶔崎,BR,qin1~qi2,嶔,崎,,,,"6,7062",,,,4,,
yao2~e4,嶢嶭,嶢嶭,BR,yao2~e4,嶢,嶭,,,,,,,,,,
jie2~nie4,巀櫱,巀櫱,BR,jie2~nie4,巀,櫱,,,,,,,,,,
long2~song3,巃嵸,巃嵸,BR,long2~song3,巃,嵸,,,,,,,,,,
xi1~xian3,巇險,巇险,BR,xi1~xian3,巇,险,,,,"138,8691",,,,55,,
bu4~hu4,布濩,布濩,BR,bu4~hu4,布,濩,,,"287,8025",,,,84,,,
xi1~yi2,希夷,希夷,BR,xi1~yi2,希,夷,,,"617,2148","11,2444",,,8,3,,
mi4~li4,幎歷,幎历,BR,mi4~li4,幎,历,,,,"209,3926",,,,48,,
fang3~fu2,彷彿,彷彿,BR,fang3~fu2,彷,彿,,,4484,237,,,1,0,,
jing4~ting2,徑廷,径廷,BR,jing4~ting2,径,廷,,,"21,2346","10,0889",,,19,4,,
xi3~yi3,徙倚,徙倚,BR,xi3~yi3,徙,倚,,,1837,"8,6815",,,1,6,,
xiang1~yang2,忀徉,忀徉,BR,xiang1~yang2,忀,徉,,,,"0,9333",,,,1,,
chuang3~huang3,愴怳,怆怳,BR,chuang3~huang3,怆,怳,,,"0,7951",,,,1,,,
yang4~yi4,怏悒,怏悒,BR,yang4~yi4,怏,悒,,,,,,,,,,
fei4~wei4,怫愄,怫愄,BR,fei4~wei4,怫,愄,,,,,,,,,,
xi1~xie4,恓屑,恓屑,BR,xi1~xie4,恓,屑,,,,"10,3111",,,,6,,
kai3~ti4,愷悌,恺悌,BR,kai3~ti4,恺,悌,,,"8,7605",,,,0,,,
lin2~li4,惏悷,惏悷,BR,lin2~li4,惏,悷,,,,,,,,,,
ti4~xi1,惕息,惕息,BR,ti4~xi1,惕,息,,,"5,2346","446,6963",,,2,64,,
can3~cui4,慘悴,惨悴,BR,can3~cui4,惨,悴,,,"113,8716","5,8222",,,22,1,,
xing1~song1,惺忪,惺忪,BR,xing1~song1,惺,忪,,,"3,9654","0,8099",,,2,1,,
xing1~song1,惺鬆,惺松,BR,xing1~song1,惺,松,,,"3,9654","203,7531",,,2,54,,
ge2~gui3,愅詭,愅诡,BR,ge2~gui3,愅,诡,,,,12563,,,,6,,
ao4~nao3,懊惱,懊恼,BR,ao4~nao3,懊,恼,,,"3,4321","62,7605",,,3,11,,
qi1~cu4,戚促,戚促,BR,qi1~cu4,戚,促,,,"41,6247","77,8815",,,3,16,,
qi1~cao3,戚草,戚草,BR,qi1~cao3,戚,草,,,"41,6247","187,3975",,,3,92,,
rao3~rang3,擾攘,扰攘,BR,rao3~rang3,扰,攘,,,"81,6642","1,7531",,,15,2,,
dou3~sou3,抖擻,抖擞,BR,dou3~sou3,抖,擞,,,"28,4346",,,,6,,,
kang4~zang3,抗髒,抗髒,BR,kang4~zang3,抗,髒,,,"77,8173",,,,37,,,
pi1~mi3,披靡,披靡,BR,pi1~mi3,披,靡,,,"19,7086","6,6123",,,9,6,,
jie2~ju4,拮据,拮据,BR,jie2~ju4,拮,据,,,637,"199,3531",,,1,32,,
nao2~tiao1,撓挑,挠挑,BR,nao2~tiao1,挠,挑,,,"6,5185","268,5531",,,5,27,,
jie2~lie4,捷獵,捷猎,BR,jie2~lie4,捷,猎,,,"99,1062","28,6272",,,19,24,,
yu2~yang2,揄揚,揄扬,BR,yu2~yang2,揄,扬,,,"0,2173","50,8444",,,1,40,,
yao2~ye4,搖曳,摇曳,BR,yao2~ye4,摇,曳,,,"68,9531","4,4691",,,32,2,,
jiao3~liao3,摎蓼,摎蓼,BR,jiao3~liao3,摎,蓼,,,,,,,,,,
cuan2~za2,攢雜,攒杂,BR,cuan2~za2,攒,杂,,,"11,6247","109,4173",,,2,53,,
qi1~qu1,㩻䧢,㩻䧢,BR,qi1~qu1,㩻,䧢,,,,,,,,,,
qi1~que1,攲缺,攲缺,BR,qi1~que1,攲,缺,,,,"127,2988",,,,34,,
wang4~xiang1,旺相,旺相,BR,wang4~xiang1,旺,相,,,"45,9901","978,4642",,,5,172,,
ang2~zang2,昂藏,昂藏,BR,ang2~zang2,昂,藏,,,"23,7235","162,1531",,,13,53,,
hun2~lun2,昆侖,昆仑,BR,hun2~lun2,昆,仑,,,19284,"6,8593",,,5,4,,
tan2~luan2,曇欒,昙栾,BR,tan2~luan2,昙,栾,,,"1,3877",,,,2,,,
mei4~mo4,昧莫,昧莫,BR,mei4~mo4,昧,莫,,,19042,"135,4074",,,10,26,,
tong2~meng2,曈曚,曈曚,BR,tong2~meng2,曈,曚,,,,,,,,,,
tong2~long2,曈曨,曈曨,BR,tong2~long2,曈,曨,,,,,,,,,,
tang3~lang3,曭朗,曭朗,BR,tang3~lang3,曭,朗,,,,"59,2988",,,,16,,
tang3~mang3,曭莽,曭莽,BR,tang3~mang3,曭,莽,,,,3916,,,,4,,
man4~xian4,曼羨,曼羡,BR,man4~xian4,曼,羡,,,"69,2296","56,3753",,,12,6,,
pu3~su4,朴簌,朴簌,BR,pu3~su4,朴,簌,,,"20,4593",,,,11,,,
wu4~nie4,杌隉,杌陧,BR,wu4~nie4,杌,陧,,,,,,,,,,
yao3~miao3,杳眇,杳眇,BR,yao3~miao3,杳,眇,,,"0,6667",,,,2,,,
lan2~gan1,欄杆,栏杆,BR,lan2~gan1,栏,杆,,,"18,6025","23,8914",,,18,24,,
xi1~xie4,棲屑,栖屑,BR,xi1~xie4,栖,屑,,,"4,5877","10,3111",,,4,6,,
qi1~chi2,棲遲,栖迟,BR,qi1~chi2,栖,迟,,,"4,5877",87442,,,4,11,,
li4~lie4,栗烈,栗烈,BR,li4~lie4,栗,烈,,,"8,6963","102,8296",,,7,29,,
an4~yan3,案衍,案衍,BR,an4~yan3,案,衍,,,"245,9753","6,5284",,,76,6,,
pan2~bo2,槃礡,槃礴,BR,pan2~bo2,槃,礴,,,"0,9481","1,4272",,,0,1,,
ta4~la4,㯓臘,㯓腊,BR,ta4~la4,㯓,腊,,,,"26,8642",,,,4,,
xu1~xi1,歔欷,歔欷,BR,xu1~xi1,歔,欷,,,,,,,,,,
xu1~xi1,歘吸,歘吸,BR,xu1~xi1,歘,吸,,,,"163,3975",,,,31,,
fen1~yun1,氛氳,氛氲,BR,fen1~yun1,氛,氲,,,"43,6494","0,6568",,,2,1,,
wan2~lan2,汍蘭,汍兰,BR,wan2~lan2,汍,兰,,,,"153,0963",,,,23,,
wan2~lan2,汍瀾,汍澜,BR,wan2~lan2,汍,澜,,,,"7,7086",,,,6,,
fa2~jie2,汎𣶏𣶏,汎𣶏𣶏,BR,fa2~jie2,汎,𣶏,𣶏,,,,,,,,,
wang1~yang2,汪洋,汪洋,BR,wang1~yang2,汪,洋,,,"11,0864","102,4642",,,6,52,,
wang1~yang4,汪漾,汪漾,BR,wang1~yang4,汪,漾,,,"11,0864","5,1852",,,6,2,,
wang1~xiang2,汪翔,汪翔,BR,wang1~xiang2,汪,翔,,,"11,0864","46,9432",,,6,6,,
xiong1~yong3,洶湧,汹湧,BR,xiong1~yong3,汹,湧,,,"3,7679",,,,4,,,
hang4~xie4,沆瀣,沆瀣,BR,hang4~xie4,沆,瀣,,,"0,2519","0,0691",,,1,1,,
ta4~he2,沓合,沓合,BR,ta4~he2,沓,合,,,"1,4568","550,8",,,2,159,,
wu4~mu4,沕穆,沕穆,BR,wu4~mu4,沕,穆,,,,"14,2765",,,,2,,
lun2~luo4,淪落,沦落,BR,lun2~luo4,沦,落,,,"9,9605","304,3951",,,6,111,,
fei4~wei4,沸渭,沸渭,BR,fei4~wei4,沸,渭,,,"17,6988","0,9827",,,6,1,,
ning2~ni4,濘溺,泞溺,BR,ning2~ni4,泞,溺,,,"1,2494","8,2123",,,1,4,,
pao2~sou3,泡溲,泡溲,BR,pao2~sou3,泡,溲,,,"124,7358",,,,24,,,
xuan4~yun2,泫沄,泫沄,BR,xuan4~yun2,泫,沄,,,,,,,,,,
pan4~han4,泮汗,泮汗,BR,pan4~han4,泮,汗,,,,"54,6321",,,,27,,
jiang4~dong4,洚洞,洚洞,BR,jiang4~dong4,洚,洞,,,,"52,9284",,,,34,,
jia1~qia4,浹洽,浃洽,BR,jia1~qia4,浃,洽,,,"0,3951","3,4321",,,1,4,,
hao4~han4,浩汗,浩汗,BR,hao4~han4,浩,汗,,,"29,8963","54,6321",,,8,27,,
qin1~yin2,浸淫,浸淫,BR,qin1~yin2,浸,淫,,,"19,9407","16,8593",,,11,9,,
wan3~yan3,涴演,涴演,BR,wan3~yan3,涴,演,,,,"345,8963",,,,69,,
xi1~li4,淅瀝,淅沥,BR,xi1~li4,淅,沥,,,,"7,6642",,,,3,,
lin2~li2,淋灕,淋灕,BR,lin2~li2,淋,灕,,,"34,2074",,,,15,,,
chuo4~yue1,淖約,淖约,BR,chuo4~yue1,淖,约,,,"0,2914","266,6716",,,0,56,,
peng1~pai4,淜湃,淜湃,BR,peng1~pai4,淜,湃,,,,"3,4667",,,,3,,
tian3~nian3,淟涊,淟涊,BR,tian3~nian3,淟,涊,,,,,,,,,,
dan4~duo4,淡沱,淡沱,BR,dan4~duo4,淡,沱,,,"160,9926","0,7506",,,31,1,,
ting2~ying3,渟濙,渟濙,BR,ting2~ying3,渟,濙,,,,,,,,,,
po4~mo4,溥漠,溥漠,BR,po4~mo4,溥,漠,,,,"28,7111",,,,10,,
rong2~yu3,溶與,溶与,BR,rong2~yu3,溶,与,,,"13,7975","962,0346",,,12,18,,
rong2~yi4,溶㵝,溶㵝,BR,rong2~yi4,溶,㵝,,,"13,7975",,,,12,,,
pang2~pei4,滂沛,滂沛,BR,pang2~pei4,滂,沛,,,"0,4","4,7605",,,1,2,,
pang2~tuo2,滂沱,滂沱,BR,pang2~tuo2,滂,沱,,,"0,4","0,7506",,,1,1,,
pang1~pi4,滂濞,滂濞,BR,pang1~pi4,滂,濞,,,"0,4",,,,1,,,
gu3~ji1,滑稽,滑稽,BR,gu3~ji1,滑,稽,,,80237,"5,6691",,,46,6,,
di1~li4,滴瀝,滴沥,BR,di1~li4,滴,沥,,,"219,4667","7,6642",,,14,3,,
xuan2~huan2,漩澴,漩澴,BR,xuan2~huan2,漩,澴,,,"1,7235",,,,1,,,
cui1~yi2,漼溰,漼溰,BR,cui1~yi2,漼,溰,,,,,,,,,,
xiao1~tiao2,瀟條,潇条,BR,xiao1~tiao2,潇,条,,,"16,4049","359,4123",,,1,72,,
xiao1~sen1,瀟森,潇森,BR,xiao1~sen1,潇,森,,,"16,4049","87,1802",,,1,5,,
xiao1~sa3,瀟灑,潇灑,BR,xiao1~sa3,潇,灑,,,"16,4049",,,,1,,,
xiao1~shuai4,瀟率,潇率,BR,xiao1~shuai4,潇,率,,,"16,4049","90,0988",,,1,69,,
xiao1~se4,瀟瑟,潇瑟,BR,xiao1~se4,潇,瑟,,,"16,4049","39,8025",,,1,2,,
xiao1~suo3,瀟索,潇索,BR,xiao1~suo3,潇,索,,,"16,4049","114,5333",,,1,34,,
pie4~lie4,潎洌,潎洌,BR,pie4~lie4,潎,洌,,,,"0,1679",,,,1,,
chan2~yuan2,潺湲,潺湲,BR,chan2~yuan2,潺,湲,,,,,,,,,,
peng1~pai4,澎湃,澎湃,BR,peng1~pai4,澎,湃,,,"3,9802","3,4667",,,3,3,,
peng1~pi4,澎濞,澎濞,BR,peng1~pi4,澎,濞,,,"3,9802",,,,3,,,
hong4~dong4,澒洞,澒洞,BR,hong4~dong4,澒,洞,,,,"52,9284",,,,34,,
dan4~dan4,澹淡,澹淡,BR,dan4~dan4,澹,淡,,,,"160,9926",,,,31,,
dan4~han3,澹澉,澹澉,BR,dan4~han3,澹,澉,,,,,,,,,,
dan4~yan4,澹灧,澹灧,BR,dan4~yan4,澹,灧,,,,,,,,,,
dan4~dang4,澹蕩,澹荡,BR,dan4~dang4,澹,荡,,,,"44,4938",,,,35,,
pen1~bo2,濆薄,濆薄,BR,pen1~bo2,濆,薄,,,,"68,9531",,,,37,,
ding3~ning2,濎濘,濎泞,BR,ding3~ning2,濎,泞,,,,"1,2494",,,,1,,
ting4~ying2,濎濙,濎濙,BR,ting4~ying2,濎,濙,,,,,,,,,,
huo4~luo4,濩落,濩落,BR,huo4~luo4,濩,落,,,,"304,3951",,,,111,,
wang3~yang4,瀇漾,瀇漾,BR,wang3~yang4,瀇,漾,,,,"5,1852",,,,2,,
wang3~yang4,瀇瀁,瀇瀁,BR,wang3~yang4,瀇,瀁,,,,,,,,,,
chan2~zhuo2,瀺灂,瀺灂,BR,chan2~zhuo2,瀺,灂,,,,,,,,,,
hao4~yao3,灝溔,灏溔,BR,hao4~yao3,灏,溔,,,,,,,,,,
can4~lan4,燦爛,灿烂,BR,can4~lan4,灿,烂,,,"52,5432","111,6741",,,4,19,,
pao2~xiao1,炰烋,炰烋,BR,pao2~xiao1,炰,烋,,,,,,,,,,
xuan3~he4,烜爀,烜爀,BR,xuan3~he4,烜,爀,,,,,,,,,,
yan4~you1,焱悠,焱悠,BR,yan4~you1,焱,悠,,,,"37,1556",,,,13,,
lin2~luan4,燐亂,燐乱,BR,lin2~luan4,燐,乱,,,,"283,5556",,,,60,,
tang3~lang3,爣朗,爣朗,BR,tang3~lang3,爣,朗,,,,"59,2988",,,,16,,
tang3~lang3,爣閬,爣阆,BR,tang3~lang3,爣,阆,,,,,,,,,,
pa2~sha1,爬沙,爬沙,BR,pa2~sha1,爬,沙,,,71921,134,,,9,72,,
cui3~cuo4,璀錯,璀错,BR,cui3~cuo4,璀,错,,,"25,3679","798,3111",,,1,35,,
lin2~bin1,璘彬,璘彬,BR,lin2~bin1,璘,彬,,,,"8,2272",,,,2,,
lin2~ban1,璘班,璘班,BR,lin2~ban1,璘,班,,,,"543,8222",,,,72,,
huo4~luo4,瓠落,瓠落,BR,huo4~luo4,瓠,落,,,,"304,3951",,,,111,,
ting3~tuan3,町畽,町畽,BR,ting3~tuan3,町,畽,,,"1,6049",,,,0,,,
ting3~tuan3,町疃,町疃,BR,ting3~tuan3,町,疃,,,"1,6049",,,,0,,,
liu2~luo4,留落,留落,BR,liu2~luo4,留,落,,,"331,5605","304,3951",,,62,111,,
xiao3~yao3,皛溔,皛溔,BR,xiao3~yao3,皛,溔,,,,,,,,,,
pan2~huan2,盤桓,盘桓,BR,pan2~huan2,盘,桓,,,"210,0198","1,0716",,,68,1,,
pan2~bo2,盤薄,盘薄,BR,pan2~bo2,盘,薄,,,"210,0198","68,9531",,,68,37,,
xiang1~yang2,相羊,相羊,BR,xiang1~yang2,相,羊,,,"978,4642","197,3827",,,172,38,,
xuan4~mian4,眩湣,眩湣,BR,xuan4~mian4,眩,湣,,,"4,2914",,,,3,,,
xian4~huan4,睍睆,睍睆,BR,xian4~huan4,睍,睆,,,,,,,,,,
pie1~lie4,瞥列,瞥列,BR,pie1~lie4,瞥,列,,,"2,3309","138,3704",,,1,49,,
pie1~lie4,瞥裂,瞥裂,BR,pie1~lie4,瞥,裂,,,"2,3309","39,5704",,,1,32,,
tong2~meng2,瞳矇,瞳矇,BR,tong2~meng2,瞳,矇,,,"9,8716",,,,2,,,
qi2~yi3,碕礒,碕礒,BR,qi2~yi3,碕,礒,,,,,,,,,,
qi4~li4,磧歷,碛历,BR,qi4~li4,碛,历,,,,"209,3926",,,,48,,
qi4~li4,磧礫,碛砾,BR,qi4~li4,碛,砾,,,,"0,6963",,,,4,,
lei3~luo3,磊砢,磊砢,BR,lei3~luo3,磊,砢,,,"8,4049",,,,1,,,
lei3~luo4,磊落,磊落,BR,lei3~luo4,磊,落,,,"8,4049","304,3951",,,1,111,,
pan2~huan2,磐桓,磐桓,BR,pan2~huan2,磐,桓,,,"1,3827","1,0716",,,1,1,,
pan2~bo2,磐礡,磐礴,BR,pan2~bo2,磐,礴,,,"1,3827","1,4272",,,1,1,,
pan2~bo2,磐薄,磐薄,BR,pan2~bo2,磐,薄,,,"1,3827","68,9531",,,1,37,,
pan2~bi4,磐辟,磐辟,BR,pan2~bi4,磐,辟,,,"1,3827","6,3753",,,1,6,,
li2~pi1,離披,离披,BR,li2~pi1,离,披,,,"498,3852","19,7086",,,73,9,,
li2~mi2,離麋,离麋,BR,li2~mi2,离,麋,,,"498,3852",484,,,73,1,,
tu1~wu4,秃兀,秃兀,BR,tu1~wu4,秃,兀,,,"5,2741","1,1802",,,8,3,,
tu1~wu4,突兀,突兀,BR,tu1~wu4,突,兀,,,"308,9185","1,1802",,,24,3,,
yao3~miao3,窅眇,窅眇,BR,yao3~miao3,窅,眇,,,,,,,,,,
suo3~luo4,索落,索落,BR,suo3~luo4,索,落,,,"114,5333","304,3951",,,34,111,,
jin3~quan4,緊絭,紧絭,BR,jin3~quan4,紧,絭,,,"340,0395",,,,41,,,
jiu1~liu3,糾蓼,纠蓼,BR,jiu1~liu3,纠,蓼,,,"81,7679",,,,8,,,
fen1~yun2,紛紜,纷纭,BR,fen1~yun2,纷,纭,,,"51,4963","0,2864",,,17,2,,
chan2~mian2,纏綿,缠绵,BR,chan2~mian2,缠,绵,,,"29,6494","29,2198",,,7,17,,
xi1~xi4,翕赩,翕赩,BR,xi1~xi4,翕,赩,,,,,,,,,,
cui4~wei1,翠微,翠微,BR,cui4~wei1,翠,微,,,"17,0667",2807684,,,10,60,,
ao2~xiang2,翱翔,翱翔,BR,ao2~xiang2,翱,翔,,,"1,0667","46,9432",,,1,6,,
xi1~xiang4,肸蠁,肸蠁,BR,xi1~xiang4,肸,蠁,,,,,,,,,,
ni4~xi4,膩細,腻细,BR,ni4~xi4,腻,细,,,"27,8568","209,1309",,,6,65,,
tong2~long2,膧朧,膧胧,BR,tong2~long2,膧,胧,,,,"7,1259",,,,1,,
tong2~meng2,膧䑃,膧䑃,BR,tong2~meng2,膧,䑃,,,,,,,,,,
peng2~heng1,膨脝,膨脝,BR,peng2~heng1,膨,脝,,,"5,1506",,,,3,,,
chong1~rong2,舂容,舂容,BR,chong1~rong2,舂,容,,,,"475,8667",,,,58,,
tan1~dan4,舑舕,舑舕,BR,tan1~dan4,舑,舕,,,,,,,,,,
tian3~tan4,舔舕,舔舕,BR,tian3~tan4,舔,舕,,,"9,4716",,,,0,,,
qian1~mian2,芊眠,芊眠,BR,qian1~mian2,芊,眠,,,,"208,8593",,,,20,,
qian1~mian2,芊綿,芊绵,BR,qian1~mian2,芊,绵,,,,"29,2198",,,,17,,
fen1~yun1,芬氳,芬氲,BR,fen1~yun1,芬,氲,,,"26,9728","0,6568",,,2,1,,
cang1~mang2,蒼茫,苍茫,BR,cang1~mang2,苍,茫,,,"37,4519","41,7531",,,13,7,,
ling2~luo4,苓落,苓落,BR,ling2~luo4,苓,落,,,,"304,3951",,,,111,,
cao3~ci4,草次,草次,BR,cao3~ci4,草,次,,,"187,3975","1271,1259",,,92,55,,
huang1~tang2,荒唐,荒唐,BR,huang1~tang2,荒,唐,,,"43,7481","65,1506",,,35,5,,
ying2~huo4,熒惑,荧惑,BR,ying2~huo4,荧,惑,,,"5,3926","59,4765",,,6,11,,
fei3~wei1,菲薇,菲薇,BR,fei3~wei1,菲,薇,,,"73,4321","19,2346",,,2,2,,
wei1~yue1,萎約,萎约,BR,wei1~yue1,萎,约,,,"5,7185","266,6716",,,4,56,,
wei3~nei3,萎腇,萎腇,BR,wei3~nei3,萎,腇,,,"5,7185",,,,4,,,
huan2~lan2,萑蘭,萑兰,BR,huan2~lan2,萑,兰,,,,"153,0963",,,,23,,
huan2~hu4,萑蔰,萑蔰,BR,huan2~hu4,萑,蔰,,,,,,,,,,
ying2~yu1,縈紆,萦纡,BR,ying2~yu1,萦,纡,,,"2,6074",,,,2,,,
xiao1~tiao2,蕭條,萧条,BR,xiao1~tiao2,萧,条,,,"14,1877","359,4123",,,3,72,,
xiao1~sen1,蕭森,萧森,BR,xiao1~sen1,萧,森,,,"14,1877","87,1802",,,3,5,,
xiao1~sa3,蕭灑,萧灑,BR,xiao1~sa3,萧,灑,,,"14,1877",,,,3,,,
xiao1~shuai4,蕭率,萧率,BR,xiao1~shuai4,萧,率,,,"14,1877","90,0988",,,3,69,,
xiao1~se4,蕭瑟,萧瑟,BR,xiao1~se4,萧,瑟,,,"14,1877","39,8025",,,3,2,,
xiao1~suo3,蕭索,萧索,BR,xiao1~suo3,萧,索,,,"14,1877","114,5333",,,3,34,,
cong1~long3,蔥蘢,葱茏,BR,cong1~long3,葱,茏,,,"40,7309","0,2173",,,8,1,,
weng3~rong2,蓊茸,蓊茸,BR,weng3~rong2,蓊,茸,,,,"3,4963",,,,3,,
weng3~yu4,蓊鬱,蓊鬱,BR,weng3~yu4,蓊,鬱,,,,,,,,,,
peng2~bo2,蓬勃,蓬勃,BR,peng2~bo2,蓬,勃,,,"8,1136","16,7259",,,13,16,,
peng2~rong2,蓬茸,蓬茸,BR,peng2~rong2,蓬,茸,,,"8,1136","3,4963",,,13,3,,
yu4~jie2,蔚結,蔚结,BR,yu4~jie2,蔚,结,,,"4,1679","754,2321",,,3,103,,
yi4~hui4,蘙薈,蘙荟,BR,yi4~hui4,蘙,荟,,,,3437,,,,1,,
yi4~wei4,蘙蔚,蘙蔚,BR,yi4~wei4,蘙,蔚,,,,"4,1679",,,,3,,
