pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,variant,Kroll,sensorymod,zdic,note,datasource,morphology,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,H1.sem,H1.semfreq,H1.semfam,H1.phon,H1.phonfreq,H1.phonfam,H2.sem,H2.semfreq,H2.semfam,H2.phon,H2.phonfreq,H2.phonfam,H3.sem,H3.semfreq,H3.semfam,H3.phon,H3.phonfreq,H3.phonfam,H4.sem,H4.semfreq,H4.semfam,H4.phon,H4.phonfreq,H4.phonfam
xiao1~xiao1,xiāo~xiāo,xiao~xiao,嘐嘐,嘐嘐,xaew~xaew,NA~NA,口,NA,"talk magniloquently, vaunt, exaggerate, blow hard",NA,形容言語誇張、言行不一致。孟子．盡心下：「何以謂之狂也？曰：『其志嘐嘐然。』」,NA,Kroll,BB,嘐,嘐,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xu1~xu1,xū~xū,xu~xu,嘔嘔,呕呕,xju~xju,*qˤ(r)oʔ~*qˤ(r)oʔ,口,NA,"sweet and soothing, dulcet and pleasing, easily agreeable",NA,和悅的樣子。史記．卷九十二．淮陰侯傳：「項王見人恭敬慈愛，言語嘔嘔。」,xu1 usually pronounced as ou1,Kroll,BB,呕,呕,NA,NA,"16,7407","16,7407",NA,NA,5,5,NA,NA,口,50016563,297,区,"148,5086",14,口,50016563,297,区,"148,5086",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ze2~ze2,zé~zé,ze~ze,嘖嘖,啧啧,tsreak~tsreak,NA~NA,口,NA,"twittering and chirping of birds, creaking of insects; clucking and chirking in approbation",NA,狀聲詞：(1)​ 形容蟲鳥鳴叫聲。爾雅．釋鳥：「行雇唶唶，宵雇嘖嘖。」邢昺．疏：「唶唶、嘖嘖，鳥聲貌也。」初刻拍案驚奇．卷三：「那邊地方裡居民，家家蓄養蜈蚣，有大尺餘者，多放在枕畔或枕中，若有蛇至，蜈蚣便嘖嘖作聲。」(2)​ 形容咂嘴聲。表示讚嘆、驚奇。初刻拍案驚奇．卷六：「狄氏隨手就囊中取起來看，口裡嘖嘖道：『果然好珠！』」文明小史．第二十一回：「楊編修嘖嘖稱讚，說他輕了十年年紀。」形容爭相言語、議論。明史．卷二四五．周宗建傳：「近日政事，外廷嘖嘖，咸謂奧窔之中，莫可測識。」,NA,Kroll,BB,啧,啧,NA,NA,"6,6617","6,6617",NA,NA,2,2,NA,NA,口,50016563,297,责,"97,0173",4,口,50016563,297,责,"97,0173",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xiao1~xiao1,xiāo~xiāo,xiao~xiao,嘵嘵,哓哓,xew~xew,NA~NA,口,NA,exclamation of fright: hyai,NA,恐懼聲。詩經．豳風．鴟鴞：「予室翹翹，風雨所漂搖，予維音嘵嘵。」爭辯聲。唐．韓愈．重答張籍書：「擇其可語者誨之，猶時與吾悖，其聲嘵嘵。」多言的樣子。初刻拍案驚奇．卷一：「口中嘵嘵說：『悔氣！來得遲了。』」聊齋志異．卷十．胭脂：「彼嘵嘵者直以桎梏靜之，何怪覆盆之下多沉冤哉！」,NA,Kroll,BB,哓,哓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tan1~tan1,tān~tān,tan~tan,嘽嘽,嘽嘽,than~than,*tʰˤar~*tʰˤar,口,NA,"panting and snorting, exhausted and spent; unnumbered and legion, drawn-out in throngs",NA,牲畜喘息的樣子。詩經．小雅．四牡：「四牡騑騑，嘽嘽駱馬。」舒暢喜樂的樣子。詩經．大雅．崧高：「申伯番番，既入于謝，徒御嘽嘽。」眾多。詩經．小雅．釆芑：「戎車嘽嘽，嘽嘽焞焞，如霆如雷。」,NA,Kroll,BB,嘽,嘽,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zun3~zun3,zǔn~zǔn,zun~zun,噂噂,噂噂,tswonX~tswonX,NA~NA,口,NA,"confused chatter, jumbled babble, cross-talk",NA,狀聲詞。形容吵雜聲。唐．盧照鄰．釋疾文．命曰：「霓為裳兮羽為旗，雷為車兮電為斾，噂噂兮上馳，遙遙兮橫厲。」相對傾談。漢．焦延壽．易林．卷一．乾之困：「噂噂所言，莫知我垣。」,NA,Kroll,BB,噂,噂,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jie1~jie1,jiē~jiē,jie~jie,嚌嚌,哜哜,kej~kej,NA~NA,口,NA,squawk and screech,NA,狀聲詞：(1)​ 形容鳥獸的鳴叫聲。文選．班彪．北征賦：「雁邕邕以群翔兮，鵾雞鳴以嚌嚌。」(2)​ 形容管弦的淒切聲。漢．揚雄．太玄經．卷二．樂：「鐘鼓喈喈，管絃嚌嚌。」,嚌 jie1 also ji4 (MC dzejH),Kroll,BB,哜,哜,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ao2~ao2,áo~áo,ao~ao,囂囂,嚣嚣,ngaw~ngaw,*[ŋ]ˤaw~*[ŋ]ˤaw,NA,NA,brawl and brouhaha; moiling mob; rife and riotous,NA,無欲自得的樣子。孟子．盡心上：「人知之，亦囂囂；人不知，亦囂囂。」言語紛紜的樣子。詩經．小雅．十月之交：「無罪無辜，讒口囂囂。」,radical support?,Kroll,BB,嚣,嚣,NA,NA,"24,5284","24,5284",NA,NA,5,5,NA,NA,口,50016563,297,NA,NA,NA,口,50016563,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xiao1~xiao1,xiāo~xiāo,xiao~xiao,囂囂,嚣嚣,xjew~xjew,*[ŋ]ˤaw~*[ŋ]ˤaw,NA,NA,well and fully pleased,NA,無欲自得的樣子。孟子．盡心上：「人知之，亦囂囂；人不知，亦囂囂。」言語紛紜的樣子。詩經．小雅．十月之交：「無罪無辜，讒口囂囂。」,radical support?,Kroll,BB,嚣,嚣,NA,NA,"24,5284","24,5284",NA,NA,5,5,NA,NA,口,50016563,297,NA,NA,NA,口,50016563,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qun1~qun1,qūn~qūn,qun~qun,囷囷,囷囷,khwin~khwin,*kʰrun~*kʰrun,NA,NA,"(med.) twisting and turning, curved and winding",NA,屈曲盤旋的樣子。唐．杜牧．阿房宮賦：「盤盤焉，囷囷焉，蜂房水渦矗，不知乎幾千萬落。」,radical support?,Kroll,BB,囷,囷,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tang2~tang2,táng~táng,tang~tang,堂堂,堂堂,dang~dang,*[d]ˤaŋ~*[d]ˤaŋ,NA,NA,broad and limitless; large and lofty; massive and magnificent,NA,形容人的容貌端正莊嚴。論語．子張：「堂堂乎張也，難與並為仁矣。」形容志氣宏大。宋．岳飛．題新淦古寺壁詩：「正氣堂堂貫斗牛，誓將貞節報君仇。」形容陣容或力量壯大。三國志．卷二十八．魏書．鍾會傳：「段谷、侯和沮傷之氣，難以敵堂堂之陳。」,NA,Kroll,BB,堂,堂,NA,NA,"169,8123","169,8123",NA,NA,69,69,NA,NA,土,"17088,4346",84,尚,"1084,9827",12,土,"17088,4346",84,尚,"1084,9827",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zhen4~zhen4,zhèn~zhèn,zhen~zhen,填填,填填,trinH~trinH,*[d]ˤi[n]~*[d]ˤi[n],土,NA,"grave and dignified, in formal manner",NA,NA,zhen4 usually reads as tian2,Kroll,BB,填,填,NA,NA,"37,8025","37,8025",NA,NA,14,14,NA,NA,土,"17088,4346",84,真,"170,6123",6,土,"17088,4346",84,真,"170,6123",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mei2~mei2,méi~méi,mei~mei,塺塺,塺塺,mwoj~mwoj,*mˤaj-s~*mˤaj-s,土,NA,drifting dust,NA,NA,NA,Kroll,BB,塺,塺,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yao1~yao1,yāo~yāo,yao~yao,夭夭,夭夭,'jew~'jew,*[ʔ](r)aw~*[ʔ](r)aw,夭,NA,"lush growth, luxuriant, unhindered abundance; relaxed and unruffled",NA,少壯美盛的樣子。詩經．周南．桃夭：「桃之夭夭，灼灼其華。」文選．阮籍．詠懷詩十七首之四：「夭夭桃李花，灼灼有輝光。」顏色和悅的樣子。論語．述而：「子之燕居，申申如也，夭夭如也。」,NA,Kroll,BB,夭,夭,NA,NA,2242,2242,NA,NA,2,2,NA,NA,大,"16670,0889",29,NA,NA,NA,大,"16670,0889",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yan1~yan1,yān~yān,yan~yan,奄奄,奄奄,'jem~'jem,*ʔ(r)omʔ~*ʔ(r)omʔ,NA,NA,"(med.) weak(ly), faint(ly)",NA,氣息微弱將絕。初刻拍案驚奇．卷十二：「老夫婦只生得此女，自從失去，幾番哭絕，至今奄奄不欲生。」,NA,Kroll,BB,奄,奄,NA,NA,"1,3037","1,3037",NA,NA,1,1,NA,NA,大,"16670,0889",29,电,"1174,1679",2,大,"16670,0889",29,电,"1174,1679",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
huan4~huan4,huàn~huàn,huan~huan,奐奐,奂奂,xwanH~xwanH,NA~NA,大,NA,"bright, vibrant, vivid",NA,NA,NA,Kroll,BB,奂,奂,NA,NA,"1,0815","1,0815",NA,NA,2,2,NA,NA,大,"16670,0889",29,NA,NA,NA,大,"16670,0889",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qi4~qi4,qì~qì,qi~qi,契契,契契,khejH~khejH,*[kʰ]ˤet-s~*[kʰ]ˤet-s,大,NA,separated far and long; sad and sorrowfol,NA,憂苦。詩經．小雅．大東：「契契寤歎，哀我憚人。」晉．陶淵明．閑情賦：「改所願而必違，徒契契以苦心。」,radical support?,Kroll,BB,契,契,NA,NA,"23,9259","23,9259",NA,NA,7,7,NA,NA,大,"16670,0889",29,NA,NA,NA,大,"16670,0889",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qu2~qu2,qú~qú,qu~qu,姁姁,姁姁,gju~gju,NA~NA,女,NA,contentendly complacent; mild and moderate,NA,喜悅自得的樣子。呂氏春秋．有始覽．諭大：「父子兄弟相與比周於一國，姁姁焉相樂也。」言語溫和親切。唐．柳宗元．段太尉逸事狀：「太尉為人姁姁，常低首拱手行步。」明．歸有光．先妣事略：「敦尚簡實，與人姁姁說村中語。」,NA,Kroll,BB,姁,姁,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
shan1~shan1,shān~shān,shan~shan,姍姍,姗姗,san~san,NA~NA,女,NA,"walk without haste, in a leisurely way, storll easily",NA,NA,NA,Kroll,BB,姗,姗,NA,NA,"2,3407","2,3407",NA,NA,1,1,NA,NA,女,18584642,96,册,19037,3,女,18584642,96,册,19037,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
suo1~suo1,suō~suō,suo~suo,娑娑,娑娑,sa~sa,*[s]ˤa[j]~*[s]ˤa[j],女,NA,flowing fullness,NA,鬆散、飛揚的樣子。文選．張衡．思玄賦：「修初服之娑娑兮，長余佩之參參。」,NA,Kroll,BB,娑,娑,NA,NA,"1,2","1,2",NA,NA,1,1,NA,NA,女,18584642,96,沙,"86,0691",5,女,18584642,96,沙,"86,0691",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wei3~wei3,wěi~wěi,wei~wei,娓娓,娓娓,mj+jX~mj+jX,NA~NA,女,"亹亹, 娓娓","diligent, unstinting and tireless; handsomely shaped, beautifully formed",NA,勤勉不倦的樣子，常用來形容談論不倦。如：「娓娓道來」、「娓娓動聽」。,NA,Kroll,BB,娓,娓,NA,NA,"0,3852","0,3852",NA,NA,1,1,NA,NA,女,18584642,96,尾,"0,3852",1,女,18584642,96,尾,"0,3852",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chuo4~chuo4,chuò~chuò,chuo~chuo,娖娖,娖娖,tsrhaewk~tsrhaewk,NA~NA,女,齪齪,painstakingly precise,NA,誠實的樣子。史記．卷九十六．張丞相傳：「娖娖廉謹，為丞相備員而已。」遼史．卷一○二．蕭奉先等傳．論曰：「嗚呼！天祚之所倚毗者若此，國欲不亡，得乎？張琳娖娖守位，余睹反覆自困，則又何足議哉！」,NA,Kroll,BB,娖,娖,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lan2~lan2,lán~lán,lan~lan,婪婪,婪婪,lom~lom,*[r]ˤ[ə]m~*[r]ˤ[ə]m,女,惏惏,greedy and grasping,NA,NA,惏 lan2 also lin2 (MC lim) same as 婪,Kroll,BB,婪,婪,NA,NA,"6,0642","6,0642",NA,NA,1,1,NA,NA,女,18584642,96,林,"154,4593",6,女,18584642,96,林,"154,4593",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mei4~mei4,mèi~mèi,mei~mei,媒媒,媒媒,mwojH~mwojH,*C.mˤə~*C.mˤə,女,NA,"dark and dull, gloomy",NA,NA,媒 mei4 also mei2 (MC mwoj),Kroll,BB,媒,媒,NA,NA,37837,37837,NA,NA,9,9,NA,NA,女,18584642,96,某,117763,3,女,18584642,96,某,117763,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ti2~ti2,tí~tí,ti~ti,媞媞,媞媞,dej~dej,NA~NA,女,NA,fair and beautiful; gracefully easy,NA,美好的樣子。楚辭．東方朔．七諫．怨世：「西施媞媞而不得見兮，嫫母勃屑而日侍。」,NA,Kroll,BB,媞,媞,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yuan1~yuan1,yuān~yuān,yuan~yuan,嫚嫚,嫚嫚,hjwon~hjwon,NA~NA,女,NA,"tender, gentle, elegant, langid",NA,NA,嫚 yuan1 also man4 (MC maenH),Kroll,BB,嫚,嫚,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rao3~rao3,rǎo~rǎo,rao~rao,嬈嬈,娆娆,nyewX~nyewX,NA~NA,女,NA,"graceful and gentle, soft and yielding",NA,柔弱的樣子。文選．王襃．洞簫賦：「風鴻洞而不絕兮，優嬈嬈以婆娑。」,NA,Kroll,BB,娆,娆,NA,NA,"2,2025","2,2025",NA,NA,1,1,NA,NA,女,18584642,96,尧,"310,7951",12,女,18584642,96,尧,"310,7951",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xian1~xian1,xiān~xiān,xian~xian,孅孅,孅孅,sjem~sjem,NA~NA,女,"纖纖, 孅孅",fine and fragile,NA,NA,NA,Kroll,BB,孅,孅,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zi1~zi1,zī~zī,zi~zi,孜孜,孜孜,tsi~tsi,NA~NA,子,"孜孜, 孳孳","assiduous and alert, determined and tireless; indefatigable, persevering",NA,勤勉不懈。書經．益稷：「禹拜曰：『都帝予何言，予思日孜孜。』」文選．任昉．齊竟陵文宣王行狀：「雖牽以物役，孜孜無怠。」不停、不歇。聊齋志異．卷二．嬰甯：「又弔其無家，亦殊無悲意，孜孜憨笑而已。」仔細。宋．柳永．十二時．晚晴初詞：「夜永有時，分明枕上，覷著孜孜地。」元．關漢卿．玉鏡臺．第二折：「朝至暮不轉我這眼睛，孜孜覷定。」亦作「咨咨」。溫婉、柔順。宋．歐陽修．惜芳年．因倚蘭臺翠雲嚲詞：「睡未足，雙眉尚鎖，潛身走向伊行坐，孜孜地，告他梳裹。」宋元戲文輯佚．許盼盼燕子樓：「自來舉止孜孜地，那更好模好樣，一捻兒身己。」狀聲詞。形容鳥鳴聲。唐．白居易．燕示劉叟詩：「四兒日夜長，索食聲孜孜。」,radical support?,Kroll,BB,孜,孜,NA,NA,"2,2222","2,2222",NA,NA,1,1,NA,NA,子,"6417,5605",26,子,814879,6,子,"6417,5605",26,子,814879,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zi1~zi1,zī~zī,zi~zi,孳孳,孳孳,tsi~tsi,NA~NA,子,"孜孜, 孳孳","ceaselessly assiduous, fervently indefatigable",NA,勤勉不怠。孟子．盡心上：「雞鳴而起，孳孳為善者，舜之徒也。」漢書．卷八十五．谷永傳：「宜夙夜孳孳，執伊尹之彊德，以守職匡上。」,radical support?,Kroll,BB,孳,孳,NA,NA,"0,0642","0,0642",NA,NA,1,1,NA,NA,子,"6417,5605",26,兹,100721,6,子,"6417,5605",26,兹,100721,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wan3~wan3,wǎn~wǎn,wan~wan,宛宛,宛宛,'jwonX~'jwonX,*[ʔ]o[r]ʔ~*[ʔ]o[r]ʔ,NA,NA,"supplely sweeping, as of graceful bamboo",NA,盤旋屈曲的樣子。文選．司馬相如．封禪文：「宛宛黃龍，興德而升。」山路蜿蜒曲折。唐．張祜．車遙遙詩：「碧川迢迢山宛宛，馬蹄在耳輪在眼。」柔弱的樣子。清．納蘭性德．秋千索．淥水亭春望詞：「煙絲宛宛愁縈挂，賸幾筆晚晴圖畫。」,NA,Kroll,BB,宛,宛,NA,NA,"4,6667","4,6667",NA,NA,2,2,NA,NA,宀,"14193,9605",51,夗,"90,4741",4,宀,"14193,9605",51,夗,"90,4741",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rong2~rong2,róng~róng,rong~rong,容容,容容,yowng~yowng,*[ɢ](r)oŋ~*[ɢ](r)oŋ,宀,NA,"spreading freely, rolling in billows; with no set view, undetermined",NA,苟且敷衍，隨眾附和。史記．卷九十六．張丞相傳：「其治容容，隨世俗浮沉。」漢書．卷八十四．翟方進傳：「朕誠怪君，何持容容之計，無忠固意。」飛揚的樣子。楚辭．屈原．九歌．山鬼：「表獨立兮山之上，雲容容兮而在下。」漢書．卷二十二．禮樂志：「神之行，旌容容，騎沓沓，般縱縱。」紛亂動蕩的樣子。楚辭．屈原．九章．悲回風：「紛容容之無經兮，罔芒芒之無紀。」史記．卷九十二．淮陰侯傳：「夫銳氣挫於險塞，而糧食竭於內府，百姓罷極怨望，容容無所倚。」,NA,Kroll,BB,容,容,NA,NA,"475,8667","475,8667",NA,NA,58,58,NA,NA,宀,"14193,9605",51,NA,NA,NA,宀,"14193,9605",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cha2~cha2,chá~chá,cha~cha,察察,察察,tsrheat~tsrheat,*[tsʰ]ˤret~*[tsʰ]ˤret,宀,NA,pristine purity; usullied whitness; down to the smallest detail,NA,分別辨析。老子．第二十章：「俗人察察，我獨悶悶。」新唐書．卷二○七．宦者傳上．吐突承璀傳：「以黃門直東宮，為掖廷局博士，察察有才。」潔淨。楚辭．屈原．漁父：「安能以身之察察，受物之汶汶者乎？」,NA,Kroll,BB,察,察,NA,NA,"137,3235","137,3235",NA,NA,37,37,NA,NA,宀,"14193,9605",51,祭,"159,4519",2,宀,"14193,9605",51,祭,"159,4519",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liao2~liao2,liáo~liáo,liao~liao,寥寥,寥寥,lew~lew,NA~NA,宀,NA,"empty stillness, undisturbed solitude",NA,深邃的樣子。文選．左思．詠史八首之四：「寥寥空宇中，所講在玄虛。」孤寂，空虛。唐．宋之問．溫泉莊臥病寄楊七炯詩：「移疾臥茲嶺，寥寥倦幽獨。」唐．祖詠．蘇氏別業詩：「寥寥人境外，閑坐聽春禽。」數量稀少。唐．權德輿．舟行見月詩：「月入孤舟夜半晴，寥寥霜雁兩三聲。」文明小史．第二十七回：「那時天氣尚早，遊客寥寥。」,NA,Kroll,BB,寥,寥,NA,NA,3363,3363,NA,NA,2,2,NA,NA,宀,"14193,9605",51,翏,"26,3407",5,宀,"14193,9605",51,翏,"26,3407",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xun2~xun2,xún~xún,xun~xun,尋尋,寻寻,zim~zim,*sə-l[ə]m (< *-um ?)~*sə-l[ə]m (< *-um ?),彐,NA,unbounded; endless,NA,NA,NA,Kroll,BB,寻,寻,NA,NA,"439,8963","439,8963",NA,NA,26,26,NA,NA,寸,"4525,4173",11,彐,"877,1259",2,寸,"4525,4173",11,彐,"877,1259",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zhun1~zhun1,zhūn~zhūn,zhun~zhun,屯屯,屯屯,trwin~trwin,*[d]ˤun~*[d]ˤun,NA,"屯屯, 肫肫","intense and ardent, sincere and persevering",NA,NA,NA,Kroll,BB,屯,屯,NA,NA,"4,8395","4,8395",NA,NA,3,3,NA,NA,屮,"4,8395",1,NA,NA,NA,屮,"4,8395",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tiao2~tiao2,tiáo~tiáo,tiao~tiao,岧岧,岧岧,dew~dew,NA~NA,山,"岧岧, 岧嶤, 岧嵽, 岹岹, 岹嶤, 岹嵽","loftily lifted, toweringly tall, high and far, rearing upward",NA,高貌。文選．張衡．西京賦：「干雲霧而上達，狀亭亭以岧岧。」,岧 probably variant of 岹,Kroll,BB,岧,岧,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tiao2~tiao2,tiáo~tiáo,tiao~tiao,岹岹,岹岹,dew~dew,NA~NA,山,"岧岧, 岧嶤, 岧嵽, 岹岹, 岹嶤, 岹嵽","loftily lifted, toweringly tall, high and far, rearing upward",NA,NA,NA,Kroll,BB,岹,岹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yin2~yin2,yín~yín,yin~yin,崟崟,崟崟,ngim~ngim,NA~NA,山,NA,"tall and towering, high and steep, most precipitous; salientand outstandng; thick and dense",NA,繁茂的樣子。楚辭．王逸．九思．憫上：「叢林兮崟崟，株榛兮岳岳。」高的樣子。楚辭．淮南小山．招隱士：「狀皃崟崟兮峨峨，淒淒兮漇漇。」,NA,Kroll,BB,崟,崟,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yin2~yin2,yín~yín,yin~yin,崯崯,崯崯,ngim~ngim,NA~NA,山,NA,"tall and towering, high and steep, most precipitous; salientand outstandng; thick and dense",NA,NA,NA,Kroll,BB,崯,崯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wei2~wei2,wéi~wéi,wei~wei,嵬嵬,嵬嵬,ngwoj~ngwoj,*N-qʰˤuj~*N-qʰˤuj,山,"嵬嵬, 巍巍, 巍峨, 巍峩","toweringly tall, exaltedly elevated",NA,高大的樣子。樂府詩集．卷三十九．相和歌辭十四．古辭．豔歌行：「南山石嵬嵬，松柏何離離。」初刻拍案驚奇．卷二十八：「嵬嵬宮殿，虯松鎮碧瓦朱扉。」,NA,Kroll,BB,嵬,嵬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chan2~chan2,chán~chán,chan~chan,嶄嶄,崭崭,dzraem~dzraem,NA~NA,山,NA,peaked and pinnacled,NA,NA,NA,Kroll,BB,崭,崭,NA,NA,"7,8667","7,8667",NA,NA,2,2,NA,NA,山,"1569,0568",42,斩,118563,5,山,"1569,0568",42,斩,118563,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yao2~yao2,yáo~yáo,yao~yao,嶢嶢,嶢嶢,ngew~ngew,NA~NA,山,NA,"tall, lofty",NA,高峻的樣子。文選．揚雄．甘泉賦：「直嶢嶢以造天兮，厥高慶而不可乎彌度。」文選．曹植．七啟：「志飄飄焉，嶢嶢焉，似若狹六合而隘九州。」形容正直、完美等純粹的狀態。新唐書．卷九十七．魏徵傳．贊曰：「皓皓者易汙，嶢嶢者難全。」,NA,Kroll,BB,嶢,嶢,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ye4~ye4,yè~yè,ye~ye,嶪嶪,嶪嶪,ngjaep~ngjaep,NA~NA,山,"嶪嶪, 嶫嶫, 嶪峨, 嶫峨, 嶪峩, 嶪峩","jaggedly jutting, heaped high",NA,NA,NA,Kroll,BB,嶪,嶪,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ye4~ye4,yè~yè,ye~ye,嶫嶫,嶫嶫,ngjaep~ngjaep,NA~NA,山,"嶪嶪, 嶫嶫, 嶪峨, 嶫峨, 嶪峩, 嶪峩","jaggedly jutting, heaped high",NA,NA,NA,Kroll,BB,嶫,嶫,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yi3~yi3,yǐ~yǐ,yi~yi,嶬嶬,嶬嶬,ngjeX~ngjeX,NA~NA,山,"嶬嶬, 㠖㠖","steeply spiring, tall and towering",NA,NA,NA,Kroll,BB,嶬,嶬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
