pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,variant,Kroll,sensorymod,zdic,note,datasource,morphology,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,H1.sem,H1.semfreq,H1.semfam,H1.phon,H1.phonfreq,H1.phonfam,H2.sem,H2.semfreq,H2.semfam,H2.phon,H2.phonfreq,H2.phonfam,H3.sem,H3.semfreq,H3.semfam,H3.phon,H3.phonfreq,H3.phonfam,H4.sem,H4.semfreq,H4.semfam,H4.phon,H4.phonfreq,H4.phonfam
hong1~leng2,hōng~léng,hong~leng,輷輘,輷輘,xong~long,NA~NA,車,NA,onom. of ruble and rattle of carriages and thunder,SOUND,NA,NA,Kroll,RR,輷,輘,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ying1~ying1,yīng~yīng,ying~ying,嚶嚶,嘤嘤,'eang~’eang,NA~NA,口,NA,"onom. of small bells attached to carriage or horse, “ying-ging”",SOUND,狀聲詞：(1)​ 形容禽鳥和鳴的聲音。詩經．小雅．伐木：「伐木丁丁，鳥鳴嚶嚶。」南朝梁．吳均．與朱元思書：「好鳥相鳴，嚶嚶成韻。」(2)​ 形容低語聲。西遊記．第二十回：「只見一老者，斜倚竹床之上，口裡嚶嚶的念佛。」聊齋志異．卷四．辛十四娘：「聞房內嚶嚶膩語，生乘醉搴簾。」(3)​ 形容低泣聲。聊齋志異．卷一．青鳳：「尾而聽之，訶詬萬端。聞青鳳嚶嚶啜泣。」(4)​ 形容清脆而細的聲音。漢．陳琳．神女賦：「文絳虯之奕奕，鳴玉鸞之嚶嚶。」比喻朋友間志趣相投。文選．謝瞻．於安城答靈運詩：「華萼相光飾，嚶嚶悅同響。」,NA,Kroll,BB,嘤,嘤,NA,NA,"5,2494","5,2494",NA,NA,1,1,NA,NA,口,50016563,297,婴,"32,6469",5,口,50016563,297,婴,"32,6469",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lu4~lu4,lù~lù,lu~lu,碌碌,碌碌,luwk~luwk,NA~NA,石,NA,"rough and unworked (of stones or gems); also, crude and common, banal and ordinary; (med.) also, onom. of grumble and groan of cart-wheels, creak and rattle",SOUND,平庸的樣子。後漢書．卷八十．文苑傳下．禰衡傳：「餘子碌碌，莫足數也。」三國演義．第二十一回：「此等碌碌小人，何足挂齒。」或作「逯逯」、「錄錄」、「陸陸」。忙碌、奔波。紅樓夢．第二十二回：「從前碌碌卻因何？到如今，回頭試想真無趣。」狀聲詞。形容車行的聲音。唐．賈島．古意詩：「碌碌復碌碌，百年雙轉轂。」亦作「轆轆」。形容玉石的色彩美麗。南朝梁．劉勰．文心雕龍．總術：「落落之玉，或亂乎石；碌碌之石，時似乎玉。」才氣洋溢。南朝宋．劉義慶．世說新語．識鑒：「唯阿奴碌碌，當在阿母目下耳。」,NA,Kroll,BB,碌,碌,NA,NA,43837,43837,NA,NA,7,7,NA,NA,石,"1850,5235",61,录,"546,4494",5,石,"1850,5235",61,录,"546,4494",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hong1~hong1,hōng~hōng,hong~hong,輷輷,輷輷,xong~xong,NA~NA,車,NA,onom. of rumble of thunder or heavy carriages,SOUND,NA,NA,Kroll,BB,輷,輷,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ling2~ling2,líng~líng,ling~ling,鈴鈴,铃铃,leng~leng,NA~NA,金,NA,"grelot, folly-bell, croatal, jingler, small clapper-bells used on horses or carriages.: onom. of sound of preceding",SOUND,NA,NA,Kroll,BB,铃,铃,NA,NA,"26,4198","26,4198",NA,NA,16,16,NA,NA,钅,"3731,8272",120,令,"1249,5654",16,钅,"3731,8272",120,令,"1249,5654",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zheng1~zheng1,zhēng~zhēng,zheng~zheng,丁丁,丁丁,tsreng~tsreng,*tˤeŋ~*tˤeŋ,NA,NA,onom. Axe hitting a tree,SOUND,狀聲詞：(1)​ 形容伐木的聲音。詩經．小雅．伐木：「伐木丁丁，鳥鳴嚶嚶。」(2)​ 形容下雨的聲音。唐．元稹．景申秋詩八首之三：「嗢嗢簷霤凝，丁丁窗雨繁。」(3)​ 形容樂器彈奏的聲音。唐．許渾．聽琵琶詩：「欲寫明妃萬里情，紫槽紅撥夜丁丁。」(4)​ 形容下棋的聲音。宋．王禹偁．黃州新建小竹樓記：「宜圍棋，子聲丁丁然。」,NA,Kroll,BB,丁,丁,NA,NA,"65,2543","65,2543",NA,NA,34,34,NA,NA,一,"47068,6864",26,NA,NA,NA,一,"47068,6864",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leng3~leng3,lěng~lěng,leng~leng,冷冷,冷冷,lengX~lengX,NA~NA,冫,NA,onom. Zither playing clear and melodious notes,SOUND,寒冷。宋．王偊偁．李太白真讚序：「冷冷碧江，下浸秋石。」態度冷漠。如：「他只對她冷冷的一笑，一句寒暄的話也不肯說。」,NA,Kroll,BB,冷,冷,NA,NA,"471,7778","471,7778",NA,NA,84,84,NA,NA,冫,"2629,1654",21,令,"1249,5654",16,冫,"2629,1654",21,令,"1249,5654",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
la4~la1,là~lā,la~la,剌剌,剌剌,lat~lat,*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),刀,NA,onom. Gusting or lapping wind,SOUND,狀聲詞。形容風聲或拍擊聲。唐．李商隱．送千牛李將軍赴闕五十韻：「去程風剌剌，別夜漏丁丁。」語助詞。表示加重語氣。元．王曄．桃花女．第三折：「倒做這等魘鎮事，欺心剌剌的。我不去！我不去！」紅樓夢．第二十六回：「薛蟠道：『越發說的人熱剌剌的丟不下。』」,NA,Kroll,BB,剌,剌,NA,NA,"0,7062","0,7062",NA,NA,0,0,NA,NA,刂,"10927,3679",39,NA,NA,NA,刂,"10927,3679",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sou3~sou3,sǒu~sǒu,sou~sou,叟叟,叟叟,sjuw~sjuw,*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX)~*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX),NA,NA,onom. of washing rice: shyoo-shyoo,SOUND,狀聲詞。形容淘米的聲音。詩經．大雅．生民：「釋之叟叟，烝之浮浮。」亦作「溲溲」。,radical support?,Kroll,BB,叟,叟,NA,NA,"0,6963","0,6963",NA,NA,1,1,NA,NA,又,"9091,5457",15,NA,NA,NA,又,"9091,5457",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
you1~you1,yōu~yōu,you~you,呦呦,呦呦,'jiw~'jiw,NA~NA,口,NA,onom. of the bleating or mewing of dee: nyaaoo-nyaaoo; (med.) onom. of weeping: ngew-ngew,SOUND,狀聲詞。形容鹿鳴聲。詩經．小雅．鹿鳴：「呦呦鹿鳴，食野之苹。」唐．李頎．聽董大彈胡笳兼寄語弄房給事詩：「迸泉颯颯飛木末，野鹿呦呦走堂下。」,NA,Kroll,BB,呦,呦,NA,NA,"22,8148","22,8148",NA,NA,0,0,NA,NA,口,50016563,297,幼,"31,1407",5,口,50016563,297,幼,"31,1407",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ji1~ji1,jī~jī,ji~ji,唧唧,唧唧,tsik~tsik,NA~NA,口,NA,"onom. Sigh of sadness or admiration; onom. Bird's chirping, cicada's humming, cricket's chirping",SOUND,狀聲詞：(1)​ 形容機杼聲或嘆息聲。南朝梁．無名氏．木蘭詩二首之一：「唧唧復唧唧，木蘭當戶織。不聞機杼聲，唯聞女歎息。」(2)​ 形容嘆息聲。唐．白居易．琵琶行：「我聞琵琶已嘆息，又聞此語重唧唧。」(3)​ 形容蟲鳴聲。唐．王維．青雀歌：「猶勝黃雀爭上下，唧唧空倉復若何。」唐．李郢．宿杭州虛白堂詩：「秋月斜明虛白堂，寒蛩唧唧樹蒼蒼。」(4)​ 形容鳥鳴聲。唐．劉禹錫．鶗鴂吟：「如何上春日，唧唧滿庭飛。」(5)​ 形容哭泣聲。宋．蘇軾．岐亭詩五首之一：「醒時夜向闌，唧唧銅缾泣。」,NA,Kroll,BB,唧,唧,NA,NA,"6,7901","6,7901",NA,NA,5,5,NA,NA,口,50016563,297,即,"8,5383",2,口,50016563,297,即,"8,5383",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
