traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
霢霂,霡霂,mài mù,mài~mù,mai4~mu4,ALLITERATION,VISUAL,Shijing,màimù,different
靡靡,靡靡,mímí,mǐ~mǐ,mi3~mi3,REDUPLICATION,MOVEMENT,Shijing,mǐmǐ,different
靡靡,靡靡,mímí,mǐ~mǐ,mi3~mi3,REDUPLICATION,MOVEMENT,Shijing,mǐmǐ,different
靡靡,靡靡,mímí,mǐ~mǐ,mi3~mi3,REDUPLICATION,MOVEMENT,Shijing,mǐmǐ,different
鞙鞙,鞙鞙,xuàn xuàn,xuàn~xuàn,xuan4~xuan4,REDUPLICATION,VISUAL,Shijing,xuànxuàn,different
韡韡,韡韡,wěi wěi,wěi~wěi,wei3~wei3,REDUPLICATION,VISUAL,Shijing,wěiwěi,different
顒顒,颙颙,yóng yóng,yóng~yóng,yong2~yong2,REDUPLICATION,EVALUATION,Shijing,yóngyóng,different
顯顯,显显,xiǎn xiǎn,xiǎn~xiǎn,xian3~xian3,REDUPLICATION,EVALUATION,Shijing,xiǎnxiǎn,different
颼飀,飕飗,sōuliú,sōu~líu,sou1~liu2,RHYME,SOUND,Tang,sōulíu,different
養養,养养,yǎng yǎng,yǎng~yǎng,yang3~yang3,REDUPLICATION,FEELING,Shijing,yǎngyǎng,different
馮馮,冯冯,féng féng,féng~féng,feng2~feng2,REDUPLICATION,SOUND,Shijing,féngféng,different
駉駉,駉駉,jiōng jiōng,jiōng~jiōng,jiong1~jiong1,REDUPLICATION,VISUAL+EVALUATION,Shijing,jiōngjiōng,different
駉駉,駉駉,jiōng jiōng,jiōng~jiōng,jiong1~jiong1,REDUPLICATION,VISUAL+EVALUATION,Shijing,jiōngjiōng,different
駉駉,駉駉,jiōng jiōng,jiōng~jiōng,jiong1~jiong1,REDUPLICATION,VISUAL+EVALUATION,Shijing,jiōngjiōng,different
駉駉,駉駉,jiōng jiōng,jiōng~jiōng,jiong1~jiong1,REDUPLICATION,VISUAL+EVALUATION,Shijing,jiōngjiōng,different
駪駪,駪駪,shēn shēn,shēn~shēn,shen1~shen1,REDUPLICATION,VISUAL,Shijing,shēnshēn,different
駸駸,骎骎,qīn qīn,qīn~qīn,qin1~qin1,REDUPLICATION,MOVEMENT,Shijing,qīnqīn,different
騂騂,骍骍,xīng xīng,xīng~xīng,xing1~xing1,REDUPLICATION,VISUAL+EVALUATION,Shijing,xīngxīng,different
騤騤,騤騤,kuí kuí,kúi~kúi,kui2~kui2,REDUPLICATION,VISUAL,Shijing,kúikúi,different
騤騤,騤騤,kuí kuí,kúi~kúi,kui2~kui2,REDUPLICATION,VISUAL,Shijing,kúikúi,different
騤騤,騤騤,kuí kuí,kúi~kúi,kui2~kui2,REDUPLICATION,VISUAL+EVALUATION,Shijing,kúikúi,different
騤騤,騤騤,kuí kuí,kúi~kúi,kui2~kui2,REDUPLICATION,VISUAL+EVALUATION,Shijing,kúikúi,different
驕驕,骄骄,jiāo jiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,VISUAL,Shijing,jiāojiāo,different
驛驛,驿驿,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,different
高高,高高,gāo gāo,gāo~gāo,gao1~gao1,REDUPLICATION,VISUAL,Shijing,gāogāo,different
鶬鶬,鶬鶬,cāng cāng,cāng~cāng,cang1~cang1,REDUPLICATION,SOUND,Shijing,cāngcāng,different
麃麃,麃麃,páo páo,biāo~biāo,biao1~biao1,REDUPLICATION,VISUAL+EVALUATION,Shijing,biāobiāo,different
麌麌,麌麌,yǔ yǔ,yǔ~yǔ,yu3~yu3,REDUPLICATION,VISUAL,Shijing,wúwú~/~yǔ~yǔ,different
噳噳,噳噳,yǔ yǔ,yǔ~yǔ,yu3~yu3,REDUPLICATION,VISUAL,Shijing,wúwú~/~yǔ~yǔ,different
黃黃,黄黄,huáng huáng,huáng~huáng,huang2~huang2,REDUPLICATION,VISUAL,Shijing,huánghuáng,different
丸丸,丸丸,wánwán,wán~wán,wan2~wan2,REDUPLICATION,VISUAL,Shijing,wánwán,same
亂離,乱离,luànlí,luàn~lí,luan4~li2,ALLITERATION,EVALUATION,Shijing,luànlí,same
交交,交交,jiāojiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,MOVEMENT,Shijing,jiāojiāo,same
交交,交交,jiāojiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,MOVEMENT,Shijing,jiāojiāo,same
交交,交交,jiāojiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,MOVEMENT,Shijing,jiāojiāo,same
交交,交交,jiāojiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,MOVEMENT,Shijing,jiāojiāo,same
交交,交交,jiāojiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,MOVEMENT,Shijing,jiāojiāo,same
交交,交交,jiāojiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,MOVEMENT,Shijing,jiāojiāo,same
京京,京京,jīngjīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,same
依依,依依,yīyī,yī~yī,yi1~yi1,RED,INNER_FEELINGS,Tang,yīyī,same
依依,依依,yīyī,yī~yī,yi1~yi1,RED,COGNITIVE_STATE,Tang,yīyī,same
依依,依依,yīyī,yī~yī,yi1~yi1,REDUPLICATION,VISUAL,Shijing,yīyī,same
優游,优游,yōuyóu,yōu~yóu,you1~you2,RHYME,EVALUATION,Shijing,yōuyóu,same
優游,优游,yōuyóu,yōu~yóu,you1~you2,RHYME,EVALUATION,Shijing,yōuyóu,same
冥冥,冥冥,míngmíng,míng~míng,ming2~ming2,RED,VISUAL,Tang,míngmíng,same
冥冥,冥冥,míngmíng,míng~míng,ming2~ming2,RED,EVALUATION,Tang,míngmíng,same
凜然,凛然,lǐnrán,lǐn~rán,lin3~ran2,RAN,EVALUATION,Tang,lǐnrán,same
凝情,凝情,níngqíng,níng~qíng,ning2~qing2,RHYME,COGNITIVE_STATE,Tang,níngqíng,same
匍匐,匍匐,púfú,pú~fú,pu2~fu2,ALLITERATION,MOVEMENT,Shijing,púfú,same
匍匐,匍匐,púfú,pú~fú,pu2~fu2,ALLITERATION,MOVEMENT,Shijing,púfú,same
呦呦,呦呦,yōuyōu,yōu~yōu,you1~you1,RED,SOUND,Tang,yōuyōu,same
呦呦,呦呦,yōuyōu,yōu~yōu,you1~you1,REDUPLICATION,SOUND,Shijing,yōuyōu,same
呦呦,呦呦,yōuyōu,yōu~yōu,you1~you1,REDUPLICATION,SOUND,Shijing,yōuyōu,same
呦呦,呦呦,yōuyōu,yōu~yōu,you1~you1,REDUPLICATION,SOUND,Shijing,yōuyōu,same
唧唧,唧唧,jījī,jī~jī,ji1~ji1,RED,SOUND+EVALUATION,Tang,jījī,same
喧喧,喧喧,xuānxuān,xuān~xuān,xuan1~xuan1,RED,SOUND,Tang,xuānxuān,same
嗚呼,呜呼,wūhū,wū~hū,wu1~hu1,RHYME,SOUND+INNER_FEELINGS,Tang,wūhū,same
嘈嘈,嘈嘈,cáocáo,cáo~cáo,cao2~cao2,RED,SOUND,Tang,cáocáo,same
嘲哳,嘲哳,cháozhā,cháo~zhā,chao2~zha1,ALLIT,SOUND,Tang,cháozhā,same
嘵嘵,哓哓,xiāoxiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,SOUND,Shijing,xiāoxiāo,same
奮迅,奋迅,fènxùn,fèn~xùn,fen4~xun4,RHYME,MOVEMENT,Tang,fènxùn,same
好好,好好,hǎohǎo,hǎo~hǎo,hao3~hao3,REDUPLICATION,FEELING,Shijing,hǎohǎo,same
委委,委委,wěiwěi,wěi~wěi,wei3~wei3,REDUPLICATION,MOVEMENT,Shijing,wěiwěi,same
娉娉,娉娉,pīngpīng,pīng~pīng,ping1~ping1,RED,VISUAL,Tang,pīngpīng,same
娟娟,娟娟,juānjuān,juān~juān,juan1~juan1,RED,VISUAL+EVALUATION,Tang,juānjuān,same
嬋娟,婵娟,chánjuān,chán~juān,chan2~juan1,RHYME,VISUAL+EVALUATION,Tang,chánjuān,same
孑孑,孑孑,jiéjié,jié~jié,jie2~jie2,REDUPLICATION,VISUAL,Shijing,jiéjié,same
孑孑,孑孑,jiéjié,jié~jié,jie2~jie2,REDUPLICATION,VISUAL,Shijing,jiéjié,same
孑孑,孑孑,jiéjié,jié~jié,jie2~jie2,REDUPLICATION,VISUAL,Shijing,jiéjié,same
孤獨,孤独,gūdú,gū~dú,gu1~du2,ASS,INNER_FEELINGS,Tang,gūdú,same
孤高,孤高,gūgāo,gū~gāo,gu1~gao1,ALLIT,VISUAL+INNER_FEELINGS,Tang,gūgāo,same
寂寂,寂寂,jìjì,jì~jì,ji4~ji4,RED,SOUND,Tang,jìjì,same
寂寂,寂寂,jìjì,jì~jì,ji4~ji4,RED,INNER_FEELINGS,Tang,jìjì,same
寥落,寥落,liáoluò,liáo~luò,liao2~luo4,ALLIT,VISUAL+INNER_FEELINGS,Tang,liáoluò,same
岧嶤,岧嶤,tiáoyáo,tiáo~yáo,tiao2~yao2,RHYME,VISUAL,Tang,tiáoyáo,same
崢嶸,峥嵘,zhēngróng,zhēng~róng,zheng1~rong2,RHYME,VISUAL+EVALUATION,Tang,zhēngróng,same
崢嶸,峥嵘,zhēngróng,zhēng~róng,zheng1~rong2,RHYME,VISUAL,Tang,zhēngróng,same
崩騰,崩腾,bēngténg,bēng~téng,beng1~teng2,RHYME,MOVEMENT,Tang,bēngténg,same
巖巒,岩峦,yánluán,yán~luán,yan2~luan2,RHYME,VISUAL,Tang,yánluán,same
平平,平平,píngpíng,píng~píng,ping2~ping2,REDUPLICATION,EVALUATION,Shijing,píngpíng,same
幽幽,幽幽,yōuyōu,yōu~yōu,you1~you1,REDUPLICATION,VISUAL,Shijing,yōuyōu,same
徘徊,徘徊,páihuái,pái~huái,pai2~huai2,CON,MOVEMENT,Tang,páihuái,same
忡忡,忡忡,chōngchōng,chōng~chōng,chong1~chong1,REDUPLICATION,FEELING,Shijing,chōngchōng,same
忡忡,忡忡,chōngchōng,chōng~chōng,chong1~chong1,REDUPLICATION,FEELING,Shijing,chōngchōng,same
忡忡,忡忡,chōngchōng,chōng~chōng,chong1~chong1,REDUPLICATION,VISUAL,Shijing,chōngchōng,same
忽然,忽然,hūrán,hū~rán,hu1~ran2,RAN,EVALUATION,Tang,hūrán,same
怡悅,怡悦,yíyuè,yí~yuè,yi2~yue4,ALLIT,INNER_FEELINGS,Tang,yíyuè,same
怡然,怡然,yírán,yí~rán,yi2~ran2,RAN,COGNITIVE_STATE,Tang,yírán,same
悄然,悄然,qiǎorán,qiǎo~rán,qiao3~ran2,RAN,INNER_FEELINGS,Tang,qiǎorán,same
悟悅,悟悅,wùyuè,wù~yuè,wu4~yue4,DIFF,INNER_FEELINGS,Tang,wùyuè,same
悠悠,悠悠,yōuyōu,yōu~yōu,you1~you1,RED,TIME,Tang,yōuyōu,same
悠悠,悠悠,yōuyōu,yōu~yōu,you1~you1,RED,TIME+EVALUATION,Tang,yōuyōu,same
悠悠,悠悠,yōuyōu,yōu~yōu,you1~you1,RED,INNER_FEELINGS,Tang,yōuyōu,same
悵望,怅望,chàngwàng,chàng~wàng,chang4~wang4,RHYME,INNER_FEELINGS,Tang,chàngwàng,same
悽悽,凄凄,qīqī,qī~qī,qi1~qi1,RED,INNER_FEELINGS,Tang,qīqī,same
惆悵,惆怅,chóuchàng,chóu~chàng,chou2~chang4,ALLIT,INNER_FEELINGS,Tang,chóuchàng,same
惘然,惘然,wǎngrán,wǎng~rán,wang3~ran2,RAN,INNER_FEELINGS+EVALUATION,Tang,wǎngrán,same
惻惻,恻恻,cècè,cè~cè,ce4~ce4,RED,INNER_FEELINGS,Tang,cècè,same
愴然,怆然,chuàngrán,chuàng~rán,chuang4~ran2,RAN,INNER_FEELINGS,Tang,chuàngrán,same
慇慇,殷殷,yīnyīn,yīn~yīn,yin1~yin1,REDUPLICATION,FEELING,Shijing,yīnyīn,same
慇慇,殷殷,yīnyīn,yīn~yīn,yin1~yin1,REDUPLICATION,FEELING,Shijing,yīnyīn,same
慼慼,戚戚,qīqī,qī~qī,qi1~qi1,RED,INNER_FEELINGS,Tang,qīqī,same
抑抑,抑抑,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
抑抑,抑抑,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
抑抑,抑抑,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
掩抑,掩抑,yǎnyì,yǎn~yì,yan3~yi4,ALLIT,COGNITIVE_STATE,Tang,yǎnyì,same
揚揚,扬扬,yángyáng,yáng~yáng,yang2~yang2,RED,VISUAL+EVALUATION,Tang,yángyáng,same
搖搖,摇摇,yáoyáo,yáo~yáo,yao2~yao2,RED,MOVEMENT,Tang,yáoyáo,same
斤斤,斤斤,jīnjīn,jīn~jīn,jin1~jin1,REDUPLICATION,EVALUATION,Shijing,jīnjīn,same
明明,明明,míngmíng,míng~míng,ming2~ming2,REDUPLICATION,EVALUATION,Shijing,míngmíng,same
明明,明明,míngmíng,míng~míng,ming2~ming2,REDUPLICATION,EVALUATION,Shijing,míngmíng,same
明明,明明,míngmíng,míng~míng,ming2~ming2,REDUPLICATION,EVALUATION,Shijing,míngmíng,same
明明,明明,míngmíng,míng~míng,ming2~ming2,REDUPLICATION,EVALUATION,Shijing,míngmíng,same
明明,明明,míngmíng,míng~míng,ming2~ming2,REDUPLICATION,EVALUATION,Shijing,míngmíng,same
明明,明明,míngmíng,míng~míng,ming2~ming2,REDUPLICATION,VISUAL,Shijing,míngmíng,same
昭昭,昭昭,zhāozhāo,zhāo~zhāo,zhao1~zhao1,REDUPLICATION,VISUAL+EVALUATION,Shijing,zhāozhāo,same
曀曀,曀曀,yìyì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,same
杲杲,杲杲,gǎogǎo,gǎo~gǎo,gao3~gao3,RED,VISUAL,Tang,gǎogǎo,same
杳杳,杳杳,yǎoyǎo,yǎo~yǎo,yao3~yao3,RED,VISUAL,Tang,yǎoyǎo,same
森森,森森,sēnsēn,sēn~sēn,sen1~sen1,RED,VISUAL,Tang,sēnsēn,same
棲棲,栖栖,qīqī,qī~qī,qi1~qi1,RED,MOVEMENT,Tang,qīqī,same
楚楚,楚楚,chǔchǔ,chǔ~chǔ,chu3~chu3,REDUPLICATION,VISUAL,Shijing,chǔchǔ,same
楚楚,楚楚,chǔchǔ,chǔ~chǔ,chu3~chu3,REDUPLICATION,VISUAL,Shijing,chǔchǔ,same
欣欣,欣欣,xīnxīn,xīn~xīn,xin1~xin1,RED,INNER_FEELINGS,Tang,xīnxīn,same
欣欣,欣欣,xīnxīn,xīn~xīn,xin1~xin1,REDUPLICATION,SMELL+EVALUATION,Shijing,xīnxīn,same
歷歷,历历,lìlì,lì~lì,li4~li4,RED,VISUAL,Tang,lìlì,same
殷殷,殷殷,yīnyīn,yīn~yīn,yin1~yin1,REDUPLICATION,FEELING,Shijing,yīnyīn,same
汎汎,泛泛,fànfàn,fàn~fàn,fan4~fan4,RED,MOVEMENT,Tang,fànfàn,same
汎汎,泛泛,fànfàn,fàn~fàn,fan4~fan4,REDUPLICATION,MOVEMENT,Shijing,fànfàn,same
汎汎,泛泛,fànfàn,fàn~fàn,fan4~fan4,REDUPLICATION,MOVEMENT,Shijing,fànfàn,same
汎汎,泛泛,fànfàn,fàn~fàn,fan4~fan4,REDUPLICATION,MOVEMENT,Shijing,fànfàn,same
汎汎,泛泛,fànfàn,fàn~fàn,fan4~fan4,REDUPLICATION,MOVEMENT,Shijing,fànfàn,same
沖沖,冲冲,chōngchōng,chōng~chōng,chong1~chong1,REDUPLICATION,SOUND,Shijing,chōngchōng,same
泠泠,泠泠,línglíng,líng~líng,ling2~ling2,RED,TEMPERATURE,Tang,línglíng,same
洋洋,洋洋,yángyáng,yáng~yáng,yang2~yang2,REDUPLICATION,VISUAL,Shijing,yángyáng,same
洋洋,洋洋,yángyáng,yáng~yáng,yang2~yang2,REDUPLICATION,VISUAL,Shijing,yángyáng,same
洋洋,洋洋,yángyáng,yáng~yáng,yang2~yang2,REDUPLICATION,VISUAL,Shijing,yángyáng,same
洋洋,洋洋,yángyáng,yáng~yáng,yang2~yang2,REDUPLICATION,VISUAL,Shijing,yángyáng,same
活活,活活,huóhuó,huó~huó,huo2~huo2,REDUPLICATION,MOVEMENT,Shijing,huóhuó,same
浩然,浩然,hàorán,hào~rán,hao4~ran2,RAN,EVALUATION,Tang,hàorán,same
淋漓,淋漓,línlí,lín~lí,lin2~li2,ALLIT,WETNESS,Tang,línlí,same
淒涼,凄凉,qīliáng,qī~liáng,qi1~liang2,DIFF,EVALUATION,Tang,qīliáng,same
淒淒,凄凄,qīqī,qī~qī,qi1~qi1,RED,SOUND+EVALUATION,Tang,qīqī,same
淒淒,凄凄,qīqī,qī~qī,qi1~qi1,RED,VISUAL+INNER_FEELINGS,Tang,qīqī,same
淒淒,凄凄,qīqī,qī~qī,qi1~qi1,RED,TEMPERATURE,Tang,qīqī,same
清明,清明,qīngmíng,qīng~míng,qing1~ming2,RHYME,VISUAL,Shijing,qīngmíng,same
渺然,渺然,miǎorán,miǎo~rán,miao3~ran2,RAN,COGNITIVE_STATE,Tang,miǎorán,same
溶溶,溶溶,róngróng,róng~róng,rong2~rong2,RED,MOVEMENT,Tang,róngróng,same
滔滔,滔滔,tāotāo,tāo~tāo,tao1~tao1,REDUPLICATION,MOVEMENT,Shijing,tāotāo,same
滔滔,滔滔,tāotāo,tāo~tāo,tao1~tao1,REDUPLICATION,MOVEMENT,Shijing,tāotāo,same
滔滔,滔滔,tāotāo,tāo~tāo,tao1~tao1,REDUPLICATION,MOVEMENT,Shijing,tāotāo,same
滾滾,滚滚,gǔngǔn,gǔn~gǔn,gun3~gun3,RED,MOVEMENT,Tang,gǔngǔn,same
演漾,演漾,yǎnyàng,yǎn~yàng,yan3~yang4,ALLIT,MOVEMENT,Tang,yǎnyàng,same
漠漠,漠漠,mòmò,mò~mò,mo4~mo4,RED,VISUAL,Tang,mòmò,same
漫漫,漫漫,mànmàn,màn~màn,man4~man4,RED,VISUAL,Tang,mànmàn,same
漫漫,漫漫,mànmàn,màn~màn,man4~man4,RED,TIME,Tang,mànmàn,same
漸漸,渐渐,jiànjiàn,jiàn~jiàn,jian4~jian4,REDUPLICATION,VISUAL,Shijing,jiànjiàn,same
漸漸,渐渐,jiànjiàn,jiàn~jiàn,jian4~jian4,REDUPLICATION,VISUAL,Shijing,jiànjiàn,same
漾漾,漾漾,yàngyàng,yàng~yàng,yang4~yang4,RED,MOVEMENT,Tang,yàngyàng,same
澄澄,澄澄,chéngchéng,chéng~chéng,cheng2~cheng2,RED,VISUAL,Tang,chéngchéng,same
澹澹,澹澹,dàndàn,dàn~dàn,dan4~dan4,RED,MOVEMENT,Tang,dàndàn,same
澹然,澹然,dànrán,dàn~rán,dan4~ran2,RAN,COGNITIVE_STATE,Tang,dànrán,same
澹然,澹然,dànrán,dàn~rán,dan4~ran2,RAN,MOVEMENT,Tang,dànrán,same
激激,激激,jījī,jī~jī,ji1~ji1,RED,SOUND,Tang,jījī,same
濛濛,濛濛,méngméng,méng~méng,meng2~meng2,RED,VISUAL,Tang,méngméng,same
濡染,濡染,rúrǎn,rú~rǎn,ru2~ran3,ALLIT,WETNESS,Tang,rúrǎn,same
濯濯,濯濯,zhuózhuó,zhuó~zhuó,zhuo2~zhuo2,REDUPLICATION,VISUAL,Shijing,zhuózhuó,same
濯濯,濯濯,zhuózhuó,zhuó~zhuó,zhuo2~zhuo2,REDUPLICATION,VISUAL,Shijing,zhuózhuó,same
濯濯,濯濯,zhuózhuó,zhuó~zhuó,zhuo2~zhuo2,REDUPLICATION,VISUAL,Shijing,zhuózhuó,same
瀟瀟,潇潇,xiāoxiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,MOVEMENT+WETNESS,Shijing,xiāoxiāo,same
灼灼,灼灼,zhuózhuó,zhuó~zhuó,zhuo2~zhuo2,REDUPLICATION,VISUAL,Shijing,zhuózhuó,same
炎炎,炎炎,yányán,yán~yán,yan2~yan2,REDUPLICATION,VISUAL,Shijing,yányán,same
煌煌,煌煌,huánghuáng,huáng~huáng,huang2~huang2,REDUPLICATION,VISUAL,Shijing,huánghuáng,same
煌煌,煌煌,huánghuáng,huáng~huáng,huang2~huang2,REDUPLICATION,VISUAL,Shijing,huánghuáng,same
玲瓏,玲珑,línglóng,líng~lóng,ling2~long2,PARARH,VISUAL,Tang,línglóng,same
瑟瑟,瑟瑟,sèsè,sè~sè,se4~se4,RED,TEMPERATURE,Tang,sèsè,same
皇皇,皇皇,huánghuáng,huáng~huáng,huang2~huang2,REDUPLICATION,EVALUATION,Shijing,huánghuáng,same
皇皇,皇皇,huánghuáng,huáng~huáng,huang2~huang2,REDUPLICATION,EVALUATION,Shijing,huánghuáng,same
皇皇,皇皇,huánghuáng,huáng~huáng,huang2~huang2,REDUPLICATION,EVALUATION,Shijing,huánghuáng,same
皇皇,皇皇,huánghuáng,huáng~huáng,huang2~huang2,REDUPLICATION,VISUAL,Shijing,huánghuáng,same
盤盤,盘盘,pánpán,pán~pán,pan2~pan2,RED,VISUAL,Tang,pánpán,same
睠睠,眷眷,juànjuàn,juàn~juàn,juan4~juan4,REDUPLICATION,VISUAL,Shijing,juànjuàn,same
矯矯,矫矫,jiǎojiǎo,jiǎo~jiǎo,jiao3~jiao3,REDUPLICATION,VISUAL+EVALUATION,Shijing,jiǎojiǎo,same
突兀,突兀,tūwù,tū~wù,tu1~wu4,RHYME,VISUAL,Tang,tūwù,same
窈窕,窈窕,yǎotiǎo,yǎo~tiǎo,yao3~tiao3,RHYME,INNER_FEELINGS,Tang,yǎotiǎo,same
窈窕,窈窕,yǎotiǎo,yǎo~tiǎo,yao3~tiao3,RHYME,EVALUATION,Shijing,yǎotiǎo,same
窈窕,窈窕,yǎotiǎo,yǎo~tiǎo,yao3~tiao3,RHYME,EVALUATION,Shijing,yǎotiǎo,same
窈窕,窈窕,yǎotiǎo,yǎo~tiǎo,yao3~tiao3,RHYME,EVALUATION,Shijing,yǎotiǎo,same
窈窕,窈窕,yǎotiǎo,yǎo~tiǎo,yao3~tiao3,RHYME,EVALUATION,Shijing,yǎotiǎo,same
紛紛,纷纷,fēnfēn,fēn~fēn,fen1~fen1,RED,VISUAL,Tang,fēnfēn,same
紛綸,纷纶,fēnlún,fēn~lún,fen1~lun2,RHYME,MOVEMENT,Tang,fēnlún,same
細細,细细,xìxì,xì~xì,xi4~xi4,RED,TIME,Tang,xìxì,same
綢繆,绸缪,chóumóu,chóu~móu,chou2~mou2,RHYME,MOVEMENT+VISUAL,Shijing,chóumóu,same
綢繆,绸缪,chóumóu,chóu~móu,chou2~mou2,RHYME,MOVEMENT+VISUAL,Shijing,chóumóu,same
綢繆,绸缪,chóumóu,chóu~móu,chou2~mou2,RHYME,MOVEMENT+VISUAL,Shijing,chóumóu,same
綢繆,绸缪,chóumóu,chóu~móu,chou2~mou2,RHYME,MOVEMENT+VISUAL,Shijing,chóumóu,same
綿綿,绵绵,miánmián,mián~mián,mian2~mian2,RED,VISUAL,Tang,miánmián,same
繾綣,缱绻,qiǎnquǎn,qiǎn~quǎn,qian3~quan3,RHYME,EVALUATION,Shijing,qiǎnquǎn,same
習習,习习,xíxí,xí~xí,xi2~xi2,REDUPLICATION,MOVEMENT,Shijing,xíxí,same
習習,习习,xíxí,xí~xí,xi2~xi2,REDUPLICATION,MOVEMENT,Shijing,xíxí,same
習習,习习,xíxí,xí~xí,xi2~xi2,REDUPLICATION,MOVEMENT,Shijing,xíxí,same
習習,习习,xíxí,xí~xí,xi2~xi2,REDUPLICATION,MOVEMENT,Shijing,xíxí,same
翩翩,翩翩,piānpiān,piān~piān,pian1~pian1,REDUPLICATION,MOVEMENT,Shijing,piānpiān,same
翩翩,翩翩,piānpiān,piān~piān,pian1~pian1,REDUPLICATION,MOVEMENT,Shijing,piānpiān,same
翩翩,翩翩,piānpiān,piān~piān,pian1~pian1,REDUPLICATION,MOVEMENT,Shijing,piānpiān,same
翩翩,翩翩,piānpiān,piān~piān,pian1~pian1,REDUPLICATION,MOVEMENT,Shijing,piānpiān,same
翱翔,翱翔,áoxiáng,áo~xiáng,ao2~xiang2,DIFFERENT,VISUAL,Shijing,áoxiáng,same
翱翔,翱翔,áoxiáng,áo~xiáng,ao2~xiang2,DIFFERENT,VISUAL,Shijing,áoxiáng,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,EVALUATION,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yìyì,same
翼翼,翼翼,yìyì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yìyì,same
耿耿,耿耿,gěnggěng,gěng~gěng,geng3~geng3,RED,VISUAL,Tang,gěnggěng,same
耿耿,耿耿,gěnggěng,gěng~gěng,geng3~geng3,REDUPLICATION,FEELING,Shijing,gěnggěng,same
芬芳,芬芳,fēnfāng,fēn~fāng,fen1~fang1,ALLIT,VISUAL+EVALUATION,Tang,fēnfāng,same
苒苒,苒苒,rǎnrǎn,rǎn~rǎn,ran3~ran3,RED,TIME,Tang,rǎnrǎn,same
茫然,茫然,mángrán,máng~rán,mang2~ran2,RAN,VISUAL+INNER_FEELINGS,Tang,mángrán,same
茫然,茫然,mángrán,máng~rán,mang2~ran2,RAN,COGNITIVE_STATE,Tang,mángrán,same
茫然,茫然,mángrán,máng~rán,mang2~ran2,RAN,VISUAL,Tang,mángrán,same
茫茫,茫茫,mángmáng,máng~máng,mang2~mang2,RED,VISUAL,Tang,mángmáng,same
草草,草草,cǎocǎo,cǎo~cǎo,cao3~cao3,REDUPLICATION,FEELING,Shijing,cǎocǎo,same
莽莽,莽莽,mǎngmǎng,mǎng~mǎng,mang3~mang3,RED,VISUAL,Tang,mǎngmǎng,same
菁菁,菁菁,jīngjīng,jīng~jīng,jing1~jing1,REDUPLICATION,VISUAL,Shijing,jīngjīng,same
菁菁,菁菁,jīngjīng,jīng~jīng,jing1~jing1,REDUPLICATION,VISUAL,Shijing,jīngjīng,same
萋萋,x,qīqī,qī~qī,qi1~qi1,RED,VISUAL,Tang,qīqī,same
萋萋,萋萋,qīqī,qī~qī,qi1~qi1,RED,COGNITIVE_STATE,Tang,qīqī,same
萋萋,萋萋,qīqī,qī~qī,qi1~qi1,RED,VISUAL,Tang,qīqī,same
落落,落落,luòluò,luò~luò,luo4~luo4,RED,VISUAL,Tang,luòluò,same
蒼茫,苍茫,cāngmáng,cāng~máng,cang1~mang2,RHYME,VISUAL,Tang,cāngmáng,same
