traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
緜緜,绵绵,miánmián,mián~mián,mian2~mian2,REDUPLICATION,VISUAL,Shijing,miánmián~/~mián~mián,different
緝緝,缉缉,jī jī,jī~jī,ji1~ji1,REDUPLICATION,SOUND,Shijing,jījī,different
縹緲,缥缈,piāomiǎo,piǎo~miǎo,piao3~miao3,RHYME,VISUAL,Tang,piǎomiǎo,different
繩繩,绳绳,shéng shéng,shéng~shéng,sheng2~sheng2,REDUPLICATION,VISUAL,Shijing,shéngshéng,different
繩繩,绳绳,shéng shéng,shéng~shéng,sheng2~sheng2,REDUPLICATION,VISUAL,Shijing,shéngshéng,different
繹繹,绎绎,yì yì,yì~yì,yi4~yi4,REDUPLICATION,MOVEMENT,Shijing,yìyì,different
罩罩,罩罩,zhào zhào,zhào~zhào,zhao4~zhao4,REDUPLICATION,VISUAL,Shijing,zhàozhào,different
翛翛,翛翛,xiāo xiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,VISUAL,Shijing,xiāoxiāo,different
翠微,翠微,cuìwēi,cùi~wēi,cui4~wei1,CON,VISUAL,Tang,cùiwēi,different
翡翠,翡翠,fěicuì,fěi~cùi,fei3~cui4,CON,VISUAL,Tang,fěicùi,different
翯翯,翯翯,hè hè,hè~hè,he4~he4,REDUPLICATION,VISUAL,Shijing,hèhè,different
翹翹,翘翘,qiào qiào,qiáo~qiáo,qiao2~qiao2,REDUPLICATION,VISUAL,Shijing,qiáoqiáo,different
翹翹,翘翘,qiào qiào,qiáo~qiáo,qiao2~qiao2,REDUPLICATION,VISUAL,Shijing,qiáoqiáo,different
翹翹,翘翘,qiào qiào,qiáo~qiáo,qiao2~qiao2,REDUPLICATION,VISUAL,Shijing,qiáoqiáo,different
翽翽,翙翙,huì huì,hùi~hùi,hui4~hui4,REDUPLICATION,SOUND+MOVEMENT,Shijing,hùihùi,different
翽翽,翙翙,huì huì,hùi~hùi,hui4~hui4,REDUPLICATION,SOUND+MOVEMENT,Shijing,hùihùi,different
耳耳,耳耳,ěr ěr,ěr~ěr,er3~er3,REDUPLICATION,VISUAL,Shijing,ěrěr,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,MOVEMENT,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,MOVEMENT,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,SOUND,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,SOUND,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,SOUND,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,SOUND,Shijing,sùsù,different
肅肅,肃肃,sù sù,sù~sù,su4~su4,REDUPLICATION,VISUAL+EVALUATION,Shijing,sùsù,different
肺肺,肺肺,fèi fèi,pèi~pèi,pei4~pei4,REDUPLICATION,VISUAL,Shijing,fèifèi~ ~p~è~i~ ~p~è~i,different
脫脫,脱脱,tuō tuō,tuō~tuō,tuo1~tuo1,REDUPLICATION,MOVEMENT,Shijing,tuōtuō,different
膠膠,胶胶,jiāo jiāo,jiāo~jiāo,jiao1~jiao1,REDUPLICATION,SOUND,Shijing,jiāojiāo,different
膴膴,膴膴,hū hū,hū~hū,hu1~hu1,REDUPLICATION,VISUAL,Shijing,hūhū,different
芃芃,芃芃,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
芃芃,芃芃,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
芃芃,芃芃,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
芃芃,芃芃,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
芒芒,芒芒,máng máng,máng~máng,mang2~mang2,REDUPLICATION,VISUAL,Shijing,mángmáng,different
芒芒,芒芒,máng máng,máng~máng,mang2~mang2,REDUPLICATION,VISUAL+EVALUATION,Shijing,mángmáng,different
芬芬,芬芬,fēn fēn,fēn~fēn,fen1~fen1,REDUPLICATION,SMELL,Shijing,fēnfēn,different
芬芬,芬芬,fēn fēn,fēn~fēn,fen1~fen1,REDUPLICATION,SMELL,Shijing,fēnfēn,different
英英,英英,yīng yīng,yīng~yīng,ying1~ying1,REDUPLICATION,VISUAL,Shijing,yīngyīng,different
苾苾,苾苾,bì bì,bì~bì,bi4~bi4,REDUPLICATION,SMELL,Shijing,bìbì,different
茀茀,茀茀,fú fú,fú~fú,fu2~fu2,REDUPLICATION,VISUAL,Shijing,fúfú,different
茷茷,茷茷,fá fá,fá~fá,fa2~fa2,REDUPLICATION,MOVEMENT+VISUAL,Shijing,fáfá,different
莫莫,莫莫,mò mò,mò~mò,mo4~mo4,REDUPLICATION,EVALUATION,Shijing,mòmò,different
莫莫,莫莫,mò mò,mò~mò,mo4~mo4,REDUPLICATION,VISUAL,Shijing,mòmò,different
莫莫,莫莫,mò mò,mò~mò,mo4~mo4,REDUPLICATION,VISUAL,Shijing,mòmò,different
菁菁,菁菁,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,VISUAL,Shijing,jīngjīng,different
菁菁,菁菁,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,VISUAL,Shijing,jīngjīng,different
菶菶,菶菶,běng běng,běng~běng,beng3~beng3,REDUPLICATION,VISUAL,Shijing,běngběng,different
萋萋,萋萋,qī qī,qī~qī,qi1~qi1,REDUPLICATION,VISUAL,Shijing,qīqī,different
萋萋,萋萋,qī qī,qī~qī,qi1~qi1,REDUPLICATION,VISUAL,Shijing,qīqī,different
萋萋,萋萋,qī qī,qī~qī,qi1~qi1,REDUPLICATION,VISUAL,Shijing,qīqī,different
萋萋,萋萋,qī qī,qī~qī,qi1~qi1,REDUPLICATION,VISUAL,Shijing,qīqī,different
萋萋,萋萋,qī qī,qī~qī,qi1~qi1,REDUPLICATION,VISUAL,Shijing,qīqī,different
萋萋,萋萋,qī qī,qī~qī,qi1~qi1,REDUPLICATION,VISUAL,Shijing,qīqī,different
蓁蓁,蓁蓁,zhēn zhēn,zhēn~zhēn,zhen1~zhen1,REDUPLICATION,VISUAL,Shijing,zhēnzhēn,different
蓬蓬,蓬蓬,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
蓼蓼,蓼蓼,liǎo liǎo,liǎo~liǎo,liao3~liao3,REDUPLICATION,VISUAL,Shijing,liǎoliǎo,different
蓼蓼,蓼蓼,liǎo liǎo,liǎo~liǎo,liao3~liao3,REDUPLICATION,VISUAL,Shijing,liǎoliǎo,different
蔌蔌,蔌蔌,sù sù,sù~sù,su4~su4,REDUPLICATION,EVALUATION,Shijing,sùsù,different
蕩蕩,荡荡,dàng dàng,dàng~dàng,dang4~dang4,REDUPLICATION,EVALUATION,Shijing,dàngdàng,different
蕭蕭,萧萧,xiāo xiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,SOUND,Shijing,xiāoxiāo,different
薄薄,薄薄,báo báo,bó~bó,bo2~bo2,REDUPLICATION,SOUND,Shijing,bóbó,different
薨薨,薨薨,hōng hōng,hōng~hōng,hong1~hong1,REDUPLICATION,SOUND,Shijing,hōnghōng,different
薨薨,薨薨,hōng hōng,hōng~hōng,hong1~hong1,REDUPLICATION,SOUND,Shijing,hōnghōng,different
薨薨,薨薨,hōng hōng,hōng~hōng,hong1~hong1,REDUPLICATION,SOUND,Shijing,hōnghōng,different
薿薿,薿薿,nǐ nǐ,nǐ~nǐ,ni3~ni3,REDUPLICATION,VISUAL,Shijing,nǐnǐ,different
藐藐,藐藐,miǎo miǎo,miǎo~miǎo,miao3~miao3,REDUPLICATION,EVALUATION,Shijing,miǎomiǎo,different
藐藐,藐藐,miǎo miǎo,miǎo~miǎo,miao3~miao3,REDUPLICATION,EVALUATION,Shijing,miǎomiǎo,different
藐藐,藐藐,miǎo miǎo,miǎo~miǎo,miao3~miao3,REDUPLICATION,VISUAL+EVALUATION,Shijing,miǎomiǎo,different
藹藹,蔼蔼,ǎi'ǎi,ǎi~ǎi,ai3~ai3,REDUPLICATION,VISUAL,Shijing,ǎiǎi,different
藹藹,蔼蔼,ǎi'ǎi,ǎi~ǎi,ai3~ai3,REDUPLICATION,VISUAL,Shijing,ǎiǎi,different
虺虺,虺虺,huī huī,hǔi~hǔi,hui3~hui3,REDUPLICATION,SOUND,Shijing,hǔihǔi,different
蚩蚩,蚩蚩,chī chī,chī~chī,chi1~chi1,REDUPLICATION,VISUAL+EVALUATION,Shijing,chīchī,different
蛇蛇,蛇蛇,yí yí,yí~yí,yi2~yi2,REDUPLICATION,SOUND+EVALUATION,Shijing,shéshé,different
蜎蜎,蜎蜎,yuān yuān,yuān~yuān,yuan1~yuan1,REDUPLICATION,MOVEMENT,Shijing,yuānyuān,different
蟄蟄,蛰蛰,zhé zhé,zhé~zhé,zhe2~zhe2,REDUPLICATION,VISUAL,Shijing,zhézhé,different
蟲蟲,虫虫,chóng chóng,chóng~chóng,chong2~chong2,REDUPLICATION,TEMPERATURE+EVALUATION,Shijing,chóngchóng,different
裳裳,裳裳,cháng cháng,cháng~cháng,chang2~chang2,REDUPLICATION,VISUAL,Shijing,chángcháng,different
裳裳,裳裳,cháng cháng,cháng~cháng,chang2~chang2,REDUPLICATION,VISUAL,Shijing,chángcháng,different
裳裳,裳裳,cháng cháng,cháng~cháng,chang2~chang2,REDUPLICATION,VISUAL,Shijing,chángcháng,different
觱沸,觱沸,bì fèi,bì~fèi,bi4~fei4,PARARHYME,MOVEMENT+VISUAL,Shijing,bìfèi,different
觱沸,觱沸,bì fèi,bì~fèi,bi4~fei4,PARARHYME,MOVEMENT+VISUAL,Shijing,bìfèi,different
觱發,觱发,bì fā,bì~fā,bi4~fa1,PARARHYME,TEMPERATURE,Shijing,bìfā,different
言言,言言,yán yán,yán~yán,yan2~yan2,REDUPLICATION,SOUND,Shijing,yányán,different
言言,言言,yán yán,yán~yán,yan2~yan2,REDUPLICATION,VISUAL,Shijing,yányán,different
訏訏,訏訏,xū xū,xū~xū,xu1~xu1,REDUPLICATION,VISUAL,Shijing,xūxū,different
許許,许许,hǔ hǔ ,xǔ~xǔ,xu3~xu3,REDUPLICATION,SOUND,Shijing,xǔxǔ,different
訿訿,訿訿,zī zī,zī~zī,zi1~zi1,REDUPLICATION,EVALUATION,Shijing,zǐzǐ~/~zǐ~zǐ,different
訾訾,訾訾,zī zī,zī~zī,zi1~zi1,REDUPLICATION,EVALUATION,Shijing,zǐzǐ~/~zǐ~zǐ,different
詵詵,诜诜,shēn shēn,shēn~shēn,shen1~shen1,REDUPLICATION,VISUAL,Shijing,shēnshēn,different
語語,语语,yǔ yǔ,yǔ~yǔ,yu3~yu3,REDUPLICATION,SOUND,Shijing,yǔyǔ,different
謔謔,谑谑,nüè nüè,nüè~nüè,nüe4~nüe4,REDUPLICATION,EVALUATION,Shijing,nvènvè,different
譙譙,谯谯,qiáo qiáo,qiáo~qiáo,qiao2~qiao2,REDUPLICATION,VISUAL,Shijing,qiáoqiáo,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
豈弟,岂弟,kǎi tì,kǎi~tì,kai3~ti4,RHYME,EVALUATION,Shijing,qǐdì,different
