pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
niao3~niao3,裊裊,袅袅,RED,BB,niao3~niao3,袅,袅,,,"2,2123","2,2123",,,0,0,,,BB
fei1~fei1,裶裶,裶裶,RED,BB,fei1~fei1,裶,裶,,,,,,,,,,,BB
niao3~niao3,褭褭,褭褭,RED,BB,niao3~niao3,褭,褭,,,,,,,,,,,BB
gu3~gu3,角角,角角,RED,BB,gu3~gu3,角,角,,,"263,2444","263,2444",,,83,83,,,BB
xu1~xu1,訏訏,訏訏,RED,BB,xu1~xu1,訏,訏,,,,,,,,,,,BB
yi2~yi2,訑訑,訑訑,RED,BB,yi2~yi2,訑,訑,,,,,,,,,,,BB
xin1~xin1,訢訢,訢訢,RED,BB,xin1~xin1,訢,訢,,,,,,,,,,,BB
xiong1~xiong1,訩訩,訩訩,RED,BB,xiong1~xiong1,訩,訩,,,,,,,,,,,BB
zhun1~zhun1,訰訰,訰訰,RED,BB,zhun1~zhun1,訰,訰,,,,,,,,,,,BB
zhan1~zhan1,詹詹,詹詹,RED,BB,zhan1~zhan1,詹,詹,,,"17,0123","17,0123",,,0,0,,,BB
xiong1~xiong1,詾詾,詾詾,RED,BB,xiong1~xiong1,詾,詾,,,,,,,,,,,BB
keng1~keng1,誙誙,誙誙,RED,BB,keng1~keng1,誙,誙,,,,,,,,,,,BB
yin2~yin2,誾誾,誾誾,RED,BB,yin2~yin2,誾,誾,,,,,,,,,,,BB
jian4~jian4,諓諓,諓諓,RED,BB,jian4~jian4,諓,諓,,,,,,,,,,,BB
nao2~nao2,譊譊,譊譊,RED,BB,nao2~nao2,譊,譊,,,,,,,,,,,BB
shen1~shen1,詵詵,诜诜,RED,BB,shen1~shen1,诜,诜,,,,,,,,,,,BB
xu3~xu3,詡詡,诩诩,RED,BB,xu3~xu3,诩,诩,,,"0,7309","0,7309",,,1,1,,,BB
e4~e4,諤諤,谔谔,RED,BB,e4~e4,谔,谔,,,,,,,,,,,BB
su4~su4,謖謖,谡谡,RED,BB,su4~su4,谡,谡,,,,,,,,,,,BB
qian1~qian1,謙謙,谦谦,RED,BB,qian1~qian1,谦,谦,,,"28,3407","28,3407",,,9,9,,,BB
qiao2~qiao2,譙譙,谯谯,RED,BB,qiao2~qiao2,谯,谯,,,,,,,,,,,BB
hong2~hong2,谹谹,谹谹,RED,BB,hong2~hong2,谹,谹,,,,,,,,,,,BB
ti4~ti4,趯趯,趯趯,RED,BB,ti4~ti4,趯,趯,,,,,,,,,,,BB
yue4~yue4,躍躍,跃跃,RED,BB,yue4~yue4,跃,跃,,,"39,9654","39,9654",,,18,18,,,BB
qiang1~qiang1,蹌蹌,跄跄,RED,BB,qiang1~qiang1,跄,跄,,,"0,3259","0,3259",,,2,2,,,BB
die2~die2,跕跕,跕跕,RED,BB,die2~die2,跕,跕,,,,,,,,,,,BB
xian1~xian1,躚躚,跹跹,RED,BB,xian1~xian1,跹,跹,,,,,,,,,,,BB
ji2~ji2,踖踖,踖踖,RED,BB,ji2~ji2,踖,踖,,,,,,,,,,,BB
cu4~cu4,踧踧,踧踧,RED,BB,cu4~cu4,踧,踧,,,,,,,,,,,BB
ju3~ju3,踽踽,踽踽,RED,BB,ju3~ju3,踽,踽,,,,,,,,,,,BB
die2~die2,蹀蹀,蹀蹀,RED,BB,die2~die2,蹀,蹀,,,,,,,,,,,BB
qiang1~qiang1,蹡蹡,蹡蹡,RED,BB,qiang1~qiang1,蹡,蹡,,,,,,,,,,,BB
qiao1~qiao1,蹻蹻,蹻蹻,RED,BB,qiao1~qiao1,蹻,蹻,,,,,,,,,,,BB
qu2~qu2,躣躣,躣躣,RED,BB,qu2~qu2,躣,躣,,,,,,,,,,,BB
hong1~hong1,輷輷,輷輷,RED,BB,hong1~hong1,輷,輷,,,,,,,,,,,BB
lei2~lei2,轠轠,轠轠,RED,BB,lei2~lei2,轠,轠,,,,,,,,,,,BB
ya4~ya4,軋軋,轧轧,RED,BB,ya4~ya4,轧,轧,,,"1,3383","1,3383",,,1,1,,,BB
xuan1~xuan1,軒軒,轩轩,RED,BB,xuan1~xuan1,轩,轩,,,"20,8198","20,8198",,,2,2,,,BB
hong1~hong1,轟轟,轰轰,RED,BB,hong1~hong1,轰,轰,,,"22,1531","22,1531",,,14,14,,,BB
ji2~ji2,輯輯,辑辑,RED,BB,ji2~ji2,辑,辑,,,"51,8321","51,8321",,,10,10,,,BB
lin2~lin2,轔轔,辚辚,RED,BB,lin2~lin2,辚,辚,,,,,,,,,,,BB
mai4~mai4,邁邁,迈迈,RED,BB,mai4~mai4,迈,迈,,,39679,39679,,,12,12,,,BB
lian2~lian2,連連,连连,RED,BB,lian2~lian2,连,连,,,472637,472637,,,81,81,,,BB
tiao2~tiao2,迢迢,迢迢,RED,BB,tiao2~tiao2,迢,迢,,,"1,7383","1,7383",,,1,1,,,BB
pang2~pang2,逄逄,逄逄,RED,BB,pang2~pang2,逄,逄,,,,,,,,,,,BB
ti4~ti4,逖逖,逖逖,RED,BB,ti4~ti4,逖,逖,,,,,,,,,,,BB
su4~su4,速速,速速,RED,BB,su4~su4,速,速,,,"818,8049","818,8049",,,60,60,,,BB
peng2~peng2,逢逢,逢逢,RED,BB,peng2~peng2,逢,逢,,,"32,3358","32,3358",,,14,14,,,BB
di4~di4,逮逮,逮逮,RED,BB,di4~di4,逮,逮,,,19842,19842,,,2,2,,,BB
lu4~lu4,逯逯,逯逯,RED,BB,lu4~lu4,逯,逯,,,,,,,,,,,BB
chuo1~chuo1,逴逴,逴逴,RED,BB,chuo1~chuo1,逴,逴,,,,,,,,,,,BB
yao2~yao2,遙遙,遥遥,RED,BB,yao2~yao2,遥,遥,,,"45,7728","45,7728",,,13,13,,,BB
bing3~bing3,邴邴,邴邴,RED,BB,bing3~bing3,邴,邴,,,,,,,,,,,BB
yu4~yu4,郁郁,郁郁,RED,BB,yu4~yu4,郁,郁,,,"90,9728","90,9728",,,13,13,,,BB
tan2~tan2,醰醰,醰醰,RED,BB,tan2~tan2,醰,醰,,,,,,,,,,,BB
yi4~yi4,醳醳,醳醳,RED,BB,yi4~yi4,醳,醳,,,,,,,,,,,BB
yang1~yang1,鉠鉠,鉠鉠,RED,BB,yang1~yang1,鉠,鉠,,,,,,,,,,,BB
huang2~huang2,鍠鍠,鍠鍠,RED,BB,huang2~huang2,鍠,鍠,,,,,,,,,,,BB
qiang1~qiang1,鎗鎗,鎗鎗,RED,BB,qiang1~qiang1,鎗,鎗,,,,,,,,,,,BB
qin1~qin1,欽欽,钦钦,RED,BB,qin1~qin1,钦,钦,,,"3,8074","3,8074",,,2,2,,,BB
ling2~ling2,鈴鈴,铃铃,RED,BB,ling2~ling2,铃,铃,,,"26,4198","26,4198",,,16,16,,,BB
dang1~dang1,鐺鐺,铛铛,RED,BB,dang1~dang1,铛,铛,,,"2,8395","2,8395",,,2,2,,,BB
zheng1~zheng1,錚錚,铮铮,RED,BB,zheng1~zheng1,铮,铮,,,"1,4074","1,4074",,,1,1,,,BB
keng1~keng1,鏗鏗,铿铿,RED,BB,keng1~keng1,铿,铿,,,"0,8988","0,8988",,,2,2,,,BB
qiang1~qiang1,鏘鏘,锵锵,RED,BB,qiang1~qiang1,锵,锵,,,"1,6444","1,6444",,,2,2,,,BB
zu2~zu2,鏃鏃,镞镞,RED,BB,zu2~zu2,镞,镞,,,,,,,,,,,BB
biao1~biao1,鑣鑣,镳镳,RED,BB,biao1~biao1,镳,镳,,,"0,9432","0,9432",,,1,1,,,BB
xian2~xian2,閒閒,閒閒,RED,BB,xian2~xian2,閒,閒,,,,,,,,,,,BB
ge2~ge2,閤閤,閤閤,RED,BB,ge2~ge2,閤,閤,,,,,,,,,,,BB
min3~min3,閔閔,闵闵,RED,BB,min3~min3,闵,闵,,,"2,3901","2,3901",,,0,0,,,BB
men4~men4,悶悶,闷闷,RED,BB,men4~men4,闷,闷,,,"109,2988","109,2988",,,15,15,,,BB
lang2~lang2,閬閬,阆阆,RED,BB,lang2~lang2,阆,阆,,,,,,,,,,,BB
tian2~tian2,闐闐,阗阗,RED,BB,tian2~tian2,阗,阗,,,,,,,,,,,BB
zhen4~zhen4,陣陣,阵阵,RED,BB,zhen4~zhen4,阵,阵,,,"91,9605","91,9605",,,40,40,,,BB
tao2~tao2,陶陶,陶陶,RED,BB,tao2~tao2,陶,陶,,,"17,0519","17,0519",,,10,10,,,BB
reng2~reng2,陾陾,陾陾,RED,BB,reng2~reng2,陾,陾,,,,,,,,,,,BB
yong1~yong1,雝雝,雝雝,RED,BB,yong1~yong1,雝,雝,,,,,,,,,,,BB
fen1~fen1,雰雰,雰雰,RED,BB,fen1~fen1,雰,雰,,,,,,,,,,,BB
huo4~huo4,霍霍,霍霍,RED,BB,huo4~huo4,霍,霍,,,"39,7333","39,7333",,,3,3,,,BB
sha4~sha4,霎霎,霎霎,RED,BB,sha4~sha4,霎,霎,,,"1,5111","1,5111",,,4,4,,,BB
fei1~fei2,霏霏,霏霏,RED,BB,fei1~fei2,霏,霏,,,,,,,,,,,BB
ai3~ai3,靄靄,霭霭,RED,BB,ai3~ai3,霭,霭,,,"0,5481","0,5481",,,1,1,,,BB
yang1~yang1,鞅鞅,鞅鞅,RED,BB,yang1~yang1,鞅,鞅,,,,,,,,,,,BB
wei3~wei3,韡韡,韡韡,RED,BB,wei3~wei3,韡,韡,,,,,,,,,,,BB
yong2~yong2,顒顒,顒顒,RED,BB,yong2~yong2,顒,顒,,,,,,,,,,,BB
xu1~xu1,頊頊,顼顼,RED,BB,xu1~xu1,顼,顼,,,,,,,,,,,BB
dian1~dian1,顛顛,颠颠,RED,BB,dian1~dian1,颠,颠,,,"26,6074","26,6074",,,9,9,,,BB
lie4~lie4,颲颲,颲颲,RED,BB,lie4~lie4,颲,颲,,,,,,,,,,,BB
fan1~fan1,颿颿,颿颿,RED,BB,fan1~fan1,颿,颿,,,,,,,,,,,BB
liu2~liu2,飀飀,飀飀,RED,BB,liu2~liu2,飀,飀,,,,,,,,,,,BB
liao2~liao2,飂飂,飂飂,RED,BB,liao2~liao2,飂,飂,,,,,,,,,,,BB
liao2~liao2,飉飉,飉飉,RED,BB,liao2~liao2,飉,飉,,,,,,,,,,,BB
sa4~sa4,颯颯,飒飒,RED,BB,sa4~sa4,飒,飒,,,"0,6963","0,6963",,,2,2,,,BB
sou1~sou1,颼颼,飕飕,RED,BB,sou1~sou1,飕,飕,,,"1,0074","1,0074",,,2,2,,,BB
piao1~piao1,飄飄,飘飘,RED,BB,piao1~piao1,飘,飘,,,"63,8173","63,8173",,,26,26,,,BB
bo2~bo2,馞馞,馞馞,RED,BB,bo2~bo2,馞,馞,,,,,,,,,,,BB
jiong1~jiong1,駉駉,駉駉,RED,BB,jiong1~jiong1,駉,駉,,,,,,,,,,,BB
pi1~pi1,駓駓,駓駓,RED,BB,pi1~pi1,駓,駓,,,,,,,,,,,BB
qin1~qin1,駸駸,駸駸,RED,BB,qin1~qin1,駸,駸,,,,,,,,,,,BB
fei1~fei1,騑騑,騑騑,RED,BB,fei1~fei1,騑,騑,,,,,,,,,,,BB
kui2~kui2,騤騤,騤騤,RED,BB,kui2~kui2,騤,騤,,,,,,,,,,,BB
yu4~yu4,鬱鬱,鬱鬱,RED,BB,yu4~yu4,鬱,鬱,,,,,,,,,,,BB
yi4~yi4,鶂鶂,鶂鶂,RED,BB,yi4~yi4,鶂,鶂,,,,,,,,,,,BB
cang1~cang1,鶬鶬,鶬鶬,RED,BB,cang1~cang1,鶬,鶬,,,,,,,,,,,BB
yu3~yu3,麌麌,麌麌,RED,BB,yu3~yu3,麌,麌,,,,,,,,,,,BB
mo4~mo4,默默,默默,RED,BB,mo4~mo4,默,默,,,"134,6667","134,6667",,,19,19,,,BB
you3~you3,黝黝,黝黝,RED,BB,you3~you3,黝,黝,,,"0,3951","0,3951",,,2,2,,,BB
tan3~tan3,黮黮,黮黮,RED,BB,tan3~tan3,黮,黮,,,,,,,,,,,BB
yin2~yin2,齗齗,齗齗,RED,BB,yin2~yin2,齗,齗,,,,,,,,,,,BB
yin2~yin2,齦齦,龈龈,RED,BB,yin2~yin2,龈,龈,,,"3,0025","3,0025",,,3,3,,,BB
zheng1~zheng1,丁丁,丁丁,RED,BB,zheng1~zheng1,丁,丁,,,"65,2543","65,2543",,,34,34,,,BB
ding1~ding1,丁丁,丁丁,RED,BB,ding1~ding1,丁,丁,,,"65,2543","65,2543",,,34,34,,,BB
pu1~pu1,丕丕,丕丕,RED,BB,pu1~pu1,丕,丕,,,,,,,,,,,BB
ye4~ye4,業業,业业,RED,BB,ye4~ye4,业,业,,,"474,0938","474,0938",,,148,148,,,BB
si1~si1,絲絲,丝丝,RED,BB,si1~si1,丝,丝,,,"202,4988","202,4988",,,51,51,,,BB
wan2~wan2,丸丸,丸丸,RED,BB,wan2~wan2,丸,丸,,,"31,4568","31,4568",,,10,10,,,BB
pang1~pang1,乓乓,乓乓,RED,BB,pang1~pang1,乓,乓,,,"3,9506","3,9506",,,5,5,,,BB
xi2~xi2,習習,习习,RED,BB,xi2~xi2,习,习,,,"288,8148","288,8148",,,42,42,,,BB
jiao1~jiao1,交交,交交,RED,BB,jiao1~jiao1,交,交,,,"405,7926","405,7926",,,145,145,,,BB
jing1~jing1,京京,京京,RED,BB,jing1~jing1,京,京,,,"230,6469","230,6469",,,10,10,,,BB
men2~men2,亹亹,亹亹,RED,BB,men2~men2,亹,亹,,,,,,,,,,,BB
chou2~chou2,仇仇,仇仇,RED,BB,chou2~chou2,仇,仇,,,"29,8963","29,8963",,,20,20,,,BB
cang1~cang1,倉倉,仓仓,RED,BB,cang1~cang1,仓,仓,,,"30,6765","30,6765",,,17,17,,,BB
xian1~xian1,僊僊,仙仙,RED,BB,xian1~xian1,仙,仙,,,"77,2198","77,2198",,,28,28,,,BB
yi4~yi4,仡仡,仡仡,,BB,yi4~yi4,仡,仡,,,,,,,,,,,BB
ling4~ling4,令令,令令,,BB,ling4~ling4,令,令,,,"154,9333","154,9333",,,54,54,,,BB
ji4~ji4,伎伎,伎伎,,BB,ji4~ji4,伎,伎,,,2158,2158,,,4,4,,,BB
xiu1~xiu1,休休,休休,,BB,xiu1~xiu1,休,休,,,"215,9012","215,9012",,,42,42,,,BB
you1~you1,優優,优优,,BB,you1~you1,优,优,,,"172,9531","172,9531",,,34,34,,,BB
pi1~pi1,伾伾,伾伾,,BB,pi1~pi1,伾,伾,,,,,,,,,,,BB
ci3~ci3,佌佌,佌佌,,BB,ci3~ci3,佌,佌,,,,,,,,,,,BB
tuo2~tuo2,佗佗,佗佗,,BB,tuo2~tuo2,佗,佗,,,"0,3704","0,3704",,,0,0,,,BB
tiao1~tiao1,佻佻,佻佻,,BB,tiao1~tiao1,佻,佻,,,"0,3062","0,3062",,,1,1,,,BB
yi1~yi1,依依,依依,,BB,yi1~yi1,依,依,,,"200,6617","200,6617",,,29,29,,,BB
qiu2~qiu2,俅俅,俅俅,,BB,qiu2~qiu2,俅,俅,,,,,,,,,,,BB
si4~si4,俟俟,俟俟,,BB,si4~si4,俟,俟,,,,,,,,,,,BB
yu3~yu3,俁俁,俣俣,,BB,yu3~yu3,俣,俣,,,"0,0395","0,0395",,,1,1,,,BB
xie2~xie2,偕偕,偕偕,,BB,xie2~xie2,偕,偕,,,"4,6914","4,6914",,,1,1,,,BB
bang4~bang4,傍傍,傍傍,,BB,bang4~bang4,傍,傍,,,"7,0519","7,0519",,,3,3,,,BB
suo1~suo1,傞傞,傞傞,,BB,suo1~suo1,傞,傞,,,,,,,,,,,BB
qi1~qi1,僛僛,僛僛,,BB,qi1~qi1,僛,僛,,,,,,,,,,,BB
biao1~biao1,儦儦,儦儦,,BB,biao1~biao1,儦,儦,,,,,,,,,,,BB
jing1~jing1,兢兢,兢兢,,BB,jing1~jing1,兢,兢,,,1679,1679,,,2,2,,,BB
guan1~guan1,關關,关关,,BB,guan1~guan1,关,关,,,976716,976716,,,90,90,,,BB
yang3~yang3,養養,养养,,BB,yang3~yang3,养,养,,,"234,5778","234,5778",,,85,85,,,BB
ming2~ming2,冥冥,冥冥,,BB,ming2~ming2,冥,冥,,,"9,6346","9,6346",,,5,5,,,BB
dong1~dong1,冬冬,冬冬,,BB,dong1~dong1,冬,冬,,,"220,0049","220,0049",,,37,37,,,BB
feng2~feng2,馮馮,冯冯,,BB,feng2~feng2,冯,冯,,,"36,0691","36,0691",,,0,0,,,BB
chong1~chong1,沖沖,冲冲,,BB,chong1~chong1,冲,冲,,,"189,0864","189,0864",,,52,52,,,BB
jue2~jue2,決決,决决,,BB,jue2~jue2,决,决,,,"336,3654","336,3654",,,49,49,,,BB
qi1~qi1,淒淒,凄凄,,BB,qi1~qi1,凄,凄,,,"14,6765","14,6765",,,7,7,,,BB
qi1~qi1,悽悽,凄凄,,BB,qi1~qi1,凄,凄,,,"14,6765","14,6765",,,7,7,,,BB
ji1~ji1,几几,几几,,BB,ji1~ji1,几,几,,,"729,8469","729,8469",,,24,24,,,BB
chu1~chu1,出出,出出,,BB,chu1~chu1,出,出,,,"2396,4988","2396,4988",,,273,273,,,BB
zao2~zao2,鑿鑿,凿凿,,BB,zao2~zao2,凿,凿,,,"2,4691","2,4691",,,3,3,,,BB
qie1~qie1,切切,切切,,BB,qie1~qie1,切,切,,,"555,2889","555,2889",,,58,58,,,BB
qie4~qie4,切切,切切,,BB,qie4~qie4,切,切,,,"555,2889","555,2889",,,58,58,,,BB
ze2~ze2,則則,则则,,BB,ze2~ze2,则,则,,,165921,165921,,,17,17,,,BB
bie2~bie2,別別,别别,,BB,bie2~bie2,别,别,,,"1379,6741","1379,6741",,,77,77,,,BB
shua1~shua1,刷刷,刷刷,,BB,shua1~shua1,刷,刷,,,"149,0963","149,0963",,,20,20,,,BB
ci4~ci4,刺刺,刺刺,,BB,ci4~ci4,刺,刺,,,"148,0593","148,0593",,,28,28,,,BB
ci1~ci1,刺刺,刺刺,,BB,ci1~ci1,刺,刺,,,"148,0593","148,0593",,,28,28,,,BB
bo1~bo1,剝剝,剥剥,,BB,bo1~bo1,剥,剥,,,"15,5111","15,5111",,,7,7,,,BB
mian3~mian3,勉勉,勉勉,,BB,mian3~mian3,勉,勉,,,"14,8593","14,8593",,,6,6,,,BB
kuang1~kuang1,匡匡,匡匡,,BB,kuang1~kuang1,匡,匡,,,"1,7235","1,7235",,,1,1,,,BB
bu3~bu3,卜卜,卜卜,,BB,bu3~bu3,卜,卜,,,53284,53284,,,9,9,,,BB
bo1~bo1,卜卜,卜卜,,BB,bo1~bo1,卜,卜,,,53284,53284,,,9,9,,,BB
bu3~bu3,卟卟,卟卟,,BB,bu3~bu3,卟,卟,,,,,,,,,,,BB
ka1~ka1,卡卡,卡卡,,BB,ka1~ka1,卡,卡,,,"331,8074","331,8074",,,50,50,,,BB
ang2~ang2,卬卬,卬卬,,BB,ang2~ang2,卬,卬,,,,,,,,,,,BB
ji2~ji2,即即,即即,,BB,ji2~ji2,即,即,,,"313,3086","313,3086",,,24,24,,,BB
li4~li4,歷歷,历历,,BB,li4~li4,历,历,,,"209,3926","209,3926",,,48,48,,,BB
yan4~yan4,厭厭,厌厌,,BB,yan4~yan4,厌,厌,,,177516,177516,,,13,13,,,BB
fan3~fan3,反反,反反,,BB,fan3~fan3,反,反,,,437921,437921,,,93,93,,,BB
bo1~bo1,發發,发发,,BB,bo1~bo1,发,发,,,"2698,6321","2698,6321",,,309,309,,,BB
sou3~sou3,叟叟,叟叟,,BB,sou3~sou3,叟,叟,,,"0,6963","0,6963",,,1,1,,,BB
kou4~kou4,叩叩,叩叩,,BB,kou4~kou4,叩,叩,,,"1,7235","1,7235",,,4,4,,,BB
jiao4~jiao4,叫叫,叫叫,,BB,jiao4~jiao4,叫,叫,,,"610,9037","610,9037",,,45,45,,,BB
ba1~ba1,叭叭,叭叭,,BB,ba1~ba1,叭,叭,,,"7,4321","7,4321",,,6,6,,,BB
ding1~ding1,叮叮,叮叮,,BB,ding1~ding1,叮,叮,,,"14,0988","14,0988",,,5,5,,,BB
chi4~chi4,叱叱,叱叱,,BB,chi4~chi4,叱,叱,,,"0,8494","0,8494",,,2,2,,,BB
ji1~ji1,嘰嘰,叽叽,,BB,ji1~ji1,叽,叽,,,5758,5758,,,5,5,,,BB
xu1~xu1,吁吁,吁吁,,BB,xu1~xu1,吁,吁,,,"4,4691","4,4691",,,5,5,,,BB
chi1~chi1,吃吃,吃吃,,BB,chi1~chi1,吃,吃,,,"1526,8444","1526,8444",,,43,43,,,BB
he1~he1,吓吓,吓吓,,BB,he1~he1,吓,吓,,,"96,8889","96,8889",,,9,9,,,BB
hou1~hou1,吘吘,吘吘,,BB,hou1~hou1,吘,吘,,,,,,,,,,,BB
tun1~tun1,吞吞,吞吞,,BB,tun1~tun1,吞,吞,,,"23,0025","23,0025",,,18,18,,,BB
yin2~yin2,吟吟,吟吟,,BB,yin2~yin2,吟,吟,,,8,8,,,9,9,,,BB
bi3~bi3,吡吡,吡吡,,BB,bi3~bi3,吡,吡,,,"0,5037","0,5037",,,1,1,,,BB
ba5~ba5,吧吧,吧吧,,BB,ba5~ba5,吧,吧,,,"3244,4938","3244,4938",,,5,5,,,BB
keng1~keng1,吭吭,吭吭,,BB,keng1~keng1,吭,吭,,,3684,3684,,,5,5,,,BB
zi1~zi1,吱吱,吱吱,,BB,zi1~zi1,吱,吱,,,"5,1951","5,1951",,,5,5,,,BB
zhi1~zhi1,吱吱,吱吱,,BB,zhi1~zhi1,吱,吱,,,"5,1951","5,1951",,,5,5,,,BB
hou3~hou3,吼吼,吼吼,,BB,hou3~hou3,吼,吼,,,"38,5185","38,5185",,,4,4,,,BB
ya1~ya1,呀呀,呀呀,,BB,ya1~ya1,呀,呀,,,"403,9259","403,9259",,,5,5,,,BB
e4~e4,呃呃,呃呃,,BB,e4~e4,呃,呃,,,"123,0272","123,0272",,,0,0,,,BB
na4~na4,吶吶,呐呐,,BB,na4~na4,呐,呐,,,"56,9531","56,9531",,,3,3,,,BB
ou1~ou1,嘔嘔,呕呕,,BB,ou1~ou1,呕,呕,,,"16,7407","16,7407",,,5,5,,,BB
li4~li4,嚦嚦,呖呖,,BB,li4~li4,呖,呖,,,,,,,,,,,BB
wu1~wu1,嗚嗚,呜呜,,BB,wu1~wu1,呜,呜,,,"51,2543","51,2543",,,3,3,,,BB
you1~you1,呦呦,呦呦,,BB,you1~you1,呦,呦,,,"22,8148","22,8148",,,0,0,,,BB
peng1~peng1,呯呯,呯呯,,BB,peng1~peng1,呯,呯,,,"0,4148","0,4148",,,0,0,,,BB
gua1~gua1,呱呱,呱呱,,BB,gua1~gua1,呱,呱,,,"6,6469","6,6469",,,5,5,,,BB
gu1~gu1,呱呱,呱呱,,BB,gu1~gu1,呱,呱,,,"6,6469","6,6469",,,5,5,,,BB
he1~he1,呵呵,呵呵,,BB,he1~he1,呵,呵,,,"133,3827","133,3827",,,8,8,,,BB
xia1~xia1,呷呷,呷呷,,BB,xia1~xia1,呷,呷,,,"1,2593","1,2593",,,0,0,,,BB
pei1~pei1,呸呸,呸呸,,BB,pei1~pei1,呸,呸,,,"4,1531","4,1531",,,0,0,,,BB
hu1~hu1,呼呼,呼呼,,BB,hu1~hu1,呼,呼,,,"194,2815","194,2815",,,46,46,,,BB
duo1~duo1,咄咄,咄咄,,BB,duo1~duo1,咄,咄,,,"1,9111","1,9111",,,1,1,,,BB
fu2~fu2,咈咈,咈咈,,BB,fu2~fu2,咈,咈,,,,,,,,,,,BB
za3~za3,咋咋,咋咋,,BB,za3~za3,咋,咋,,,"75,8963","75,8963",,,2,2,,,BB
gu1~gu1,咕咕,咕咕,,BB,gu1~gu1,咕,咕,,,"12,1284","12,1284",,,12,12,,,BB
dong1~dong1,咚咚,咚咚,,BB,dong1~dong1,咚,咚,,,4963,4963,,,4,4,,,BB
guang1~guang1,咣咣,咣咣,,BB,guang1~guang1,咣,咣,,,"1,0568","1,0568",,,1,1,,,BB
yi4~yi4,咦咦,咦咦,,BB,yi4~yi4,咦,咦,,,5763,5763,,,0,0,,,BB
mie1~mie1,咩咩,咩咩,,BB,mie1~mie1,咩,咩,,,"53,2543","53,2543",,,0,0,,,BB
mi1~mi1,咪咪,咪咪,,BB,mi1~mi1,咪,咪,,,"58,8741","58,8741",,,2,2,,,BB
yao3~yao3,咬咬,咬咬,,BB,yao3~yao3,咬,咬,,,"42,1235","42,1235",,,8,8,,,BB
ji2~ji2,咭咭,咭咭,,BB,ji2~ji2,咭,咭,,,,,,,,,,,BB
ji1~ji1,咭咭,咭咭,,BB,ji1~ji1,咭,咭,,,,,,,,,,,BB
ge1~ge1,咯咯,咯咯,,BB,ge1~ge1,咯,咯,,,"234,3358","234,3358",,,2,2,,,BB
hui1~hui1,咴咴,咴咴,,BB,hui1~hui1,咴,咴,,,,,,,,,,,BB
xiu1~xiu1,咻咻,咻咻,,BB,xiu1~xiu1,咻,咻,,,"2,2173","2,2173",,,0,0,,,BB
yan1~yan1,咽咽,咽咽,,BB,yan1~yan1,咽,咽,,,"13,8321","13,8321",,,9,9,,,BB
ye4~ye4,咽咽,咽咽,,BB,ye4~ye4,咽,咽,,,"13,8321","13,8321",,,9,9,,,BB
yi1~yi1,咿咿,咿咿,,BB,yi1~yi1,咿,咿,,,"2,3852","2,3852",,,1,1,,,BB
ai1~ai1,哀哀,哀哀,,BB,ai1~ai1,哀,哀,,,"42,4741","42,4741",,,22,22,,,BB
hong1~hong1,哄哄,哄哄,,BB,hong1~hong1,哄,哄,,,"20,2914","20,2914",,,10,10,,,BB
wa1~wa1,哇哇,哇哇,,BB,wa1~wa1,哇,哇,,,"204,4444","204,4444",,,5,5,,,BB
ha1~ha1,哈哈,哈哈,,BB,ha1~ha1,哈,哈,,,"925,0864","925,0864",,,28,28,,,BB
kuang1~kuang1,哐哐,哐哐,,BB,kuang1~kuang1,哐,哐,,,642,642,,,1,1,,,BB
ya1~ya1,啞啞,哑哑,,BB,ya1~ya1,哑,哑,,,"13,4716","13,4716",,,13,13,,,BB
e4~e4,啞啞,哑哑,,BB,e4~e4,哑,哑,,,"13,4716","13,4716",,,13,13,,,BB
ya3~ya3,啞啞,哑哑,,BB,ya3~ya3,哑,哑,,,"13,4716","13,4716",,,13,13,,,BB
da1~da1,噠噠,哒哒,,BB,da1~da1,哒,哒,,,"13,6049","13,6049",,,1,1,,,BB
xiao1~xiao1,嘵嘵,哓哓,,BB,xiao1~xiao1,哓,哓,,,,,,,,,,,BB
hui4~hui4,噦噦,哕哕,,BB,hui4~hui4,哕,哕,,,,,,,,,,,BB
hua1~hua1,嘩嘩,哗哗,,BB,hua1~hua1,哗,哗,,,"11,0617","11,0617",,,8,8,,,BB
kuai4~kuai4,噲噲,哙哙,,BB,kuai4~kuai4,哙,哙,,,,,,,,,,,BB
nong2~nong2,噥噥,哝哝,,BB,nong2~nong2,哝,哝,,,"0,8395","0,8395",,,2,2,,,BB
mou1~mou1,哞哞,哞哞,,BB,mou1~mou1,哞,哞,,,"0,5531","0,5531",,,1,1,,,BB
o1~o1,哦哦,哦哦,,BB,o1~o1,哦,哦,,,"968,9531","968,9531",,,0,0,,,BB
chi1~chi1,哧哧,哧哧,,BB,chi1~chi1,哧,哧,,,"1,7086","1,7086",,,3,3,,,BB
lao2~lao2,哰哰,哰哰,,BB,lao2~lao2,哰,哰,,,,,,,,,,,BB
heng1~heng1,哼哼,哼哼,,BB,heng1~heng1,哼,哼,,,"43,9802","43,9802",,,5,5,,,BB
han1~han1,唅唅,唅唅,,BB,han1~han1,唅,唅,,,,,,,,,,,BB
