pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
yin2,吟,吟,,A,yin2,吟,,,,8,,,,9,,,,A
bi3,吡,吡,,A,bi3,吡,,,,"0,5037",,,,1,,,,A
ba1,吧,吧,,A,ba1,吧,,,,"3244,4938",,,,5,,,,A
ba5,吧,吧,,A,ba5,吧,,,,"3244,4938",,,,5,,,,A
keng1,吭,吭,,A,keng1,吭,,,,3684,,,,5,,,,A
zi1,吱,吱,,A,zi1,吱,,,,"5,1951",,,,5,,,,A
zhi1,吱,吱,,A,zhi1,吱,,,,"5,1951",,,,5,,,,A
hou3,吼,吼,,A,hou3,吼,,,,"38,5185",,,,4,,,,A
ya1,呀,呀,,A,ya1,呀,,,,"403,9259",,,,5,,,,A
e4,呃,呃,,A,e4,呃,,,,"123,0272",,,,0,,,,A
ou1,嘔,呕,,A,ou1,呕,,,,"16,7407",,,,5,,,,A
wu1,嗚,呜,,A,wu1,呜,,,,"51,2543",,,,3,,,,A
ni2,呢,呢,,A,ni2,呢,,,,"1118,9432",,,,7,,,,A
gua1,呱,呱,,A,gua1,呱,,,,"6,6469",,,,5,,,,A
gu1,呱,呱,,A,gu1,呱,,,,"6,6469",,,,5,,,,A
he1,呵,呵,,A,he1,呵,,,,"133,3827",,,,8,,,,A
pei1,呸,呸,,A,pei1,呸,,,,"4,1531",,,,0,,,,A
hu1,呼,呼,,A,hu1,呼,,,,"194,2815",,,,46,,,,A
hu1~lu1~gu1~dong1~wu1~long2,呼嚕咕咚嗚隆,呼噜咕咚呜隆,,A,hu1~lu1~gu1~dong1~wu1~long2,,,,,,,,,,,,,A
duo1,咄,咄,,A,duo1,咄,,,,"1,9111",,,,1,,,,A
ka1,咔,咔,,A,ka1,咔,,,,"29,9012",,,,1,,,,A
gu1,咕,咕,,A,gu1,咕,,,,"12,1284",,,,12,,,,A
dong1,咚,咚,,A,dong1,咚,,,,4963,,,,4,,,,A
guang1,咣,咣,,A,guang1,咣,,,,"1,0568",,,,1,,,,A
yi2,咦,咦,,A,yi2,咦,,,,5763,,,,0,,,,A
mie1,咩,咩,,A,mie1,咩,,,,"53,2543",,,,0,,,,A
mi1,咪,咪,,A,mi1,咪,,,,"58,8741",,,,2,,,,A
ge1,咯,咯,,A,ge1,咯,,,,"234,3358",,,,2,,,,A
ke2,咳,咳,,A,ke2,咳,,,,"42,5827",,,,4,,,,A
hui1,咴,咴,,A,hui1,咴,,,,,,,,,,,,A
xiu1,咻,咻,,A,xiu1,咻,,,,"2,2173",,,,0,,,,A
hong1,哄,哄,,A,hong1,哄,,,,"20,2914",,,,10,,,,A
duo1,哆,哆,,A,duo1,哆,,,,9763,,,,2,,,,A
wa1,哇,哇,,A,wa1,哇,,,,"204,4444",,,,5,,,,A
ha1,哈,哈,,A,ha1,哈,,,,"925,0864",,,,28,,,,A
ai1,哎,哎,,A,ai1,哎,,,,167763,,,,2,,,,A
kuang1,哐,哐,,A,kuang1,哐,,,,642,,,,1,,,,A
ya1,啞,哑,,A,ya1,哑,,,,"13,4716",,,,13,,,,A
e4~e4,啞,哑,,A,e4~e4,哑,,,,"13,4716",,,,13,,,,A
da1,噠,哒,,A,da1,哒,,,,"13,6049",,,,1,,,,A
bi4,嗶,哔,,A,bi4,哔,,,,"2,0494",,,,0,,,,A
yue2,噦,哕,,A,yue2,哕,,,,,,,,,,,,A
hua1,嘩,哗,,A,hua1,哗,,,,"11,0617",,,,8,,,,A
nong2,噥,哝,,A,nong2,哝,,,,"0,8395",,,,2,,,,A
