arthur,thomas,traditional,simplified,MC,OC,morphology,radsup,variant,Kroll,zdic,note
ai1~ai1,āi~āi,哀哀,哀哀,'oj-’oj,NA,NA,NA,NA,NA,形容悲傷不已的樣子。詩經．小雅．蓼莪：「哀哀父母，生我勞瘁。」文選．潘岳．馬汧督誄：「哀哀建威，身伏斧質。」,NA
ai2~ai2,ái~ái,皚皚,皑皑,ngoj ngoj,NA,RED,白,"皚皚,磑磑","snow-white, niveous; candent, albescent; glistening whitenss, as white as can be; unstained, spotless, chaste",潔白的樣子。漢．劉歆．遂初賦：「漂積雪之皚皚兮，涉凝露之降霜。」,NA
ai2~ai2,ái~ái,磑磑,磑磑,ngoj ngoj,NA,RED,石,"皚皚,磑磑","lofty and tall; thick and hard, dense and solid; glistening whiteness",NA,NA
ai3,ǎi,欸,欸,'ojX,NA,SINGLE,NA,NA,onom. sigh of affirmtaion or agreement,NA,NA
ai3~ai3,ǎi~ǎi,藹藹,蔼蔼,'ajH-'ajH,NA,RED,草,NA,"lush, rife, clumped, dense, luxuriant; thick, dim, shadowed",茂盛的樣子。晉．陶淵明．和郭主簿詩：「藹藹堂前林，中夏貯清陰。」文選．束晳．補亡詩六首之五：「瞻彼崇丘，其林藹藹。」盛大眾多的樣子。詩經．大雅．卷阿：「藹藹王多吉士，維君子使媚于天子。」文選．左思．詠史詩八首之五：「峨峨高門內，藹藹皆王侯。」盡力。語出爾雅．釋訓：「藹藹萋萋，臣盡力也。」月光微暗的樣子。文選．司馬相如．長門賦：「望中庭之藹藹兮，若季秋之降霜。」南朝宋．謝莊．懷園引：「朱光藹藹雲英英，新禽喈喈又晨鳴。」,NA
ai3~ai3,ǎi~ǎi,靄靄,霭霭,'ajH-'ajH,NA,RED,雲,NA,"thin mists, thin mass of wind-driven clouds, cloud-whisps; rack, wrack",聚集的樣子。晉．陶淵明．停雲詩：「靄靄停雲，濛濛時雨。」西遊記．第三十四回：「博山爐裡，靄靄香煙。」雪很盛的樣子。南朝宋．謝惠連．雪賦：「靄靄浮浮，瀌瀌弈弈。」,NA
ai3~nai3,ǎi~nǎi,欸乃,欸乃,'ojX-nojX,NA,RR,NA,NA,rhytmnic sweep of boat's oars; of oarsman's song,搖櫓的聲音。唐．柳宗元．漁翁詩：「煙銷日出不見人，欸乃一聲山水綠。」划船時所唱的歌。宋．陸游．南定樓遇急雨詩：「人語朱離逢峒獠，櫂歌欸乃下吳舟。」元．鄭光祖．倩女離魂．第二折：「聽長笛一聲何處發，歌欸乃，櫓咿啞。」,NA
ai4~ai4,ài~ài,曖曖,暧暧,'ojH ’ojH,NA,RED,日,靉靉,"unseen in haze, masked by darkness",昏暗不明的樣子。楚辭．屈原．離騷：「時曖曖其將罷兮，結幽蘭而延佇。」晉．陶淵明．歸園田居詩五首之一：「曖曖遠人村，依依墟里煙。」,NA
ai4~ai4,ài~ài,薆薆,薆薆,'ojH-'ojH,NA,RED,艸,NA,"richly overgrown, rife and rank",不分明的樣子。漢．司馬相如．大人賦：「時若薆薆將混濁兮，召屏翳，誅風伯，刑雨師。」,NA
ai4~ai4,ài~ài,艾艾,艾艾,ngajH-ngajH,NA,RED,艸,NA,onom. for stuttering,三國時魏國的鄧艾患有口吃，每次說到自己時，連說艾艾。典出南朝宋．劉義慶．世說新語．言語。後用以形容人口齒不清晰，說話不流利。,NA
ai4~dai4,ài~dài,靉靆,靉靆,'ojH-dojH,NA,RR,雲,NA,heavy w clouds,雲多而昏暗的樣子。晉．潘尼．逸民吟：「朝雲靉靆，行露未晞。」唐．鄭谷．入閣詩：「壽山晴靉靆，顥氣暖連延。」眼鏡。見明．田藝蘅．留青日札摘抄．卷二．靉靆。,from arthur
ai4~dui4,ài~duì,薆薱,薆薱,'ojH-twojH,NA,RR,草,NA,"richly overgrown, rife and rank",NA,NA
ai4~mei4,ài~mèi,曖昧,暧昧,'ojH-mwojH,NA,NA,NA,NA,NA,含混不清、幽暗不明。晉書．卷三十四．杜預傳：「臣心實了，不敢以曖昧之見，自取後累。」近含糊反明白、明朗行為不光明磊落，有不可告人的隱私。如：「他們之間似乎有曖昧的行為存在。」,NA
ai4~pei4,ài~pèi,靉靅,靉靅,'ojhH-pjojH,NA,RR,雲,NA,lowering and layered with clouds,NA,NA
an1~an1,ān~ān,安安,安安,'an-’an,NA,NA,NA,NA,NA,NA,NA
an1~yi4,ān~yì,啽囈,啽呓,ngom+ngjejH,NA,BR (Base.Redup),口,NA,mutteringin one's sleep,夢話。列子．周穆王：「眠中啽囈呻呼，徹旦息焉。」,from arthur
an2~long4,án~lòng,啽哢,啽哢,ngom-luwngH,NA,RR,口,NA,chiffer-chaffer of birds,NA,NA
an2~mo4,án~mò,啽默,啽默,ngom-mok,NA,RR,NA,NA,tight-lipped and taciturn; still and speechless; keep mum,緘默。新唐書．卷一三○．楊瑒傳：「融方貴，公卿啽默唯唯，獨瑒抗議，故出為華州刺史。」,NA
an3~an3,ǎn~ǎn,晻晻,晻晻,'omX-’omX,NA,NA,NA,NA,NA,形容幽暗。漢．蔡邕．霖雨賦：「瞻玄雲之晻晻兮，聽長霤之淋淋。」唐．儲光羲．晚次東亭獻鄭州宋使君文詩：「霏霏渠門色，晻晻制巖光。」夕陽西下黯然無光的樣子。楚辭．劉向．九歎．惜賢：「熟契契而委棟兮，日晻晻而下頹。」樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「晻晻日欲暝，愁思出門啼。」,maybe pronounced: yan3~yan3
an4~an4,àn~àn,黯黯,黯黯,'amH-’amH,NA,NA,NA,NA,NA,昏暗不明。三國．魏．陳琳．遊覽詩二首之一：「蕭蕭山谷風，黯黯天路陰。」南朝梁．元帝．蕩婦秋思賦：「日黯黯而將暮，風騷騷而渡河。」心神暗淡的樣子。唐．韋應物．寄李儋元錫詩：「世事茫茫難自料，春愁黯黯獨成眠。」,NA
an4~can3,àn~cǎn,黯慘,黯惨,'amH-tshomX,NA,RR,NA,NA,dim and dreary,陰暗慘淡的樣子。唐．徐夤．過驪山賦：「但見愁雲黯慘，疊嶂嶙峋。」,NA
an4~ran2,àn~rán,黯然,黯然,'amH-nyen,NA,NA,NA,NA,NA,陰暗、黑暗的樣子。史記．卷四十七．孔子世家：「黯然而黑，幾然而長。」心神沮喪的樣子。文選．江淹．別賦：「黯然銷魂者，惟別而已矣。」唐．劉禹錫．西塞山懷古詩：「西晉樓船下益州，金陵王氣黯然收。」,NA
an4~tan3,àn~tǎn,黯黮,黯黮,'amH-thomX,NA,RB,黑,NA,dim and dreary,昏暗不明的樣子。楚辭．宋玉．九辯：「彼日月之照明兮，尚黯黮而有瑕。」,NA
an4~tan3,àn~tǎn,黯黮,黯黮,'ieamX-thomX,NA,RR,黑,"黯黮, 黮暗, 黮䨴, 黮黮","grim and gloomy, sullen and somber, bleak and black",昏暗不明的樣子。楚辭．宋玉．九辯：「彼日月之照明兮，尚黯黮而有瑕。」,NA
an4~yan3,àn~yǎn,案衍,案衍,'anH-yenX,NA,BR,NA,NA,"rough, uneven, low-lying,shallow",低下。文選．司馬相如．子虛賦：「其南則有平原廣澤，登降陁靡，案衍壇曼。」不平的樣子。文選．司馬相如．上林賦：「荊吳鄭衛之聲，韶濩武象之樂，陰淫案衍之音。」文選．嵇康．琴賦：「清和條昶，案衍陸離。」,NA
ang2~ang2,áng~áng,卬卬,卬卬,ngang-ngang,NA,NA,NA,NA,NA,興盛的樣子。詩經．大雅．卷阿：「顒顒卬卬，如圭如章。」高昂的樣子。荀子．賦：「卬卬兮，天下之咸蹇也。」,NA
ang2~ang2,áng~áng,昂昂,昂昂,ngang ngang,NA,NOTIDEOPHONE,日,NA,aspiring spirit; lofty aims; shooting for the stars,高傲出群。文選．屈原．卜居：「寧昂昂若千里之駒乎？將汜汜若水中之鳧乎？」志節高尚，氣度不凡。漢．孔融．雜詩二首之一：「昂昂累世士，結根在所固。」隋書．卷十五．音樂志下：「顒顒卿士，昂昂侯甸。」,NA
ang2~zang2,áng~záng,昂藏,昂藏,ngang-dzangH,NA,BR,NA,NA,proud and redoubtable; high above the norm,氣宇軒昂。聊齋志異．卷一．葉生：「天下之昂藏，淪落如葉生其人者，亦復不少。」,NA
ao2~ai3,áo~ǎi,囂藹,嚣蔼,ngaw-'ajH,NA,BR,NA,NA,teeming tintamar,NA,NA
ao2~ao2,áo~áo,敖敖,敖敖,NA,NA,NA,NA,NA,NA,長的樣子。詩經．衛風．碩人：「碩人敖敖，說于農郊。」傲慢不遜的樣子。爾雅．釋訓：「仇仇，敖敖，傲也。」,NA
ao2~ao2,áo~áo,謷謷,謷謷,NA,NA,NA,NA,NA,NA,詆毀的樣子。楚辭．王逸．九思．怨上：「令尹兮謷謷，群司兮譨譨。」眾口怨嘆的聲音。漢書．卷二十四．食貨志上：「天下謷謷然，陷刑者眾。」,NA
ao2~ao2,áo~áo,嗷嗷,嗷嗷,ngaw ngaw,NA,RED,口,謷謷,"hue and cry, raucous racket, brawling clamor; honking of geese and cranes； oh no!",狀聲詞：(1)​ 形容哀號聲。詩經．小雅．鴻鴈：「鴻鴈于飛，哀鳴嗷嗷。」宋．歐陽修．綠竹堂獨飲詩：「殘花不共一日看，東風送哭聲嗷嗷。」(2)​ 形容眾口嘈雜聲。漢書．卷三十六．楚元王劉交傳：「無罪無辜，讒口嗷嗷。」或作「熬熬」。,NA
ao2~ao2,áo~áo,熬熬,熬熬,ngaw ngaw,NA,RED,灬,NA,"calling out in complaint, voicing lament",NA,NA
ao2~ao2,áo~áo,磝磝,磝磝,ngaw ngaw,NA,RED,石,NA,rocky and barren; infertile (soil),NA,NA
ao2~ao2,áo~áo,囂囂,嚣嚣,ngaw-ngaw,NA,RED,NA,NA,brawl and brouhaha; moiling mob; rife and riotous,無欲自得的樣子。孟子．盡心上：「人知之，亦囂囂；人不知，亦囂囂。」言語紛紜的樣子。詩經．小雅．十月之交：「無罪無辜，讒口囂囂。」,radical support?
ao2~xiang2,áo~xiáng,翱翔,翱翔,NA,NA,NA,NA,NA,NA,鳥回旋高飛。淮南子．俶真：「今矰繳機而在上，罔罟張而在下，雖欲翱翔，其勢焉得？」文選．宋玉．對楚王問：「鳳皇上擊九千里，絕雲霓、負蒼天，翱翔乎杳冥之上。」近遨遊、飛翔、飛行敖遊、彷徉。詩經．齊風．載驅：「魯道有蕩，齊子翱翔。」文選．賈誼．鵩鳥賦：「寥廓忽荒兮，與道翱翔。」,NA
ao2~xiang2,áo~xiáng,翱翔,翱翔,ngaw-zjang,NA,BR,羽,NA,soaring,鳥回旋高飛。淮南子．俶真：「今矰繳機而在上，罔罟張而在下，雖欲翱翔，其勢焉得？」文選．宋玉．對楚王問：「鳳皇上擊九千里，絕雲霓、負蒼天，翱翔乎杳冥之上。」近遨遊、飛翔、飛行敖遊、彷徉。詩經．齊風．載驅：「魯道有蕩，齊子翱翔。」文選．賈誼．鵩鳥賦：「寥廓忽荒兮，與道翱翔。」,翱翔 not technically listed as binome
ao4~lao4,ào~lào,懊憦,懊憦,'awH-lawH,NA,RR,心,NA,regret deeply,NA,NA
ao4~nao3,ào~nǎo,懊惱,懊恼,'awH-nawX,NA,BR,心,NA,vexed,心中鬱恨、悔恨。唐．白居易．聽竹枝贈李侍御詩：「巴童巫女竹枝歌，懊惱何人怨咽多。」儒林外史．第十回：「魯編修自覺得此事不甚吉利，懊惱了一回，又不好說。」近悔恨、懊悔、懊喪鷓鴣啼叫聲。唐．韋莊．鷓鴣詩：「懊惱澤家非有恨，年年常憶鳳城歸。」自注：「懊惱澤家，鷓鴣之音也。」,NA
bai2~bai2,bái~bái,白白,白白,NA,NA,NA,NA,NA,NA,平白無故的。京本通俗小說．志誠張主管：「王招宣初娶時，十分寵幸；後來只為一句話破綻些，失了主人之心，情愿白白裡把與人。」紅樓夢．第六十九回：「你還依我，將此劍斬了那妒婦，一同歸至警幻案下，聽其發落。不然，你則白白的喪命，且無人憐惜。」如：「白白挨罵。」無可奈何的。老殘遊記．第一回：「章伯一想，理路卻也不錯，便道：『依你該怎麼樣？難道白白地看他們死嗎？』」勞而無獲的。初刻拍案驚奇．卷二十九：「等了多時，並不見牆裡有些些聲響，……到第二晚、第三晚，又復如此。白白守了三個深夜，並無動靜。」毫無牽掛的。紅樓夢．第四回：「雨村聽了，大怒道：『豈有這樣放屁的事！打死人命，竟白白走了，再拿不來的。』」,NA
ban1~bo1,bān~bō,斑剝,斑剥,paen-pawk,NA,RB,NA,NA,degged and dappled,NA,NA
ban1~lan2,bān~lán,斒斕,斒斓,paen-lean,NA,RR,文,NA,vividly various (esp. of literary style),文彩鮮明的樣子。宋．曾鞏．靖安幽谷亭詩：「倚天巉巖姿，青蒼露斒斕。」,NA
ban1~mao2,bān~máo,斑蝥,斑蝥,paen-maew,NA,RR/NOTIDEOPHONE,NA,螌蝥,blister-beetle (spec. of mylabris),虎甲蟲的別名。見「虎甲蟲」條。,"insect, not ideophone"
ban3~ban3,bǎn~bǎn,板板,板板,NA,NA,NA,NA,NA,NA,形容面部表情冷淡。二刻拍案驚奇．卷十四：「若說是有情，如何眉梢眼角，不見些些光景，只是恁等板板地？」,NA
ban4~huan4,bàn~huàn,伴奐,伴奂,NA,NA,NA,NA,NA,NA,NA,NA
bang1~bang1,bāng~bāng,彭彭,彭彭,pang-pang,NA,RED,NA,NA,"numerous and many; also, advancing steadily; also, robust and vigorous",NA,NA
bang4~bang4,bàng~bàng,傍傍,傍傍,NA,NA,NA,NA,NA,NA,NA,NA
bao2~bao2,báo~báo,薄薄,薄薄,NA,NA,NA,NA,NA,NA,廣大的樣子。荀子．榮辱：「故薄薄之地，不得履之。」味道很淡。宋．蘇軾．薄薄酒詩：「薄薄酒，勝茶湯。」狀聲詞。形容車疾驅的聲音。詩經．齊風．載驅：「載驅薄薄，簟茀朱鞹。」,NA
bei1~bei1,bēi~bēi,卑卑,卑卑,NA,NA,NA,NA,NA,NA,自勉的樣子。史記．卷六十三．老子韓非傳．太史公曰：「申子卑卑，施之於名實。」裴駰．集解：「自勉勵之意也。」平庸、微不足道。唐．鮑溶子規詩：「戚戚含至冤，卑卑忌群勢。」,NA
bei1~ju1,bēi~jū,鵯鶋,鹎鶋,pje-kjo,NA,RR/NOTIDEOPHONE,鳥,NA,jungle crow,動物名。一種鳥。大如鴿，百千為群，其形如烏，其聲雅雅。或稱為「鴉烏」。,"bird, 鵯鶋 synonymous with 雅烏/not ideophone"
ben1~ben1,bēn~bēn,奔奔,奔奔,NA,NA,NA,NA,NA,NA,NA,NA
ben3~zun3,běn~zǔn,苯䔿,苯䔿,pwonH-tswonH,NA,RR,草,NA,raggedly overgrown,NA,NA
beng1~teng2,bēng~téng,崩騰,崩腾,NA,NA,NA,NA,NA,NA,NA,NA
beng1~teng2,bēng~téng,崩騰,崩腾,pong-dong,NA,RR,月,NA,pulsing and pounding,NA,NA
beng3~beng3,běng~běng,唪唪,唪唪,buwngX buwngX,NA,RED,口,NA,"lush (of fruit), profusely plentiful",多實的樣子。詩經．大雅．生民：「蓺之荏菽，荏菽旆旆，禾役穟穟，麻麥幪幪，瓜瓞唪唪。」,NA
beng3~beng3,běng~běng,菶菶,菶菶,NA,NA,NA,NA,NA,NA,草木茂盛的樣子。詩經．大雅．卷阿：「菶菶萋萋，雝雝喈喈。」,NA
beng3~rong2,běng~róng,菶茸,菶茸,puwngX-nyowng,NA,RB,草,NA,"lush and luxuriant, rank and rampant",NA,NA
bi1~beng4,bī~bèng,逼迸,逼迸,pik-paengX,NA,RB,辶,NA,helter-skelter,NA,NA
bi4~ba2,bì~bá,蓽茇,荜茇,pjit-bat,NA,NOTIDEOPHONE,草,蓽撥,long pepper (piper longum),NA,plant
bi4~bi4,bì~bì,弊弊,弊弊,bjejH bjejH,NA,RED,廾,NA,"exceedingly fastidious, painstakingly meticulous",NA,NA
bi4~bi4,bì~bì,佖佖,佖佖,bjit bjit,NA,RED,亻,NA,"stately impressive, awe-inspiring",NA,NA
bi4~bi4,bì~bì,怭怭,怭怭,bjit bjit,NA,RED,忄,NA,"nonchalant and unconcerned, rude and blasé",傲慢無禮，喪失威儀。詩經．小雅．賓之初筵：「曰既醉止，威儀怭怭。」毛亨．傳：「怭怭，媟嫚也。」,NA
bi4~bi4,bì~bì,苾苾,苾苾,bjit bjit,NA,RED,草,NA,deeply fragrant,香氣濃郁。詩經．小雅．信南山：「是蒸是享，苾苾芬芬，祀事孔明。」鄭玄．箋：「苾苾芬芬然，香祀禮於是則甚明也。」或作「飶飶」。,NA
bi4~bi4,bì~bì,賁賁,贲贲,NA,NA,NA,NA,NA,NA,星體的形狀。左傳．僖公五年：「鶉之賁賁，天策焞焞。」勇猛跳行的樣子。禮記．表記：「詩曰：『鵲之姜姜，鶉之賁賁。』」或作「奔奔」。,"a celestial body

or 

brave"
bi4~bo1,bì~bō,觱發,觱发,pjit-pat,NA,RR,NA,NA,bitter and biting (wind),風寒。詩經．豳風．七月：「一之日觱發，二之日栗烈。」,NA
bi4~fei4,bì~fèi,蔽芾,蔽芾,pjiejH-pj+jH,NA,RR,草,NA,"runty, stunted, half-grown",茂盛的樣子。詩經．召南．甘棠：「蔽芾甘棠，勿翦勿伐。」宋．朱熹．詩集傳．卷一．召南．甘棠：「蔽芾，盛貌。」,NA
bi4~fei4,bì~fèi,觱沸,觱沸,pjit-pj+JH,NA,RB,NA,NA,spurt and bubbling,泉水湧出的樣子。詩經．大雅．瞻卬：「觱沸檻泉，維其深矣。」,NA
bi4~ji1,bì~jī,襞襀,襞襀,pjek-tsek,NA,RR,衣,NA,crisp and crimp; pleated and plicate,NA,NA
bi4~li4,bì~lì,薜荔,薜荔,bejH-lejH,NA,NOTIDEOPHONE,草,NA,creeping fig (ficus pumila),植物名。桑科榕屬，常綠蔓莖灌木。葉橢圓，花細而隱於花托中。果實浸出的黏液可製造涼粉及清涼飲料。可入藥。亦稱為「木蓮」。餓鬼。譯自胡語。佛教六道之一。這類眾生由於過去世所造的惡業，招致投生為餓鬼，常處在極度飢餓的狀態。放光般若經．卷三：「我當為泥犁、薜荔中罪人所受苦痛，我當為眾生代受無央數劫苦痛。」亦稱為「餓鬼」。,plant
bi4~li4,bì~lì,篳篥,筚篥,pjit-lit,NA,RR,竹,觱篥,a kind of flute,樂器名。一種管樂器，以竹為管，以蘆為首，其聲甚悲。亦稱為「觱篥」。,instrument
bi4~xi4,bì~xì,赑屓,赑屓,bijH-khijH,NA,RR,貝,NA,exerting enormous power; fearsomely forceful,NA,unmarked as 'bn.' possibly an oversight
bi4~yi4,bì~yì,辟易,辟易,pjiek-yeH,NA,BR,NA,避,flee in fear; turn tail and run,退避。史記．卷七．項羽本紀：「是時，赤泉侯為騎將，追項王，項王瞋目而叱之，赤泉侯人馬俱驚，辟易數里，與其騎會為三處。」宋．文天祥．正氣歌：「如此再寒暑，百沴自辟易。」開墾。呂氏春秋．士容論．上農：「地未辟易，不操麻，不出糞。」,NA
bian1~fu2,biān~fú,蝙蝠,蝙蝠,pen-pjuwk,NA,NOTIDEOPHONE,蟲,NA,bat (chiropterae),動物名。哺乳動物翼手目。外形似鼠，四肢與身體之間有膜相連，故能飛翔。眼睛小，視力弱，靠體內聲納系統發出的高頻率音波所得回來的回聲來引導飛行，所以善於夜間活動。亦稱為「飛鼠」、「伏翼」、「服翼」、「仙鼠」、「夜燕」。,animal
biao1~biao1,biāo~biāo,儦儦,儦儦,NA,NA,NA,NA,NA,NA,行人眾多的樣子。詩經．齊風．載驅：「汶水滔滔，行人儦儦。」,NA
biao1~biao1,biāo~biāo,颮颮,飑飑,NA,NA,NA,NA,NA,NA,眾多的樣子。集韻．入聲．覺韻：「颮，颮颮，眾多貌。」文選．班固．西都賦：「颮颮紛紛，矰繳相纏。」,occurs with 紛紛
biao1~biao1,biāo~biāo,瀌瀌,瀌瀌,pjew pjew,NA,RED,水,麃麃,"falling thick and fast (rain, snow)",雨雪盛多的樣子。詩經．小雅．角弓：「雨雪瀌瀌，見晛曰消。」,NA
biao1~biao1,biāo~biāo,鑣鑣,镳镳,pjew pjew,NA,RED,金,NA,"gorgeously trimmed, lavishly decked (esp. of a horse)",盛多的樣子。廣雅．釋訓：「鑣鑣，盛也。」詩經．衛風．碩人：「朱幩鑣鑣，翟茀以朝。」,NA
biao1~you4,biāo~yòu,髟鼬,髟鼬,pew-yuwH,NA,BR,NA,NA,"drifting and floating, rippling and waving",NA,NA
bie2~xie4,bié~xiè,蹩躠,蹩躠,bet-sjet,NA,RR,足,NA,"limp lamely, drag one's feet",竭盡心力的樣子。莊子．馬蹄：「蹩躠為仁，踶跂為義，而天下始疑矣。」成玄英．疏：「蹩躠，用力之貌。」迴旋起舞的樣子。文選．張衡．南都賦：「翹遙遷延，蹩躠蹁躚。」唐．盧照鄰．五悲文．悲人生：「鐘鼓玉帛，蹩躠蹁躚。」行走不正常的樣子。宋．蘇舜欽．悲二子聯句詩：「弱女痴蹩躠，文隨寒餓飢。」聊齋志異．卷四．續黃粱：「又顧斜日已墜，無可投止，不得已，參差蹩躠而行。」,NA
bin1~bin1,bīn~bīn,彬彬,彬彬,pin pin,#pəm~pәm,RED,木,邠,"half-and-half, in equal parts; poised and in proportion",各種不同事物配合適當的樣子。論語．雍也：「質勝文則野，文勝質則史，文質彬彬，然後君子。」南朝梁．劉勰．文心雕龍．史傳：「其十志該富，讚序弘麗，儒雅彬彬，信有遺味。」亦作「斌斌」。,NA
bin1~bin1,bīn~bīn,玢豳,玢豳,pin-pin,NA,RR,NA,NA,striped and streaked,NA,NA
bin1~bin1,bīn~bīn,斌斌,斌斌,pin~pin,#pəm~pәm,NA,NA,NA,"1. half-and-half, in equal parts, evenly distributed;
2. proportioned conformity, poied in proportion;
3. esp. ref. to equally balanced substance and ornament, base and polish, matter and manner",文質兼備的樣子。史記．卷一二一．儒林傳．公孫弘傳：「自此以來，則公卿大夫士吏斌斌多文學之士矣。」亦作「彬彬」。,NA
bin1~fen1,bīn~fēn,繽紛,缤纷,phin-phjun,NA,RR,糸,NA,"plentiful, diverse and varied, jumbled and muddled",雜亂而繁盛的樣子。晉．陶淵明．桃花源記：「芳草鮮美，落英繽紛。」紅樓夢．第十七、十八回：「只見園中香煙繚繞，花彩繽紛，處處燈光相映，時時細樂聲喧，說不盡這太平氣象，富貴風流。」,NA
bin1~lang2,bīn~láng,檳榔,槟榔,pjin-lang,NA,NOTIDEOPHONE,木,NA,"areca palm, beteal palm (cf. Malay pinang)",植物名。棕櫚科檳榔屬，常綠喬木。高三丈多，葉為羽狀複葉，幹似椰子而細，栽種五年，才能結實，形似肉荳𦸅。一幹有三、四穗，每穗結實三、四百顆，味澀而微甘。將果實切開，加入石灰、荖花食之，有強齒、消食、健胃的功用。產於東印度等地。或作「賓門」、「賓郎」。,plant; also pron. bing?
bin1~peng1,bīn~pēng,驞駍,驞駍,bjin-pheang,NA,RB,馬,NA,"clatter and rattle, clamorous racket",NA,NA
bing2~ying2,bíng~yíng,屏營,屏营,peng-yweng,NA,RR,NA,NA,"waver and haver; hem and haw, fearfully faltering; tense and timid",惶恐。國語．吳語：「王親獨行，屏營仿偟於山林之中，三日乃見其涓人疇。」文選．李陵．與蘇武詩三首之一：「屏營衢路側，執手野踟躕。」,bing1 also pronounced as ping2
bing3~bing3,bǐng~bǐng,怲怲,怲怲,NA,NA,NA,NA,NA,NA,憂慮的樣子。詩經．小雅．頍弁：「未見君子，憂心怲怲。」,NA
bing3~bing3,bǐng~bǐng,邴邴,邴邴,pjaengX pjaengX,NA,RED,丙,NA,gleeful and overjoyed,愉悅的樣子。莊子．大宗師：「邴邴乎其似喜乎？崔乎其不得已乎？」,NA
bo1~bo1,bō~bō,潑潑,泼泼,pat-pat,NA,RED,水,NA,"onom. of fish flapping their tails or leaping from water; flip-flap, spitter-spatter, splish-splash",NA,NA
bo1~bo1,bō~bō,番番,番番,pwa pwa,NA,RED,田,NA,brave and bold,次次。元．關漢卿．陳母教子．第三折：「母親要打我，番番不曾靜扮。」元．無名氏．博望燒屯．第二折：「上的馬去，番番不濟，到的陣前，則是盹睡。」,番 bo1 also fan1 (MC phjon)
bo1~la4,bō~là,撥剌,拨剌,pat-lat,NA,NA,NA,NA,flick and pluck of zither strings; flip flap of fish fins,撥弄。元．司農司．農桑輯要．卷二．播種．苧麻：「于畦內用極細梢杖三四根，撥刺令平可。」或作「扒剌」。琴聲走調。淮南子．脩務：「琴或撥剌枉橈，闊解漏越。」高誘．注：「撥剌，不正。」狀聲詞。形容魚兒自水面躍起及縱入水裡，拍擊水面所發出的聲音。唐．杜甫．漫成詩：「沙頭宿鷺聯拳靜，船尾跳魚撥剌鳴。」,NA
bo1~li2,bō~lí,玻璃,玻璃,pha-lje,NA,NOTIDEOPHONE,NA,NA,transparent or lightly tinted glass,用白砂、石灰石、碳酸鈉、碳酸鉀等混合起來，加高熱燒融，冷卻後製成的堅硬物質。有透明與半透明兩種，可以製成鏡子、窗戶等各種用具。,glass
bo2,bó,魄,魄,bak,NA,SINGLE,NA,NA,onom. of crackling or bursting flames,NA,bo2 also pronounced po4
bo2~bo2,bó~bó,馞馞,馞馞,bot bot,NA,RED,孛、香,NA,bursting with scent,NA,NA
bo2~bo2,bó~bó,孛孛,孛孛,NA,NA,NA,NA,NA,NA,光芒四射的樣子。左傳．昭公十七年．孔穎達．正義：「言其狀似掃帚，光芒孛孛然。」漢書．卷四．文帝本紀：「有長星出于東方。」顏師古．注：「孛星光芒短，其光四出蓬蓬孛孛也。」,NA
bo2~lu2,bó~lú,欂櫨,欂栌,pak-lu,NA,NOTIDEOPHONE,architecture,NA,bracket-arm and cap-block of column that supports roofbeams,柱上承梁的短木。淮南子．本經：「標枺欂櫨，以相支持。」唐．韓愈．進學解：「欂櫨侏儒，椳闑扂楔。」亦稱為「斗拱」。,NA
bo2~ran2,bó~rán,勃然,勃然,bwot-nyen,NA,RAN,NA,勃如,"all of a sudden, abruptly; short-tempered",發怒衝動的樣子。孟子．萬章下：「王勃然變乎色。」戰國策．趙策三：「威王勃然怒曰：『叱嗟！而母婢也！』」亦作「勃如」。興起、奮起的樣子。淮南子．兵略：「有聖人勃然而起，乃討強暴，平亂世，夷險除穢，以濁為清，以危為寧。」突然。莊子．天地：「蕩蕩乎，忽然出，勃然動，而萬物從之乎。」,NA
bo2~su1,bó~sū,勃窣,勃窣,bwot-swot,NA,BR,NA,NA,short and squat; cramped and confined; walking in mincing steps,匍匐慢行。形容人言談緩慢。晉書．卷七十五．張憑傳：「帝召與語，歎曰：『張憑勃窣為理窟。』」,NA
bo2~tuo1,bó~tuō,餺飥,餺飥,pak-thak,NA,NOTIDEOPHONE,食,NA,short noodles,湯餅。或以為湯麵。宋．陳亮．壬寅夏答朱元晦秘書：「若今更不雨，恐巧新婦做不得無麵餺飥。」或作「餺飩」、「不托」、「不託」、「拉麵」。,food
bu4~hu4,bù~hù,布濩,布濩,puH-huH,NA,BR,NA,NA,spread and scatter afar,分散遍布。文選．張衡．東京賦：「聲教布濩，盈溢天區。」文選．左思．蜀都賦：「麋蕪布濩於中阿，風連莚蔓於蘭皋。」,NA
cai3~cai3,cǎi~cǎi,采采,采采,NA,NA,NA,NA,NA,NA,美好、繁盛的樣子。文選．禰衡．鸚鵡賦：「采采麗容，咬咬好音。」清．文廷式．賀新郎．別擬西州曲詞：「采采芙蓉愁日暮，又天涯芳草江南綠。」,NA
can1~dian4,cān~diàn,驂驔,骖驔,tshom-dzemX,NA,BR,馬,NA,careening and cavorting,NA,NA
can1~tan2,cān~tán,參潭,参潭,tshom-dom,NA,BR,NA,參驔 (tshom-dzemX : can1dian4),"in regular ranks, following one after another",NA,NA
