arthur,thomas,traditional,simplified,MC,OC,morphology,radsup,variant,Kroll,zdic,note
kuang2~rang2,kuáng~ráng,俇攘,俇攘,gjwang-nyang,NA,RR,NA,劻勷？,"tumolt and turmoil, crazed and deranged",紛擾不安。楚辭．宋玉．九辯：「悼余生之不時兮，逢此世之俇攘。」,俇 guang4 also kuang2 (MC gjwang)
kuang4~dang4,kuàng~dàng,曠蕩,旷荡,khwangH-dangH,NA,RR,NA,NA,ranging far and free,NA,NA
kuang4~huang3,kuàng~huǎng,爌熀,爌熀,khwangH-xjwangX,NA,RR,火,NA,"broad and bright, well-lit",NA,"爌 kuang4 also huang3 (MC xjwangH), seems to be identical to the readings and meaning of 熀 - so it's unclear why there is a separate grapheme. Perhaps it's to distinguish the initials of an otherwise reduplicated form?"
kuang4~lang2,kuàng~láng,壙埌,圹埌,khwangH-langH,NA,BR,土,NA,boundless (open country),原野廣闊遼遠。莊子．應帝王：「以處壙埌之野。」墳墓。唐．釋玄應．一切經音義．卷七．正法華經：「冢埌：『通俗文：邱塚謂之壙埌。』」,"N.B. missing from page 245, cf. 埌 lang2 pg. 255"
kuang4~lang3,kuàng~lǎng,懭悢,懭悢,khwangX-langX,NA,RR,忄,NA,"dissatisfied and disappointed; dejected, despairing beyond hope",NA,NA
kui2~hui1,kuí~huī,睽睢,睽睢,khwej-xjwie,NA,RR,目,NA,"glare and glower, fix a stare upon",NA,NA
kui2~ju4,kuí~jù,騤瞿,騤瞿,gwij-kjuH,NA,RR,NA,NA,"race off in alarm, scatter in surprise, stampede and flee",NA,NA
kui2~kui2,kuí~kuí,蘷蘷,蘷蘷,gwij gwij,NA,RED,攵,NA,"reverent and respectful, be in awe of and pay homage to",NA,NA
kui2~kui2,kuí~kuí,騤騤,騤騤,gwij gwij,NA,RED,馬,NA,stately and strong (of horses),馬強壯的樣子。詩經．小雅．采薇：「駕彼四牡，四牡騤騤。」,NA
kui2~kui2,kuí~kuí,睽睽,睽睽,khwej khwej,NA,RED,目,NA,"glare and glower, fix a stare upon",張著眼睛注視。如：「眾目睽睽」。,NA
kui2~kui2,kuí~kuí,夔夔,夔夔,NA,NA,NA,NA,NA,NA,敬謹恐懼的樣子。孟子．萬章上：「祗載見瞽瞍，夔夔齋栗。」,NA
kui2~kui2,kuí~kuí,騤騤,騤騤,NA,NA,NA,NA,NA,NA,馬強壯的樣子。詩經．小雅．采薇：「駕彼四牡，四牡騤騤。」,NA
kui2~ni2,kuí~ní,躨跜,躨跜,gwij-nrij,NA,RR,足,NA,"quivering and trembling, agitated and stirred, shaken and squirming; hunkering down low",NA,NA
kui3~lei3,kuǐ~lěi,磈磊,磈磊,khj+jX-lwojX,NA,RB,石,NA,uneven and irregular; gnarled,群石高低不平。比喻心中積鬱難平。元．許有壬．神山避暑晚行田間用陶淵明平疇交遠風良苗亦懷新為韻十首之一：「不用澆磈磊，我懷無不平。」,磈 kui3 also wei3 (MC 'j+jX)
kui3~lei3,kuǐ~lěi,傀儡,傀儡,khwojX-lwojX,NA,NOTIDEOPHONE,亻,NA,"puppet, wooden figure, effigy",木偶戲中受人在幕後操縱的木偶。比喻徒有虛名，沒有主見，甘心任人操縱的人或組織。朱子全書．卷一．學一．總論為學之方：「今於古人所以下學之序，則以為近於傀儡而鄙厭之。」,tool
kui4,kuì,喟,喟,khwijH,NA,SINGLE,NA,NA,"onom. Sighing, heaving a sigh",NA,NA
kui4~kui4,kuì~kuì,憒憒,愦愦,NA,NA,NA,NA,NA,NA,糊塗。二刻拍案驚奇．卷六：「試看金翠當年事，憒憒將軍更可哀。」擾亂。後漢書．卷六十九．何進傳：「天下憒憒，亦非獨我曹罪也。」,NA
kui4~kui4,kuì~kuì,潰潰,溃溃,NA,NA,NA,NA,NA,NA,擾亂的樣子。詩經．大雅．召旻：「昏椓靡共，潰潰回遹。」,NA
kun1~lun2,kūn~lún,崑崙,崑崙,kwon-lwon,NA,NOTIDEOPHONE,山,昆侖,name of mythical mountain in the far west,NA,mythology
kun1~wu2,kūn~wú,昆吾,昆吾,kwon-ngu,NA,NOTIDEOPHONE,NA,琨珸,vulcan stone; semi-precious stone; official in charge of smelting and founding,國名。位今河南省濮陽縣，曾為夏伯，後為商湯所滅。正午時太陽所在的地方。淮南子．天文：「至于昆吾，是謂正中。」文選．張衡．思玄賦：「躋日中於昆吾兮，憩炎火之所陶。」古代的寶刀、寶劍。以昆吾山上的赤銅打造成。山海經．中山經．郭璞．注：「此山出名銅，色赤如火，以之作刃，切玉如割泥也；周穆王時西戎獻之，尸子所謂昆吾之劍也。」亦作「錕鋙」。,"geology, rank; 昆 kun1 also hun2 (MC hwon)"
kun3~kuan3,kǔn~kuǎn,悃款,悃款,khwonX-khwanX,NA,RB,NA,NA,"true-hearted and trustworthy, devoted",NA,NA
la1~la4,lā~là,菈擸,菈擸,lop-lop,NA,RR,扌,NA,"burst apart, crack, split open; crashing din",NA,NA
la4~la1,là~lā,剌剌,剌剌,lat lat,NA,RED,刂,NA,onom. Gusting or lapping wind,狀聲詞。形容風聲或拍擊聲。唐．李商隱．送千牛李將軍赴闕五十韻：「去程風剌剌，別夜漏丁丁。」語助詞。表示加重語氣。元．王曄．桃花女．第三折：「倒做這等魘鎮事，欺心剌剌的。我不去！我不去！」紅樓夢．第二十六回：「薛蟠道：『越發說的人熱剌剌的丟不下。』」,NA
lan2~dan1,lán~dān,蘭單,兰单,lan-tan,NA,RB,NA,闌單,"fatigued, tired, worn and weary",NA,"N.B. 單 dan1 insubstantial, flimsy, weak"
lan2~gan1,lán~gān,欄杆,栏杆,lan-kan,NA,BR,木,闌干,"railing, barrier, barrister; criss-crossed",竹木或金屬條編成的柵欄。唐．李白．清平調三首之三：「解釋春風無限恨，沈香亭北倚欄杆。」近雕欄或稱為「闌干」、「闌檻」、「欄干」。在女子衣服的緣邊，以絲織成花紋交錯的裝飾物。似今日的蕾絲花邊。淚水縱橫的樣子。唐．白居易．長恨歌：「玉容寂寞淚欄杆，梨花一枝春帶雨。」,NA
lan2~lan2,lán~lán,婪婪,婪婪,lom lom,NA,RED,女,惏惏,greedy and grasping,NA,惏 lan2 also lin2 (MC lim) same as 婪
lan2~lü3,lán~lǚ,襤褸,褴褛,lam-ljuX,NA,RB,衤,藍褸、縷,"ragged and tattered, shabby",破爛的衣服。幼學瓊林．卷二．衣服類：「敝衣曰襤褸。」或作「藍褸」、「藍縷」、「襤縷」。衣服破爛的樣子。唐．白行簡．李娃傳：「被布裘，裘有百結，襤褸如懸鶉。」近破爛反華美或作「藍褸」、「藍縷」、「襤縷」。,NA
lan4~lan4,làn~làn,爛爛,烂烂,lanH lanH,NA,RED,火,NA,flashing and flaring,NA,NA
lan4~man4,làn~màn,爛漫,烂漫,lanH-manH,NA,RR,NA,NA,"free and unfettered, in total abandon; wholly, extravagantly; fresh and bright, vivid and various",散亂、消散。莊子．在宥：「大德不同，而性命爛漫矣。」文選．司馬相如．上林賦：「牢落陸離，爛漫遠遷。」亦作「瀾漫」。光彩分布的樣子。文選．張衡．思玄賦：「爛漫麗靡，藐以迭逷。」近絢爛、絢麗亦作「爛熳」、「爛縵」。坦白光明、性情率真。如：「天真爛漫」。近活潑光彩煥發的樣子。南朝齊．謝朓．詠兔絲詩：「爛熳已萬條，連綿復一色。」元．關漢卿．蝴蝶夢．第二折：「你看那百花爛熳，春景融和。」亦作「爛漫」、「爛縵」。熟睡的樣子。唐．杜甫．彭衙行：「眾雛爛熳睡，喚起霑盤餐。」,NA
lan4~yan4,làn~yàn,爁焱,爁焱,laemH-yemH,NA,RB,火,NA,roaring fire,NA,NA
lang2,láng,硠,硠,lang,NA,SINGLE,NA,NA,onom. Rockslide or mountain collapsing,NA,NA
lang2~dang1,láng~dāng,琅當,琅当,lang-tang,NA,RR,NA,啷噹,"onom. Tinkling of pendants, bells etc., onom. Clanking of iron chains, onom. Clear tones of stone- chimes",NA,NA
lang2~dang1,láng~dāng,鋃鐺,锒铛,lang-tang,NA,NOTIDEOPHONE,金,NA,"shackles, iron chains; to link together, chain",狀聲詞。形容金屬或玉石撞擊的聲音。亦作「琅璫」。刑具。指縛繫人犯的鐵鎖、鐵鏈。後漢書．卷五十二．崔駰傳：「董卓以是收烈付郿獄，錮之，鋃鐺鐵鎖。」亦作「郎當」、「琅璫」。鎖鏈之物，連累而重。引申為困重不舉的意思。,"tool, but see 琅當 lang2dang1 onom. Clanking of metal shackles"
lang2~dang4,láng~dàng,莨菪,莨菪,langH-dangH,NA,NOTIDEOPHONE,草,NA,henbane (Hyoscyamus niger),NA,"plant, 莨 lang4 also lang2 (MC lang)"
lang2~gan1,láng~gān,琅玕,琅玕,lang-kan,NA,NOTIDEOPHONE,王,瑯玕,gemstone from distant lands or supernatural regions,圓潤如珠的美玉。文選．張衡．四愁詩之二：「美人贈我金琅玕，何以報之雙玉盤。」亦稱為「瓓玕」、「玕琅」。比喻華美的詞藻或佳文。唐．韓愈．齪齪詩：「排雲叫閶闔，披腹呈琅玕。」比喻美竹。唐．元稹．種竹詩：「可憐亭亭幹，一一青琅玕。」亦作「瑯玕」。比喻光滑美好的竹子。明．劉兌．金童玉女嬌紅記：「珊珊，驀聽的竹響瑯玕。」亦作「琅玕」。,"mythology, geology"
lang2~lang2,láng~láng,浪浪,浪浪,lang lang,NA,RED,氵,NA,"coursing incessantly (river, prolonged rain)",水流的樣子。文選．曹植．洛神賦：「羅袂以掩涕兮，淚流襟之浪浪。」唐．韓愈．別知賦：「雨浪浪其不止，雲浩浩其常浮，知來者之不可以數，哀去此而無由。」,浪 lang2 also lang4 (MC langH)
lang2~lang2,láng~láng,琅琅,琅琅,lang lang,NA,RED,王,NA,"onom. Tinkling of pendants, bells, other metallic objects; also outstanding person",狀聲詞：(1)​ 形容金石相擊的聲音。晉書．卷九十二．庾闡傳：「質清浮磬，聲若孤桐，琅琅其璞，巖巖其峰。」(2)​ 形容清朗的讀書聲。清．蔣士銓．鳴機夜課圖記：「銓誦聲琅琅然，與藥鼎沸聲相亂。」清．嚴復．甲辰出都呈同里諸公詩：「孤山處士音琅琅，皂袍演說常登堂。」(3)​ 形容蛇皮鼓的聲音。元．湯式．風入松．題貨郎擔兒曲：「數聲何處蛇皮鼓，琅琅過金水橋東。」亦作「不琅琅」、「不朗朗」。,NA
lang2~lang2,láng~láng,硠硠,硠硠,lang lang,NA,RED,石,NA,onom. Rocks grinding and grating together; also staunch and strong,NA,NA
lang2~lang2,láng~láng,閬閬,阆阆,lang lang,NA,RED,門,NA,"gaping, hollow, yawning open",高大、空虛的樣子。漢書．卷八十七．揚雄傳上：「閌閬閬其寥廓兮，似紫宮之崢嶸。」明大的樣子。後漢書．卷五十九．張衡傳：「出紫宮之肅肅兮，集大微之閬閬。」,NA
lang3~chang1,lǎng~chāng,俍倡,俍倡,langX-tsyhang,NA,RR,亻,NA,"step askew, thrown off the track, unsteady and insecure",NA,cf. MC of 踉蹡、踉蹡、梁昌、俍倡
lang3~lang3,lǎng~lǎng,朗朗,朗朗,langX langX,NA,RED,月,NA,"birlliant, glowing, transparently luminous; loud and clear, resonant, sonorous",明亮的樣子。南朝宋．劉義慶．世說新語．容止：「時人目『夏侯太初朗朗如日月之入懷，李安國頹唐如玉山之將崩。』」聲音清晰、響亮。唐．韓愈．奉使常山早次太原呈副使吳郎中詩：「朗朗聞街鼓，晨起似朝時。」,cf. 烺烺 lang3lang3
lang3~lang3,lǎng~lǎng,烺烺,烺烺,langX langX,NA,RED,火,NA,"brilliant and dazzling, striking and distinct",NA,cf. 朗朗 lang3lang3
lang3~pang2,lǎng~páng,俍傍,俍傍,langX-bwang,NA,RR,亻,NA,"step askew, thrown off the track, unsteady and insecure",NA,NA
lao2~lang4,láo~làng,浶浪,浶浪,law-langH,NA,RB,氵,NA,"raise and rouse (esp. games); rummage and ransack, search and scare",NA,NA
lao2~luo4,láo~luò,牢落,牢落,law-lak,NA,RR,NA,NA,"desolate and deserted; scattered and strewn, withered and fallen",稀疏。唐．韓愈．天星送楊凝郎中賀正詩：「天星牢落雞喔咿，僕夫起餐車載脂。」荒涼、寂靜。文選．左思．魏都賦：「臨菑牢落，鄢郢丘墟。」孤獨落寞。文選．陸機．文賦：「心牢落而無偶，意徘徊而不能揥。」,NA
lei2~lei2,léi~léi,纍纍,纍纍,lwij lwij,NA,RED,糸,NA,"continuosly connected, clustered and comingled, jumbled; dejected, bewildered",繁多、重積的樣子。漢．董仲舒．春秋繁露．順命：「春秋列序位卑尊之陳，累累乎可得而觀也。」明．梁辰魚．浣紗記．第七齣：「況累累數對璠璵，更纖纖一雙花蕊。」亦作「纍纍」。屢屢。穀梁傳．哀公十三年：「吳，東方之大國也。累累致小國以會諸侯，以合乎中國。」亦作「纍纍」。繁多、重積的樣子。禮記．樂記：「倨中矩，句中鉤，纍纍乎端如貫珠。」漢書．卷九十三．佞幸傳．石顯傳：「印何纍纍，綬若若邪！」如：「果實纍纍」。亦作「累累」。瘦弱、疲憊的樣子。禮記．玉藻：「喪容纍纍，色容顛顛。」元．馬祖常．室婦歎詩：「翁姑帶索行纍纍，弱兒失爺夫失妻。」失意、不得志的樣子。史記．卷四十七．孔子世家：「纍纍若喪家之狗。」或作「儽儽」。屢屢。唐．柳宗元．三戒：「晝纍纍與人兼行，夜則竊齧鬥暴，其聲萬狀，不可以寢。」亦作「累累」。,NA
lei2~lei2,léi~léi,轠轠,轠轠,lwoj lwoj,NA,RED,車,NA,"onom. Thundering of carriages and carts; onom. Rumble, rattle",NA,NA
lei2~lei2,léi~léi,礧礧,礧礧,lwoj-lwoj,NA,RED,石,NA,"distinct, well-defined, standing out clearly",NA,"礧 lei2 also lei3 (lwojX), lei4 (lwojH)"
lei2~lei2,léi~léi,儽儽,儽儽,NA,NA,NA,NA,NA,NA,NA,same as 689 690
lei2~lei2,léi~léi,累累,累累,NA,NA,NA,NA,NA,NA,繁多、重積的樣子。漢．董仲舒．春秋繁露．順命：「春秋列序位卑尊之陳，累累乎可得而觀也。」明．梁辰魚．浣紗記．第七齣：「況累累數對璠璵，更纖纖一雙花蕊。」亦作「纍纍」。屢屢。穀梁傳．哀公十三年：「吳，東方之大國也。累累致小國以會諸侯，以合乎中國。」亦作「纍纍」。繁多、重積的樣子。禮記．樂記：「倨中矩，句中鉤，纍纍乎端如貫珠。」漢書．卷九十三．佞幸傳．石顯傳：「印何纍纍，綬若若邪！」如：「果實纍纍」。亦作「累累」。瘦弱、疲憊的樣子。禮記．玉藻：「喪容纍纍，色容顛顛。」元．馬祖常．室婦歎詩：「翁姑帶索行纍纍，弱兒失爺夫失妻。」失意、不得志的樣子。史記．卷四十七．孔子世家：「纍纍若喪家之狗。」或作「儽儽」。屢屢。唐．柳宗元．三戒：「晝纍纍與人兼行，夜則竊齧鬥暴，其聲萬狀，不可以寢。」亦作「累累」。,NA
